feat;influence
Wing_Natural;0,4243054721160265
KP/100Acciones no defensivas;0,13979775480130713
Centros/100Pases;0,04571253786611036
xg+xa/100Acciones;0,04524323750967953
Regates/100Acciones no defensivas;0,03248674872846378
KP_Ocasiones%;0,030293084817033824
% de efectividad de pases;0,02737313216770566
Centros/100PF;0,02577695404623935
CC/100Regates;0,023858254640051015
Acciones defensivas/100Acciones;0,02291925287772879
Tiros/100Acciones no defensivas;0,022018770087384443
CC/100PF;0,021549686066275827
Perdidas_crival%;0,020187312564389773
