feat;influence
PAdj_Entradas;0,16734687525717132
PAdj_Disputas defensivas;0,16249154699306553
PAdj_Disputas por arriba ganadas;0,15492714318756526
Disputas aéreas/100Disputas;0,1140042757129869
PAdj_Balones recuperados;0,04856074724279944
% disputas defensivas ganadas;0,04704895901824914
PAdj_Interceptaciones+Entradas;0,04656792897332894
% de efectividad de pases;0,0363165344425713
Pases/100Acciones defensivas;0,03324357297142389
PAdj_Faltas;0,03287947802707474
Entradas, %;0,029455923475864426
% disputas por arriba ganadas;0,026275592018271086
