feat;influence
Disputas aéreas/100Disputas;0,1674516233861722
PF/100Pases;0,14767226502498249
xg+xa/100Acciones;0,09327666281084082
Disputas en ataque/100Disputas;0,0769661674239482
% disputas por arriba ganadas;0,06829123268593201
Acciones defensivas/100Acciones;0,06353225417270414
Centros/100Pases;0,05114224385443026
Jugada_Gol/100Regates;0,04396390609628795
CC/100Regates;0,040958980766428635
KP_Ocasiones%;0,03328038469842049
Centros/100PF;0,03272201822429953
CC/100Centros;0,029980724520168783
Altura;0,029037249070405308
