feat;influence
Acciones defensivas/100Acciones;0,14068611451533022
Wing_Natural;0,12862233509706253
Pases/100Acciones defensivas;0,12194668001729861
KP/100Acciones no defensivas;0,10313925801283928
Centros/100Pases;0,06561862868486765
% de efectividad de pases;0,056653098664637254
Expected assists;0,04738930026106277
Entradas/100Acciones defensivas;0,04697280196933773
Perdidas_crival%;0,04036546944029402
Tiros/100Acciones no defensivas;0,03228949688618824
PAdj_Balones recuperados;0,025266784717137763
Disputas/100Acciones defensivas;0,024627017297506337
Centros/100PF;0,023803912950812578
CC/100Centros;0,023772203373309313
