feat;influence
PF/100Pases;0,21343786572431134
PAdj_Balones recuperados;0,17286348840416932
Disputas en ataque/100Disputas;0,10798216775727147
Centros/100Pases;0,06621436236713842
PAdj_Disputas ganadas;0,06409013684876148
PAdj_Disputas por arriba ganadas;0,05919019098677871
Tiros/100Acciones no defensivas;0,0575638422774254
Perdidas_crival%;0,04229386511980855
PAdj_Rechaces;0,041341462481680254
Pases/100Acciones defensivas;0,03201892638976019
Entradas/100Acciones defensivas;0,026247380354109607
