;jor;coach;system;teamid
0;1;Vladimir Fedotov;3-4-3;41231
1;2;Vladimir Fedotov;3-4-3;41231
2;3;Vladimir Fedotov;3-4-2-1;41231
3;4;Vladimir Fedotov;3-4-2-1;41231
4;5;Vladimir Fedotov;3-4-2-1;41231
5;6;Vladimir Fedotov;3-4-2-1;41231
6;7;Vladimir Fedotov;3-4-2-1;41231
7;8;Vladimir Fedotov;3-4-2-1;41231
8;9;Vladimir Fedotov;3-4-2-1;41231
9;10;Vladimir Fedotov;3-4-2-1;41231
10;11;Vladimir Fedotov;3-4-2-1;41231
11;12;Vladimir Fedotov;3-4-2-1;41231
12;13;Vladimir Fedotov;3-4-2-1;41231
13;14;Vladimir Fedotov;3-4-2-1;41231
14;15;Vladimir Fedotov;3-4-2-1;41231
15;16;Vladimir Fedotov;3-4-3;41231
16;17;Vladimir Fedotov;3-4-2-1;41231
17;18;Vladimir Fedotov;3-4-2-1;41231
18;19;Vladimir Fedotov;3-4-2-1;41231
19;20;Vladimir Fedotov;3-4-2-1;41231
20;21;Vladimir Fedotov;3-4-2-1;41231
21;22;Vladimir Fedotov;3-4-2-1;41231
22;23;Vladimir Fedotov;3-4-2-1;41231
23;24;Vladimir Fedotov;3-4-2-1;41231
24;25;Vladimir Fedotov;3-4-2-1;41231
25;26;Vladimir Fedotov;3-4-2-1;41231
26;27;Vladimir Fedotov;3-4-2-1;41231
27;28;Vladimir Fedotov;3-4-2-1;41231
28;29;Vladimir Fedotov;3-4-2-1;41231
29;30;Vladimir Fedotov;3-4-2-1;41231
