team;teamid;league
Fc Sevilla;368;Laliga
Fc Barcelona;131;Laliga
Fc Valencia;1049;Laliga
Espanyol Barcelona;714;Laliga
Ca Osasuna;331;Laliga
Fc Getafe;3709;Laliga
Celta Vigo;940;Laliga
Real Betis Sevilla;150;Laliga
Athletic Bilbao;621;Laliga
Ud Levante;3368;Laliga
Fc Elche;1531;Laliga
Atletico Madrid;13;Laliga
Deportivo Alaves;1108;Laliga
Fc Cadiz;2687;Laliga
Real Madrid;418;Laliga
Fc Granada;16795;Laliga
Rcd Mallorca;237;Laliga
Real Sociedad San Sebastian;681;Laliga
Rayo Vallecano;367;Laliga
Fc Villarreal;1050;Laliga
Vfb Stuttgart;79;Bundesliga
Vfl Bochum;80;Bundesliga
Borussia Monchengladbach;18;Bundesliga
Hertha Bsc;44;Bundesliga
Fc Bayern Munchen;27;Bundesliga
1 Fsv Mainz 05;39;Bundesliga
Spvgg Greuther Furth;65;Bundesliga
1 Fc Koln;3;Bundesliga
Borussia Dortmund;16;Bundesliga
Tsg 1899 Hoffenheim;533;Bundesliga
Eintracht Frankfurt;24;Bundesliga
Rasenballsport Leipzig;23826;Bundesliga
Fc Augsburg;167;Bundesliga
1 Fc Union Berlin;89;Bundesliga
Arminia Bielefeld;10;Bundesliga
Vfl Wolfsburg;82;Bundesliga
Bayer 04 Leverkusen;15;Bundesliga
Sc Freiburg;60;Bundesliga
Inter Mailand;46;Serie-A
Sampdoria Genua;1038;Serie-A
Udinese Calcio;410;Serie-A
Venezia Fc;607;Serie-A
Ssc Neapel;6195;Serie-A
Genua Cfc;252;Serie-A
Hellas Verona;276;Serie-A
Fc Empoli;749;Serie-A
Cagliari Calcio;1390;Serie-A
Atalanta Bergamo;800;Serie-A
Us Sassuolo;6574;Serie-A
Spezia Calcio;3522;Serie-A
Juventus Turin;506;Serie-A
Ac Florenz;430;Serie-A
Fc Turin;416;Serie-A
Us Salernitana 1919;380;Serie-A
Fc Bologna;1025;Serie-A
As Rom;12;Serie-A
Ac Mailand;5;Serie-A
Lazio Rom;398;Serie-A
Olympique Lyon;1041;Ligue-1
Sco Angers;1420;Ligue-1
Es Troyes Ac;1095;Ligue-1
Stade Brest 29;3911;Ligue-1
Montpellier Hsc;969;Ligue-1
Fc Nantes;995;Ligue-1
Losc Lille;1082;Ligue-1
Fc Lorient;1158;Ligue-1
As Saint Etienne;618;Ligue-1
Fc Stade Rennes;273;Ligue-1
Fc Girondins Bordeaux;40;Ligue-1
As Monaco;162;Ligue-1
Fc Metz;347;Ligue-1
Stade Reims;1421;Ligue-1
Clermont Foot 63;3524;Ligue-1
Rc Lens;826;Ligue-1
Ogc Nizza;417;Ligue-1
Olympique Marseille;244;Ligue-1
Rc Strassburg Alsace;667;Ligue-1
Fc Paris Saint Germain;583;Ligue-1
Fc Chelsea;631;Premier-League
Fc Watford;1010;Premier-League
Fc Southampton;180;Premier-League
Fc Liverpool;31;Premier-League
Wolverhampton Wanderers;543;Premier-League
Manchester City;281;Premier-League
Fc Everton;29;Premier-League
Newcastle United;762;Premier-League
Leeds United;399;Premier-League
Crystal Palace;873;Premier-League
West Ham United;379;Premier-League
Fc Burnley;1132;Premier-League
Fc Arsenal;11;Premier-League
Leicester City;1003;Premier-League
Aston Villa;405;Premier-League
Manchester United;985;Premier-League
Tottenham Hotspur;148;Premier-League
Fc Brentford;1148;Premier-League
Brighton Amp Hove Albion;1237;Premier-League
Norwich City;1123;Premier-League
Fk Rostov;1083;Premier-Liga
Arsenal Tula;3729;Premier-Liga
Fk Ufa;28095;Premier-Liga
Zenit St Petersburg;964;Premier-Liga
Rubin Kazan;2698;Premier-Liga
Spartak Moskau;232;Premier-Liga
Lokomotiv Moskau;932;Premier-Liga
Krylya Sovetov Samara;2696;Premier-Liga
Ural Ekaterinburg;11127;Premier-Liga
Fk Krasnodar;16704;Premier-Liga
Fk Nizhny Novgorod;49702;Premier-Liga
Fk Khimki;3719;Premier-Liga
Zska Moskau;2410;Premier-Liga
Akhmat Grozny;3725;Premier-Liga
Fk Sochi;41231;Premier-Liga
Dinamo Moskau;121;Premier-Liga
Standard Luttich;3057;Jupiler-Pro-League
Rfc Seraing;2715;Jupiler-Pro-League
Rsc Anderlecht;58;Jupiler-Pro-League
Fc Brugge;2282;Jupiler-Pro-League
Krc Genk;1184;Jupiler-Pro-League
Rsc Charleroi;172;Jupiler-Pro-League
Sv Zulte Waregem;3508;Jupiler-Pro-League
Oud Heverlee Leuven;2727;Jupiler-Pro-League
Kv Mechelen;354;Jupiler-Pro-League
Kas Eupen;1245;Jupiler-Pro-League
Kaa Gent;157;Jupiler-Pro-League
Cercle Brugge;520;Jupiler-Pro-League
Royal Antwerpen Fc;1096;Jupiler-Pro-League
Beerschot V A ;41274;Jupiler-Pro-League
Royale Union Saint Gilloise;3948;Jupiler-Pro-League
Vv St Truiden;475;Jupiler-Pro-League
Kv Oostende;2861;Jupiler-Pro-League
Kv Kortrijk;601;Jupiler-Pro-League
Fc Middlesbrough;641;Championship
Derby County;22;Championship
Fc Reading;1032;Championship
West Bromwich Albion;984;Championship
Fc Millwall;1028;Championship
Peterborough United;1072;Championship
Fc Fulham;931;Championship
Swansea City;2288;Championship
Nottingham Forest;703;Championship
Hull City;3008;Championship
Coventry City;990;Championship
Luton Town;1031;Championship
Afc Bournemouth;989;Championship
Fc Blackpool;1181;Championship
Birmingham City;337;Championship
Fc Barnsley;349;Championship
Blackburn Rovers;164;Championship
Sheffield United;350;Championship
Cardiff City;603;Championship
Stoke City;512;Championship
Queens Park Rangers;1039;Championship
Preston North End;466;Championship
Huddersfield Town;1110;Championship
Bristol City;698;Championship
As Nancy Lorraine;1159;Ligue-2
Ea Guingamp;855;Ligue-2
Aj Auxerre;290;Ligue-2
Chamois Niortais Fc;1161;Ligue-2
Ac Ajaccio;1147;Ligue-2
Ac Le Havre;738;Ligue-2
Dijon Fco;2969;Ligue-2
Fc Sochaux Montbeliard;750;Ligue-2
Sc Bastia;595;Ligue-2
Fc Toulouse;415;Ligue-2
Amiens Sc;1416;Ligue-2
Usl Dunkerque;9202;Ligue-2
Rodez Af;11273;Ligue-2
Pau Fc;3166;Ligue-2
Nimes Olympique;1160;Ligue-2
Sm Caen;1162;Ligue-2
Paris Fc;10004;Ligue-2
Fc Valenciennes;1423;Ligue-2
Grenoble Foot 38;1290;Ligue-2
Quevilly Rouen Metropole;7124;Ligue-2
Fc Pacos De Ferreira;2995;Liga-Portugal
Belenenses Sad;2457;Liga-Portugal
Fc Arouca;8024;Liga-Portugal
Fc Vizela;6912;Liga-Portugal
Gil Vicente Fc;2424;Liga-Portugal
Benfica Lissabon;294;Liga-Portugal
Cs Maritimo;1301;Liga-Portugal
Fc Famalicao;3329;Liga-Portugal
Vitoria Guimaraes Sc;2420;Liga-Portugal
Sporting Lissabon;336;Liga-Portugal
Boavista Porto Fc;2503;Liga-Portugal
Portimonense Sc;7378;Liga-Portugal
Gd Estoril Praia;1465;Liga-Portugal
Moreirense Fc;979;Liga-Portugal
Sc Braga;1075;Liga-Portugal
Cd Santa Clara;2423;Liga-Portugal
Cd Tondela;7179;Liga-Portugal
Fc Porto;720;Liga-Portugal
Cracovia;5689;Pko-Ekstraklasa
Legia Warschau;255;Pko-Ekstraklasa
Slask Wroclaw;759;Pko-Ekstraklasa
Rakow Czestochowa;9644;Pko-Ekstraklasa
Warta Posen;7146;Pko-Ekstraklasa
Lech Posen;238;Pko-Ekstraklasa
Piast Gliwice;6112;Pko-Ekstraklasa
Pogon Stettin;324;Pko-Ekstraklasa
Wisla Krakau;422;Pko-Ekstraklasa
Radomiak Radom;7154;Pko-Ekstraklasa
Stal Mielec;22431;Pko-Ekstraklasa
Bruk Bet Termalica Nieciecza;15906;Pko-Ekstraklasa
Zaglebie Lubin;168;Pko-Ekstraklasa
Gornik Leczna;3291;Pko-Ekstraklasa
Jagiellonia Bialystok;2300;Pko-Ekstraklasa
Wisla Plock;2118;Pko-Ekstraklasa
Gornik Zabrze;428;Pko-Ekstraklasa
Lechia Gdansk;4000;Pko-Ekstraklasa
Fk Radnicki 1923 Kragujevac;4645;Super-Liga-Srbije
Fk Novi Pazar;4633;Super-Liga-Srbije
Fk Proleter Novi Sad;19488;Super-Liga-Srbije
Fk Vozdovac;4634;Super-Liga-Srbije
Fk Spartak Subotica;15276;Super-Liga-Srbije
Fk Cukaricki;6621;Super-Liga-Srbije
Fk Mladost Lucani;6622;Super-Liga-Srbije
Fk Napredak Krusevac;788;Super-Liga-Srbije
Fk Metalac Gornji Milanovac;12135;Super-Liga-Srbije
Roter Stern Belgrad;159;Super-Liga-Srbije
Fk Vojvodina Novi Sad;448;Super-Liga-Srbije
Fk Radnik Surdulica;33328;Super-Liga-Srbije
Fk Tsc Backa Topola;3137;Super-Liga-Srbije
Fk Partizan Belgrad;669;Super-Liga-Srbije
Fk Kolubara Lazarevac;12514;Super-Liga-Srbije
Fk Radnicki Nis;7567;Super-Liga-Srbije
Fc Koper;433;Prva-Liga
Nk Tabor Sezana;20656;Prva-Liga
Nk Maribor;790;Prva-Liga
Nk Bravo;26985;Prva-Liga
Nk Olimpija Ljubljana;4772;Prva-Liga
Nk Celje;710;Prva-Liga
Nk Aluminij Kidricevo;11033;Prva-Liga
Nk Domzale;6248;Prva-Liga
Nk Radomlje;21460;Prva-Liga
Ns Mura;4059;Prva-Liga
Real Sociedad B;9899;Laliga2
Ud Ibiza;13241;Laliga2
Cd Lugo;11000;Laliga2
Ad Alcorcon;11596;Laliga2
Fc Fuenlabrada;16486;Laliga2
Fc Malaga;1084;Laliga2
Burgos Cf;1536;Laliga2
Cd Mirandes;13222;Laliga2
Sd Ponferradina;4032;Laliga2
Sd Amorebieta;16575;Laliga2
Real Valladolid;366;Laliga2
Cd Teneriffa;648;Laliga2
Real Saragossa;142;Laliga2
Sd Eibar;1533;Laliga2
Cd Leganes;1244;Laliga2
Fc Cartagena;7077;Laliga2
Fc Girona;12321;Laliga2
Real Oviedo;2497;Laliga2
Sporting Gijon;2448;Laliga2
Ud Las Palmas;472;Laliga2
Sd Huesca;5358;Laliga2
Ud Almeria;3302;Laliga2
Kasimpasa;10484;Super-Lig
Adana Demirspor;3840;Super-Lig
Alanyaspor;11282;Super-Lig
Antalyaspor;589;Super-Lig
Yeni Malatyaspor;19789;Super-Lig
Caykur Rizespor;126;Super-Lig
Trabzonspor;449;Super-Lig
Gaziantep Fk;2832;Super-Lig
Altay Sk;2375;Super-Lig
Hatayspor;7775;Super-Lig
Goztepe;1467;Super-Lig
Fenerbahce Istanbul;36;Super-Lig
Sivasspor;2381;Super-Lig
Fatih Karagumruk;6646;Super-Lig
Giresunspor;11688;Super-Lig
Istanbul Basaksehir Fk;6890;Super-Lig
Kayserispor;3205;Super-Lig
Besiktas Istanbul;114;Super-Lig
Galatasaray Istanbul;141;Super-Lig
Konyaspor;2293;Super-Lig
Club De Gimnasia Y Esgrima La Plata;1106;Professional-Football-League
Racing Club;1444;Professional-Football-League
Club Atletico Barracas Central;25184;Professional-Football-League
Club Atletico Tucuman;14554;Professional-Football-League
Club Deportivo Godoy Cruz Antonio Tomba;12574;Professional-Football-League
Defensa Y Justicia;2402;Professional-Football-League
Arsenal Futbol Club;4673;Professional-Football-League
Club Atletico Platense;928;Professional-Football-League
Club Atletico Sarmiento Junin ;12454;Professional-Football-League
Club Atletico Talleres;3938;Professional-Football-League
Club Atletico Velez Sarsfield;1029;Professional-Football-League
Club Atletico Newells Old Boys;1286;Professional-Football-League
Club Atletico River Plate;209;Professional-Football-League
Club Atletico San Lorenzo De Almagro;1775;Professional-Football-League
Club Atletico Banfield;830;Professional-Football-League
Club Atletico Colon;1070;Professional-Football-League
Club Atletico Boca Juniors;189;Professional-Football-League
Club Atletico Huracan;2063;Professional-Football-League
Club Atletico Tigre;11831;Professional-Football-League
Club Estudiantes De La Plata;288;Professional-Football-League
Club Atletico Patronato;19806;Professional-Football-League
Club Atletico Aldosivi;12301;Professional-Football-League
Club Atletico Lanus;333;Professional-Football-League
Club Atletico Rosario Central;1418;Professional-Football-League
Club Atletico Independiente;1234;Professional-Football-League
Club Atletico Union;7097;Professional-Football-League
Argentinos Juniors;1030;Professional-Football-League
Club Atletico Central Cordoba Sde ;31284;Professional-Football-League
Red Bull Salzburg;409;Bundesliga
Sv Ried;266;Bundesliga
Sk Rapid Wien;170;Bundesliga
Fc Admira Wacker Modling;503;Bundesliga
Fk Austria Wien;14;Bundesliga
Sk Sturm Graz;122;Bundesliga
Sk Austria Klagenfurt;28760;Bundesliga
Tsv Hartberg;4467;Bundesliga
Wolfsberger Ac;4441;Bundesliga
Wsg Tirol;2446;Bundesliga
Lask;413;Bundesliga
Scr Altach;3551;Bundesliga
Atletico Clube Goianiense;15172;Campeonato-Brasileiro-Serie-A
Coritiba Fc;776;Campeonato-Brasileiro-Serie-A
Fluminense Rio De Janeiro;2462;Campeonato-Brasileiro-Serie-A
Cuiaba Ec Mt ;28022;Campeonato-Brasileiro-Serie-A
Fc Santos;221;Campeonato-Brasileiro-Serie-A
America Futebol Clube Mg ;2863;Campeonato-Brasileiro-Serie-A
Clube Atletico Mineiro;330;Campeonato-Brasileiro-Serie-A
Avai Fc Sc ;2035;Campeonato-Brasileiro-Serie-A
Botafogo Rio De Janeiro;537;Campeonato-Brasileiro-Serie-A
Goias Ec;3197;Campeonato-Brasileiro-Serie-A
Sc Internacional Porto Alegre;6600;Campeonato-Brasileiro-Serie-A
Red Bull Bragantino;8793;Campeonato-Brasileiro-Serie-A
