Players;Values;POS;Team;ID;Num
Maximilian Eggestein;8,0;Central Midfield;Sv Werder Bremen;190284;35
Josh Sargent;7,0;Centre-Forward;Sv Werder Bremen;393325;19
Malick Thiaw;6,0;Centre-Back;Fc Schalke 04;521964;33
Marco Friedl;5,0;Centre-Back;Sv Werder Bremen;156990;32
Ko Itakura;5,0;Centre-Back;Fc Schalke 04;355816;3
Mario Vuskovic;5,0;Centre-Back;Hamburger Sv;432757;44
Can Bozdogan;4,3;Central Midfield;Fc Schalke 04;406609;-
Marvin Ducksch;4,0;Centre-Forward;Hannover 96;125103;-
Tom Krauss;4,0;Midfield;1 Fc Nurnberg;405687;14
Milos Veljkovic;4,0;Centre-Back;Sv Werder Bremen;202228;13
Romano Schmid;3,5;Midfield;Sv Werder Bremen;346853;20
Leonardo Bittencourt;3,5;Midfield;Sv Werder Bremen;93844;10
Rodrigo Zalazar;3,5;Midfield;Fc Schalke 04;606752;10
Daniel-Kofi Kyereh;3,0;Midfield;Fc St Pauli;272587;17
Josha Vagnoman;3,0;Right-Back;Hamburger Sv;448258;27
Erik Shuranov;3,0;Centre-Forward;1 Fc Nurnberg;570553;11
Maximilian Beier;3,0;Centre-Forward;Hannover 96;578392;14
Niclas Fullkrug;3,0;Forward;Sv Werder Bremen;75489;11
Ludovit Reis;3,0;Central Midfield;Hamburger Sv;490884;14
Jiri Pavlenka;3,0;Goalkeeper;Sv Werder Bremen;260053;1
Tim Breithaupt;2,8;Defensive Midfield;Karlsruher Sc;569457;38
Tommy Doyle;2,5;Central Midfield;Hamburger Sv;433183;-
Thomas Ouwejan;2,5;Left-Back;Fc Schalke 04;241477;2
Finn Ole Becker;2,5;Central Midfield;Fc St Pauli;334999;20
Felix Agu;2,5;Right-Back;Sv Werder Bremen;393512;27
Robert Glatzel;2,5;Centre-Forward;Hamburger Sv;196139;9
Sonny Kittel;2,4;Midfield;Hamburger Sv;78950;10
Khaled Narey;2,0;Right Winger;Fortuna Dusseldorf;153664;20
Mats Moller Daehli;2,0;Midfield;1 Fc Nurnberg;190831;24
Lino Tempelmann;2,0;Central Midfield;1 Fc Nurnberg;378883;6
Moritz Heyer;2,0;Right-Back;Hamburger Sv;193025;3
Giorgi Chakvetadze;2,0;Midfield;Hamburger Sv;412616;7
Patric Pfeiffer;2,0;Centre-Back;Sv Darmstadt 98;391742;5
Marius Bulter;2,0;Left Winger;Fc Schalke 04;116088;11
Robin Hack;2,0;Left Winger;1 Fc Nurnberg;284010;-
Jackson Irvine;2,0;Central Midfield;Fc St Pauli;192557;7
Sebastian Schonlau;2,0;Centre-Back;Hamburger Sv;213751;4
Phillip Tietz;2,0;Centre-Forward;Sv Darmstadt 98;288340;9
Luca Pfeiffer;2,0;Centre-Forward;Sv Darmstadt 98;232463;16
Philipp Hofmann;2,0;Centre-Forward;Karlsruher Sc;119037;33
Kilian Fischer;2,0;Right-Back;1 Fc Nurnberg;435796;2
Tim Kleindienst;2,0;Centre-Forward;1 Fc Heidenheim 1846;193033;10
Mehmet Aydin;2,0;Right-Back;Fc Schalke 04;472242;38
Linton Maina;1,8;Right Winger;Hannover 96;335103;11
Marcel Hartel;1,8;Central Midfield;Fc St Pauli;189073;30
Leart Paqarada;1,8;Left-Back;Fc St Pauli;107219;23
Patrick Mainka;1,8;Centre-Back;1 Fc Heidenheim 1846;133731;6
Shinta Appelkamp;1,8;Midfield;Fortuna Dusseldorf;452121;23
Johannes Eggestein;1,8;Centre-Forward;Sv Werder Bremen;251303;24
Max Besuschkow;1,8;Central Midfield;Ssv Jahn Regensburg;207578;7
Ron Schallenberg;1,8;Defensive Midfield;Sc Paderborn 07;332392;8
Jeremy Dudziak;1,6;Midfield;Hamburger Sv;147359;-
Tim Leibold;1,5;Left-Back;Hamburger Sv;185699;21
Ao Tanaka;1,5;Central Midfield;Fortuna Dusseldorf;489359;4
Tim Handwerker;1,5;Left-Back;1 Fc Nurnberg;284177;29
Marvin Wanitzek;1,5;Central Midfield;Karlsruher Sc;119581;10
Jonas Meffert;1,5;Defensive Midfield;Hamburger Sv;107574;23
Dawid Kownacki;1,5;Centre-Forward;Fortuna Dusseldorf;208167;-
Miro Muheim;1,5;Left-Back;Hamburger Sv;298603;28
Omer Toprak;1,5;Centre-Back;Sv Werder Bremen;43512;21
Matthias Bader;1,5;Right-Back;Sv Darmstadt 98;237162;26
Faride Alidou;1,5;Left Winger;Hamburger Sv;456492;48
Jean Manuel Mbom;1,5;Central Midfield;Sv Werder Bremen;335003;34
Kevin Mohwald;1,5;Midfield;Sv Werder Bremen;94137;6
Fabian Nurnberger;1,5;Midfield;1 Fc Nurnberg;349433;15
Nicolas Gavory;1,5;Left-Back;Fortuna Dusseldorf;182816;34
Mark Diemers;1,5;Central Midfield;Hannover 96;187507;35
Sebastian Kerk;1,5;Midfield;Hannover 96;124517;37
Mitchell Weiser;1,5;Right-Back;Sv Werder Bremen;119211;8
Benedikt Gimber;1,5;Defensive Midfield;Ssv Jahn Regensburg;227084;5
Johannes Geis;1,4;Defensive Midfield;1 Fc Nurnberg;89650;5
Darko Churlinov;1,3;Left Winger;Fc Schalke 04;386786;7
Tobias Mohr;1,3;Left Winger;1 Fc Heidenheim 1846;153661;29
Ransford-Yeboah Konigsdorffer;1,3;Left Winger;Sg Dynamo Dresden;470038;35
Bakery Jatta;1,3;Right Winger;Hamburger Sv;415194;18
Jamilu Collins;1,3;Left-Back;Sc Paderborn 07;254934;29
Jakov Medic;1,3;Centre-Back;Fc St Pauli;488755;18
Alexander Muhling;1,3;Midfield;Holstein Kiel;85298;8
Robert Bozenik;1,2;Centre-Forward;Fortuna Dusseldorf;454576;32
Christoph Klarer;1,2;Centre-Back;Fortuna Dusseldorf;346849;5
Jordy de Wijs;1,2;Centre-Back;Fortuna Dusseldorf;215096;30
Danylo Sikan;1,2;Centre-Forward;Fc Hansa Rostock;417228;26
Christoph Daferner;1,2;Centre-Forward;Sg Dynamo Dresden;324851;33
Andre Hoffmann;1,2;Centre-Back;Fortuna Dusseldorf;85164;3
Kristoffer Peterson;1,2;Left Winger;Fortuna Dusseldorf;186704;7
Hauke Wahl;1,2;Centre-Back;Holstein Kiel;154147;24
Marcel Sobottka;1,2;Defensive Midfield;Fortuna Dusseldorf;119044;31
Asger Sorensen;1,2;Centre-Back;1 Fc Nurnberg;260846;4
Jan-Niklas Beste;1,2;Left Winger;Ssv Jahn Regensburg;342967;4
Marnon Busch;1,2;Right-Back;1 Fc Heidenheim 1846;117478;2
Sarpreet Singh;1,2;Midfield;Ssv Jahn Regensburg;350357;15
Jan Schoppner;1,2;Midfield;1 Fc Heidenheim 1846;581357;3
Sven Michel;1,2;Centre-Forward;Sc Paderborn 07;186988;-
Levent Mercan;1,2;Central Midfield;Fc Schalke 04;388820;-
Nikola Vasilj;1,2;Goalkeeper;Fc St Pauli;248454;22
Kevin Sessa;1,2;Central Midfield;1 Fc Heidenheim 1846;448028;16
Tom Trybull;1,2;Defensive Midfield;Sv Sandhausen;93831;28
Florent Muslija;1,2;Midfield;Sc Paderborn 07;337036;30
Benedikt Pichler;1,1;Centre-Forward;Holstein Kiel;331362;17
Matthias Zimmermann;1,0;Right-Back;Fortuna Dusseldorf;86848;25
Fabian Reese;1,0;Left Winger;Holstein Kiel;227102;11
Marcin Kaminski;1,0;Centre-Back;Fc Schalke 04;129358;35
Chima Okoroji;1,0;Left-Back;Sv Sandhausen;284035;36
Leonardo Koutris;1,0;Left-Back;Fortuna Dusseldorf;187530;22
Tim Skarke;1,0;Right Winger;Sv Darmstadt 98;287920;27
Erik Wekesser;1,0;Left-Back;Ssv Jahn Regensburg;260657;13
Andreas Vindheim;1,0;Right-Back;Fc Schalke 04;254472;16
Christian Kuhlwetter;1,0;Forward;1 Fc Heidenheim 1846;184204;24
Florian Flick;1,0;Defensive Midfield;Fc Schalke 04;596881;17
Ilia Gruev;1,0;Defensive Midfield;Sv Werder Bremen;381753;28
Sei Muroya;1,0;Right-Back;Hannover 96;188910;21
Philipp Klement;1,0;Midfield;Sc Paderborn 07;60394;31
Eric Smith;1,0;Defensive Midfield;Fc St Pauli;292534;8
Sebastian Ernst;1,0;Midfield;Hannover 96;108198;10
Matthew Hoppe;1,0;Centre-Forward;Fc Schalke 04;678194;-
David Kinsombi;1,0;Central Midfield;Hamburger Sv;196834;6
Simon Terodde;1,0;Centre-Forward;Fc Schalke 04;36284;9
Lukas Mai;1,0;Centre-Back;Sv Werder Bremen;345780;26
Igor Matanovic;1,0;Centre-Forward;Fc St Pauli;605268;34
Anthony Jung;1,0;Left-Back;Sv Werder Bremen;58995;3
Marcel Franke;1,0;Centre-Back;Hannover 96;152435;28
Thomas Isherwood;1,0;Centre-Back;Sv Darmstadt 98;322075;3
Gael Ondoua;1,0;Defensive Midfield;Hannover 96;322309;29
Kemal Ademi;1,0;Centre-Forward;Sc Paderborn 07;333161;19
