Players;Values;POS;Team;ID;Num
Jordan Larsson;8,0;Right Winger;Aik Solna;308552;19
Anel Ahmedhodzic;6,0;Centre-Back;Malmo Ff;377468;15
Sead Haksabanovic;5,5;Left Winger;Djurgardens If;349300;99
Williot Swedberg;5,0;Midfield;Hammarby If;764859;44
Isak Bergmann Johannesson;4,0;Midfield;Ifk Norrkoping;579565;8
Veljko Birmancevic;3,5;Left Winger;Malmo Ff;419648;19
Patrik Walemark;3,5;Right Winger;Bk Hacken;721470;-
Akinkunmi Amoo;3,5;Right Winger;Hammarby If;666580;-
Antonio Colak;3,0;Centre-Forward;Malmo Ff;160668;9
Ishaq Abdulrazak;3,0;Midfield;Ifk Norrkoping;775535;-
Hjalmar Ekdal;2,5;Centre-Back;Djurgardens If;392179;3
Dennis Hadzikadunic;2,5;Centre-Back;Malmo Ff;322065;21
Isaac Kiese Thelin;2,5;Centre-Forward;Malmo Ff;201311;-
Arnor Sigurdsson;2,3;Midfield;Ifk Norrkoping;377665;8
Anders Christiansen;2,2;Central Midfield;Malmo Ff;77259;10
Filip Dagerstal;2,0;Centre-Back;Ifk Norrkoping;270905;25
Oscar Vilhelmsson;2,0;Centre-Forward;Ifk Goteborg;673071;29
Bonke Innocent;2,0;Defensive Midfield;Malmo Ff;333383;20
Armin Gigovic;2,0;Central Midfield;Helsingborgs If;651269;37
Bilal Hussein;2,0;Central Midfield;Aik Solna;448266;8
Amin Sarr;2,0;Centre-Forward;Malmo Ff;748382;39
Aziz Ouattara;2,0;Defensive Midfield;Hammarby If;678100;32
Leo Vaisanen;2,0;Centre-Back;If Elfsborg Boras;309439;15
Mohanad Jeahze;1,8;Left-Back;Hammarby If;296384;5
Bubacarr Trawally;1,8;Left Winger;Hammarby If;353112;-
Jonathan Levi;1,8;Right Winger;Ifk Norrkoping;383880;10
Simon Gustafson;1,8;Central Midfield;Bk Hacken;255474;14
Erick Otieno;1,8;Left-Back;Aik Solna;442118;25
Alexander Jeremejeff;1,8;Centre-Forward;Bk Hacken;205760;9
Sergio Pena;1,7;Midfield;Malmo Ff;224672;8
Gustav Ludwigson;1,5;Right Winger;Hammarby If;558269;16
Oscar Lewicki;1,5;Defensive Midfield;Malmo Ff;76051;6
Hugo Larsson;1,5;Central Midfield;Malmo Ff;931838;-
Hampus Finndell;1,5;Central Midfield;Djurgardens If;405313;13
Edvin Kurtulus;1,5;Centre-Back;Hammarby If;555058;21
Simon Olsson;1,5;Midfield;If Elfsborg Boras;321158;10
Christoffer Nyman;1,5;Centre-Forward;Ifk Norrkoping;167149;5
Rasmus Alm;1,5;Right Winger;If Elfsborg Boras;290085;21
Arnor Ingvi Traustason;1,5;Left Winger;Ifk Norrkoping;153237;9
Gustav Berggren;1,5;Central Midfield;Bk Hacken;258007;17
Darijan Bojanic;1,5;Central Midfield;Hammarby If;184526;6
Samuel Adegbenro;1,4;Left Winger;Ifk Norrkoping;356119;9
Mahame Siby;1,3;Defensive Midfield;Malmo Ff;587646;25
Magnus Eriksson;1,2;Central Midfield;Djurgardens If;75554;7
Astrit Selmani;1,2;Centre-Forward;Hammarby If;423879;-
Linus Wahlqvist;1,2;Right-Back;Ifk Norrkoping;249125;6
Felix Beijmo;1,2;Right-Back;Malmo Ff;322293;14
Godswill Ekpolo;1,2;Right-Back;Bk Hacken;223727;-
Erdal Rakip;1,2;Central Midfield;Malmo Ff;230746;7
Jacob Ondrejka;1,2;Left Winger;If Elfsborg Boras;663237;-
Alexander Milosevic;1,2;Centre-Back;Aik Solna;171376;5
Oliver Berg;1,2;Midfield;Kalmar Ff;226118;20
Oscar Uddenas;1,2;Right Winger;Bk Hacken;585334;-
Daleho Irandust;1,2;Midfield;Bk Hacken;369653;19
Victor Edvardsen;1,2;Centre-Forward;Djurgardens If;265324;16
Benie Traore;1,0;Right Winger;Bk Hacken;852024;16
Andri Gudjohnsen;1,0;Centre-Forward;Ifk Norrkoping;490967;22
Per Frick;1,0;Centre-Forward;If Elfsborg Boras;216148;17
Jeppe Okkels;1,0;Left Winger;If Elfsborg Boras;345591;19
Andre Romer;1,0;Midfield;If Elfsborg Boras;218085;6
Aimar Sher;1,0;Central Midfield;Hammarby If;579294;31
Johan Larsson;1,0;Right-Back;If Elfsborg Boras;140678;24
Oliver Zanden;1,0;Left-Back;If Elfsborg Boras;611195;29
Maudo Jarjue;1,0;Centre-Back;If Elfsborg Boras;450462;5
Nicolas Stefanelli;1,0;Centre-Forward;Aik Solna;333923;9
Jonas Knudsen;1,0;Left-Back;Malmo Ff;144904;3
Veton Berisha;1,0;Centre-Forward;Hammarby If;181985;9
John Guidetti;1,0;Centre-Forward;Aik Solna;98596;11
Carl Gustafsson;1,0;Central Midfield;Kalmar Ff;430823;17
Alexander Jallow;1,0;Right-Back;Ifk Goteborg;357622;5
