Players;Values;POS;Team;ID;Num
Karim Adeyemi;35,0;Left Winger;Red Bull Salzburg;496094;27
Mohamed Camara;27,0;Defensive Midfield;Red Bull Salzburg;543382;19
Brenden Aaronson;25,0;Midfield;Red Bull Salzburg;393323;11
Nicolas Seiwald;20,0;Central Midfield;Red Bull Salzburg;404950;13
Luka Sucic;20,0;Midfield;Red Bull Salzburg;502722;21
Noah Okafor;18,0;Centre-Forward;Red Bull Salzburg;346890;77
Rasmus Kristensen;15,0;Right-Back;Red Bull Salzburg;369684;43
Maximilian Wober;12,0;Centre-Back;Red Bull Salzburg;263361;39
Oumar Solet;12,0;Centre-Back;Red Bull Salzburg;463665;22
Benjamin Sesko;10,0;Centre-Forward;Red Bull Salzburg;627442;30
Sekou Koita;8,0;Centre-Forward;Red Bull Salzburg;402010;20
Nicolas Capaldo;6,5;Central Midfield;Red Bull Salzburg;649672;7
Maurits Kjaergaard;6,0;Central Midfield;Red Bull Salzburg;610405;14
Mergim Berisha;6,0;Centre-Forward;Red Bull Salzburg;307924;-
Junior Adamu;6,0;Centre-Forward;Red Bull Salzburg;452477;9
Kamil Piatkowski;5,0;Centre-Back;Red Bull Salzburg;345449;4
Gernot Trauner;5,0;Centre-Back;Lask;59145;-
Roko Simic;5,0;Centre-Forward;Red Bull Salzburg;658693;23
Marco Grull;5,0;Left Winger;Sk Rapid Wien;391766;27
Yusuf Demir;5,0;Right Winger;Sk Rapid Wien;548031;10
Kelvin Yeboah;5,0;Centre-Forward;Sk Sturm Graz;589737;-
Rasmus Hojlund;4,5;Forward;Sk Sturm Graz;610442;9
Amar Dedic;4,0;Right-Back;Wolfsberger Ac;519184;77
Jon Gorenc Stankovic;3,5;Defensive Midfield;Sk Sturm Graz;245034;4
Jerome Onguene;3,5;Centre-Back;Red Bull Salzburg;272638;6
Antoine Bernede;3,0;Central Midfield;Red Bull Salzburg;395512;10
Ignace Van der Brempt;3,0;Right-Back;Red Bull Salzburg;490423;2
Otar Kiteishvili;3,0;Midfield;Sk Sturm Graz;352596;10
Matthias Braunoder;3,0;Midfield;Fk Austria Wien;488052;23
Emanuel Aiwu;3,0;Centre-Back;Fc Admira Wacker Modling;394152;-
Ercan Kara;3,0;Centre-Forward;Sk Rapid Wien;320701;-
Taxiarchis Fountas;3,0;Striker;Sk Rapid Wien;192409;-
Philipp Kohn;3,0;Goalkeeper;Red Bull Salzburg;251322;18
Eric Martel;3,0;Defensive Midfield;Fk Austria Wien;597000;5
Leo Greiml;2,5;Centre-Back;Sk Rapid Wien;434110;30
Giacomo Vrioni;2,5;Centre-Forward;Wsg Tirol;363178;9
Robert Ljubicic;2,5;Left-Back;Sk Rapid Wien;353634;5
David Affengruber;2,5;Centre-Back;Sk Sturm Graz;452483;42
Bernardo;2,5;Centre-Back;Red Bull Salzburg;364258;95
Manprit Sarkaria;2,3;Centre-Forward;Sk Sturm Graz;288690;11
Gregory Wuthrich;2,0;Centre-Back;Sk Sturm Graz;203125;5
Jusuf Gazibegovic;2,0;Right-Back;Sk Sturm Graz;393745;22
Mamady Diambou;2,0;Defensive Midfield;Red Bull Salzburg;671593;15
Andres Andrade;2,0;Centre-Back;Lask;403808;-
Amadou Dante;2,0;Left-Back;Sk Sturm Graz;649087;44
Alexander Prass;2,0;Midfield;Sk Sturm Graz;434116;8
Matthaus Taferner;2,0;Central Midfield;Wolfsberger Ac;434104;30
Maximilian Ullmann;2,0;Left-Back;Sk Rapid Wien;239934;-
Lukas Muhl;1,8;Centre-Back;Fk Austria Wien;279079;20
Patrick Pentz;1,7;Goalkeeper;Fk Austria Wien;223972;1
Alex Timossi Andersson;1,5;Right Winger;Sk Austria Klagenfurt;454628;12
Adis Jasic;1,5;Right-Back;Wolfsberger Ac;531214;97
Keito Nakamura;1,5;Left Winger;Lask;405397;38
Peter Michorl;1,5;Central Midfield;Lask;158106;8
Lukas Grgic;1,5;Defensive Midfield;Lask;224871;-
Dominik Baumgartner;1,5;Centre-Back;Wolfsberger Ac;206906;22
Filip Stojkovic;1,5;Right-Back;Sk Rapid Wien;139751;22
Luka Lochoshvili;1,5;Centre-Back;Wolfsberger Ac;345189;44
Dorgeles Nene;1,5;Centre-Forward;Sv Ried;671591;45
Sascha Horvath;1,5;Midfield;Tsv Hartberg;186365;-
Ferdy Druijf;1,5;Centre-Forward;Sk Rapid Wien;360519;38
Daouda Guindo;1,5;Left-Back;Red Bull Salzburg;671590;37
Bryan Okoh;1,5;Centre-Back;Red Bull Salzburg;539795;3
Tai Baribo;1,3;Centre-Forward;Wolfsberger Ac;492252;11
Aleksandar Jukic;1,3;Midfield;Fk Austria Wien;393699;77
Bernhard Zimmermann;1,2;Centre-Forward;Sk Rapid Wien;488073;41
Benedikt Pichler;1,1;Centre-Forward;Fk Austria Wien;331362;-
Albert Vallci;1,0;Right-Back;Red Bull Salzburg;261935;5
Turgay Gemicibasi;1,0;Defensive Midfield;Sk Austria Klagenfurt;169460;81
Anderson Niangbo;1,0;Midfield;Sk Sturm Graz;294814;15
Alexander Schlager;1,0;Goalkeeper;Lask;186374;1
Eliel Peretz;1,0;Central Midfield;Wolfsberger Ac;444018;7
Maximilian Hofmann;1,0;Centre-Back;Sk Rapid Wien;131231;20
Marlon Mustapha;1,0;Centre-Forward;Fc Admira Wacker Modling;532495;9
Dejan Petrovic;1,0;Central Midfield;Sk Rapid Wien;320859;16
Samson Tijani;1,0;Defensive Midfield;Red Bull Salzburg;666613;44
Ousmane Diakite;1,0;Midfield;Red Bull Salzburg;402007;-
Jan Boller;1,0;Centre-Back;Lask;389079;34
Hyun-seok Hong;1,0;Central Midfield;Lask;562948;21
Niklas Hedl;1,0;Goalkeeper;Sk Rapid Wien;404881;45
Thomas Goiginger;1,0;Right Winger;Lask;189912;27
Nico Mantl;1,0;Goalkeeper;Red Bull Salzburg;349536;1
Kevin Wimmer;1,0;Centre-Back;Sk Rapid Wien;122675;6
Patrick Greil;1,0;Central Midfield;Sk Austria Klagenfurt;197043;4
Jakob Jantscher;0,9;Centre-Forward;Sk Sturm Graz;52269;13
Manfred Fischer;0,9;Midfield;Fk Austria Wien;269093;30
Richard Strebinger;0,9;Goalkeeper;Sk Rapid Wien;93768;-
Mamoudou Karamoko;0,9;Centre-Forward;Lask;646782;-
Philipp Wiesinger;0,8;Centre-Back;Lask;159139;6
Branko Jovicic;0,8;Defensive Midfield;Lask;214715;18
Rene Renner;0,8;Left-Back;Lask;212333;7
Stefan Hierlander;0,8;Midfield;Sk Sturm Graz;59053;25
Husein Balic;0,8;Left Winger;Lask;241803;14
Kelvin Arase;0,8;Right Winger;Sk Rapid Wien;321048;36
Zlatko Junuzovic;0,8;Central Midfield;Red Bull Salzburg;31007;16
Andreas Gruber;0,8;Right Winger;Lask;194477;17
Marko Raguz;0,8;Centre-Forward;Lask;307664;10
Dominik Fitz;0,8;Midfield;Fk Austria Wien;354022;36
Niklas Geyrhofer;0,8;Centre-Back;Sk Sturm Graz;394008;35
Nicolas Wimmer;0,8;Centre-Back;Sk Austria Klagenfurt;194736;37
Marco Djuricin;0,8;Centre-Forward;Fk Austria Wien;92989;92
Vesel Demaku;0,8;Defensive Midfield;Fk Austria Wien;346846;8
Muharem Huskovic;0,8;Centre-Forward;Fk Austria Wien;548235;25
Jonas Auer;0,8;Left-Back;Sk Rapid Wien;393766;23
Martin Moormann;0,8;Left-Back;Sk Rapid Wien;434098;26
Ivan Ljubic;0,8;Defensive Midfield;Sk Sturm Graz;250028;30
Ante Bajic;0,75;Right Winger;Sv Ried;282918;12
Roman Kerschbaum;0,75;Central Midfield;Fc Admira Wacker Modling;120202;8
Thomas Sabitzer;0,7;Centre-Forward;Wsg Tirol;394032;7
Noah Ohio;0,7;Centre-Forward;Fk Austria Wien;557410;18
Kai Stratznig;0,7;Defensive Midfield;Wolfsberger Ac;531217;33
Amankwah Forson;0,7;Midfield;Red Bull Salzburg;650944;-
Dario Maresic;0,7;Centre-Back;Lask;307807;44
Thierno Ballo;0,7;Midfield;Sk Rapid Wien;406608;-
Florian Flecker;0,7;Midfield;Lask;272159;29
Youba Diarra;0,7;Central Midfield;Tsv Hartberg;564451;32
Stefan Nutz;0,7;Midfield;Sv Ried;106171;22
Zan Rogelj;0,7;Midfield;Wsg Tirol;371861;21
Can Keles;0,7;Left Winger;Fk Austria Wien;451642;16
Jorg Siebenhandl;0,7;Goalkeeper;Sk Sturm Graz;59009;27
Phillip Menzel;0,7;Goalkeeper;Sk Austria Klagenfurt;284346;13
Dario Vizinger;0,7;Centre-Forward;Wolfsberger Ac;391340;9
Lukas Malicsek;0,7;Defensive Midfield;Fc Admira Wacker Modling;354061;12
Thorsten Rocher;0,65;Forward;Wolfsberger Ac;174856;18
Jurgen Heil;0,65;Central Midfield;Tsv Hartberg;271223;28
Marvin Potzmann;0,6;Right-Back;Lask;106869;19
Andreas Kuen;0,6;Central Midfield;Sk Sturm Graz;186798;19
Andreas Ulmer;0,6;Left-Back;Red Bull Salzburg;31196;17
Kilian Ludewig;0,6;Right-Back;Red Bull Salzburg;361516;-
Leon Klassen;0,6;Left-Back;Wsg Tirol;441987;-
Tobias Anselm;0,6;Centre-Forward;Wsg Tirol;321847;20
Petar Filipovic;0,6;Centre-Back;Lask;85922;5
Nemanja Celic;0,6;Defensive Midfield;Wsg Tirol;353899;-
Raffael Behounek;0,6;Centre-Back;Wsg Tirol;321095;30
Donis Avdijaj;0,6;Left Winger;Tsv Hartberg;196227;77
Samuel Sahin-Radlinger;0,6;Goalkeeper;Sv Ried;77563;1
Nikolas Veratschnig;0,6;Central Midfield;Wolfsberger Ac;601143;6
Johannes Handl;0,6;Centre-Back;Fk Austria Wien;293084;46
Markus Pink;0,6;Centre-Forward;Sk Austria Klagenfurt;78006;32
Luca Kronberger;0,6;Left Winger;Fc Admira Wacker Modling;519011;-
Lucas Galvao;0,6;Centre-Back;Fk Austria Wien;104540;33
Thorsten Schick;0,6;Right-Back;Sk Rapid Wien;55574;13
Christoph Knasmullner;0,6;Midfield;Sk Rapid Wien;59068;8
Andreas Leitner;0,6;Goalkeeper;Fc Admira Wacker Modling;106851;1
Christopher Cvetko;0,6;Central Midfield;Sk Austria Klagenfurt;223954;14
Matija Horvat;0,55;Defensive Midfield;Tsv Hartberg;338855;11
Paul Gartler;0,5;Goalkeeper;Sk Rapid Wien;223957;25
Georg Teigl;0,5;Right-Back;Fk Austria Wien;81698;39
Philipp Pomer;0,5;Midfield;Sv Ried;289396;17
Rene Swete;0,5;Goalkeeper;Tsv Hartberg;181454;1
Srdjan Grahovac;0,5;Defensive Midfield;Sk Rapid Wien;123158;14
Tin Plavotic;0,5;Centre-Back;Sv Ried;307658;24
Thorsten Mahrer;0,5;Centre-Back;Sk Austria Klagenfurt;76369;31
