Players;Values;POS;Team;ID;Num
Erling Haaland;150,0;Centre-Forward;Borussia Dortmund;418560;9
Christopher Nkunku;80,0;Striker;Rasenballsport Leipzig;344381;18
Joshua Kimmich;80,0;Defensive Midfield;Fc Bayern Munchen;161056;6
Jude Bellingham;80,0;Central Midfield;Borussia Dortmund;581678;22
Florian Wirtz;70,0;Midfield;Bayer 04 Leverkusen;598577;27
Alphonso Davies;70,0;Left-Back;Fc Bayern Munchen;424204;19
Leon Goretzka;65,0;Central Midfield;Fc Bayern Munchen;153084;8
Jamal Musiala;65,0;Midfield;Fc Bayern Munchen;580195;42
Serge Gnabry;65,0;Right Winger;Fc Bayern Munchen;159471;7
Moussa Diaby;60,0;Left Winger;Bayer 04 Leverkusen;395516;19
Kingsley Coman;60,0;Right Winger;Fc Bayern Munchen;243714;11
Leroy Sane;60,0;Right Winger;Fc Bayern Munchen;192565;10
Lucas Hernandez;50,0;Centre-Back;Fc Bayern Munchen;281963;21
Patrik Schick;50,0;Centre-Forward;Bayer 04 Leverkusen;242086;14
Robert Lewandowski;45,0;Centre-Forward;Fc Bayern Munchen;38253;9
Dayot Upamecano;40,0;Centre-Back;Fc Bayern Munchen;344695;2
Dani Olmo;40,0;Midfield;Rasenballsport Leipzig;293385;25
Josko Gvardiol;35,0;Centre-Back;Rasenballsport Leipzig;475959;32
Niklas Sule;35,0;Centre-Back;Fc Bayern Munchen;166601;4
Edmond Tapsoba;35,0;Centre-Back;Bayer 04 Leverkusen;564545;12
Giovanni Reyna;35,0;Midfield;Borussia Dortmund;504215;7
Nico Schlotterbeck;33,0;Centre-Back;Sc Freiburg;388198;4
Andre Silva;32,0;Centre-Forward;Rasenballsport Leipzig;198008;33
Evan Ndicka;32,0;Centre-Back;Eintracht Frankfurt;371149;2
Benjamin Pavard;30,0;Right-Back;Fc Bayern Munchen;353366;5
Angelino;30,0;Left-Back;Rasenballsport Leipzig;277179;3
Matheus Cunha;30,0;Centre-Forward;Hertha Bsc;517894;10
Manuel Akanji;30,0;Centre-Back;Borussia Dortmund;284730;16
Dominik Szoboszlai;28,0;Midfield;Rasenballsport Leipzig;451276;17
Konrad Laimer;28,0;Central Midfield;Rasenballsport Leipzig;223967;27
Donyell Malen;27,0;Left Winger;Borussia Dortmund;326029;21
Xaver Schlager;27,0;Central Midfield;Vfl Wolfsburg;223979;24
Denis Zakaria;27,0;Defensive Midfield;Borussia Monchengladbach;334526;-
Julian Brandt;25,0;Midfield;Borussia Dortmund;187492;19
Raphael Guerreiro;25,0;Left-Back;Borussia Dortmund;170986;13
Sasa Kalajdzic;25,0;Centre-Forward;Vfb Stuttgart;369567;9
Jonathan Tah;25,0;Centre-Back;Bayer 04 Leverkusen;196357;4
Amadou Haidara;24,0;Central Midfield;Rasenballsport Leipzig;402008;8
Filip Kostic;24,0;Midfield;Eintracht Frankfurt;161011;10
Borna Sosa;23,0;Left-Back;Vfb Stuttgart;293194;24
Djibril Sow;22,0;Central Midfield;Eintracht Frankfurt;212723;8
Thomas Muller;22,0;Striker;Fc Bayern Munchen;58358;25
Mohamed Simakan;22,0;Centre-Back;Rasenballsport Leipzig;666234;2
Gregor Kobel;22,0;Goalkeeper;Borussia Dortmund;257814;1
Christoph Baumgartner;22,0;Midfield;Tsg 1899 Hoffenheim;324278;14
Daichi Kamada;22,0;Midfield;Eintracht Frankfurt;356141;15
Sardar Azmoun;22,0;Centre-Forward;Bayer 04 Leverkusen;180337;9
Taiwo Awoniyi;20,0;Centre-Forward;1 Fc Union Berlin;295313;14
Ridle Baku;20,0;Right-Back;Vfl Wolfsburg;327251;20
Odilon Kossounou;20,0;Centre-Back;Bayer 04 Leverkusen;644771;6
Florian Neuhaus;20,0;Central Midfield;Borussia Monchengladbach;278332;32
Rafael Borre;20,0;Forward;Eintracht Frankfurt;323831;19
Marcus Thuram;20,0;Centre-Forward;Borussia Monchengladbach;318528;10
Maxence Lacroix;20,0;Centre-Back;Vfl Wolfsburg;434224;4
David Raum;20,0;Left-Back;Tsg 1899 Hoffenheim;318204;17
Nordi Mukiele;20,0;Right-Back;Rasenballsport Leipzig;348026;22
Jeremie Frimpong;20,0;Right-Back;Bayer 04 Leverkusen;484547;30
Nico Elvedi;18,0;Centre-Back;Borussia Monchengladbach;192635;30
Mahmoud Dahoud;18,0;Central Midfield;Borussia Dortmund;191422;8
Manu Kone;18,0;Midfield;Borussia Monchengladbach;624690;17
Lukas Klostermann;18,0;Right-Back;Rasenballsport Leipzig;215599;16
Philipp Lienhart;18,0;Centre-Back;Sc Freiburg;225657;3
Lukas Nmecha;18,0;Centre-Forward;Vfl Wolfsburg;314288;10
Matthias Ginter;18,0;Centre-Back;Borussia Monchengladbach;124502;28
Moussa Niakhate;18,0;Centre-Back;1 Fsv Mainz 05;291200;19
Jesper Lindstrom;17,0;Midfield;Eintracht Frankfurt;513245;29
Ramy Bensebaini;17,0;Left-Back;Borussia Monchengladbach;284732;25
Jonathan Burkardt;17,0;Centre-Forward;1 Fsv Mainz 05;333647;29
Piero Hincapie;17,0;Centre-Back;Bayer 04 Leverkusen;659813;33
Tyler Adams;17,0;Defensive Midfield;Rasenballsport Leipzig;332705;14
Maximilian Arnold;17,0;Central Midfield;Vfl Wolfsburg;117674;27
Hee-chan Hwang;16,0;Centre-Forward;Rasenballsport Leipzig;292246;-
Georginio Rutter;16,0;Centre-Forward;Tsg 1899 Hoffenheim;538977;33
Ihlas Bebou;16,0;Centre-Forward;Tsg 1899 Hoffenheim;237164;9
Jeremiah St. Juste;16,0;Centre-Back;1 Fsv Mainz 05;288253;4
Emre Can;16,0;Defensive Midfield;Borussia Dortmund;119296;23
Florian Grillitsch;16,0;Defensive Midfield;Tsg 1899 Hoffenheim;195736;11
Diadie Samassekou;16,0;Midfield;Tsg 1899 Hoffenheim;315604;18
Exequiel Palacios;15,0;Central Midfield;Bayer 04 Leverkusen;401578;25
Kerem Demirbay;15,0;Central Midfield;Bayer 04 Leverkusen;125858;10
Silas;15,0;Right Winger;Vfb Stuttgart;612826;14
Orel Mangala;15,0;Central Midfield;Vfb Stuttgart;289592;23
Konstantinos Mavropanos;15,0;Centre-Back;Vfb Stuttgart;415912;5
Josip Brekalo;15,0;Left Winger;Vfl Wolfsburg;293169;-
Alassane Plea;15,0;Left Winger;Borussia Monchengladbach;167329;14
Youssoufa Moukoko;15,0;Centre-Forward;Borussia Dortmund;467720;18
Manuel Neuer;15,0;Goalkeeper;Fc Bayern Munchen;17259;1
Breel Embolo;15,0;Centre-Forward;Borussia Monchengladbach;237662;36
Marcel Sabitzer;15,0;Central Midfield;Fc Bayern Munchen;106987;18
Corentin Tolisso;15,0;Central Midfield;Fc Bayern Munchen;190393;24
Thorgan Hazard;15,0;Left Winger;Borussia Dortmund;102226;10
Benjamin Henrichs;14,0;Right-Back;Rasenballsport Leipzig;202591;39
Yussuf Poulsen;14,0;Centre-Forward;Rasenballsport Leipzig;157635;9
Jonas Wind;14,0;Centre-Forward;Vfl Wolfsburg;391004;23
Wout Weghorst;14,0;Centre-Forward;Vfl Wolfsburg;228645;-
Baptiste Santamaria;14,0;Central Midfield;Sc Freiburg;285323;-
Mitchel Bakker;14,0;Left-Back;Bayer 04 Leverkusen;361065;5
Jonas Hofmann;13,0;Right Winger;Borussia Monchengladbach;7161;23
Tuta;13,0;Centre-Back;Eintracht Frankfurt;546213;35
