Players;Values;POS;Team;ID;Num
Gabriel Barbosa;26,0;Centre-Forward;Flamengo Rio De Janeiro;244275;9
Danilo;22,0;Defensive Midfield;Se Palmeiras Sao Paulo;808509;28
Giorgian de Arrascaeta;17,0;Midfield;Flamengo Rio De Janeiro;248410;14
Pedrinho;17,0;Right Winger;Clube Atletico Mineiro;515208;37
Yuri Alberto;16,0;Centre-Forward;Corinthians Sao Paulo;489893;7
Everton;15,0;Left Winger;Flamengo Rio De Janeiro;321239;19
Patrick de Paula;14,0;Central Midfield;Botafogo Rio De Janeiro;737821;8
Guilherme Arana;14,0;Left-Back;Clube Atletico Mineiro;346766;13
Matias Zaracho;13,0;Midfield;Clube Atletico Mineiro;480774;15
Dudu;12,0;Left Winger;Se Palmeiras Sao Paulo;114937;7
Raphael Veiga;12,0;Midfield;Se Palmeiras Sao Paulo;432953;23
Luiz Henrique;12,0;Right Winger;Fluminense Rio De Janeiro;800175;11
Gabriel Veron;12,0;Left Winger;Se Palmeiras Sao Paulo;627221;27
Gabriel Menino;11,0;Central Midfield;Se Palmeiras Sao Paulo;608216;25
Angelo Gabriel;10,0;Right Winger;Fc Santos;743598;11
Artur;10,0;Right Winger;Red Bull Bragantino;440658;7
Giovani;10,0;Right Winger;Se Palmeiras Sao Paulo;749560;17
Pedro;10,0;Centre-Forward;Flamengo Rio De Janeiro;432895;21
Rony;9,0;Centre-Forward;Se Palmeiras Sao Paulo;371009;10
Joao Gomes;9,0;Central Midfield;Flamengo Rio De Janeiro;735570;35
Gustavo Scarpa;9,0;Midfield;Se Palmeiras Sao Paulo;330085;14
Renan;9,0;Centre-Back;Red Bull Bragantino;662325;19
Wanderson;8,0;Left Winger;Sc Internacional Porto Alegre;236202;11
Gustavo Gomez;8,0;Centre-Back;Se Palmeiras Sao Paulo;215390;15
Kaiky;8,0;Centre-Back;Fc Santos;743589;28
Joao Victor;8,0;Centre-Back;Corinthians Sao Paulo;671145;33
Jefferson Savarino;8,0;Right Winger;Clube Atletico Mineiro;309193;17
Matheuzinho;8,0;Right-Back;Flamengo Rio De Janeiro;594226;34
Jose Manuel Lopez;8,0;Forward;Se Palmeiras Sao Paulo;844797;18
