Players;Values;POS;Team;ID;Num
Frank Anguissa;30,0;Central Midfield;Fc Fulham;354361;-
Aaron Ramsdale;28,0;Goalkeeper;Sheffield United;427568;-
Aleksandar Mitrovic;20,0;Forward;Fc Fulham;51152;9
Philip Billing;18,0;Central Midfield;Afc Bournemouth;320411;29
Todd Cantwell;18,0;Midfield;Afc Bournemouth;332341;-
Harry Wilson;17,0;Right Winger;Fc Fulham;279455;8
Sander Berge;16,0;Defensive Midfield;Sheffield United;333014;8
Dominic Solanke;16,0;Centre-Forward;Afc Bournemouth;258889;9
Ben Brereton Diaz;16,0;Forward;Blackburn Rovers;426192;22
David Brooks;16,0;Right Winger;Afc Bournemouth;277033;7
Tosin Adarabioyo;15,0;Centre-Back;Fc Fulham;258878;16
Jefferson Lerma;15,0;Defensive Midfield;Afc Bournemouth;262980;8
Brennan Johnson;15,0;Striker;Nottingham Forest;470607;20
Sam Johnstone;12,0;Goalkeeper;West Bromwich Albion;110864;1
Fabio Carvalho;12,0;Midfield;Fc Fulham;559263;28
Lloyd Kelly;12,0;Centre-Back;Afc Bournemouth;480116;5
Keane Lewis-Potter;12,0;Left Winger;Hull City;644401;11
Morgan Gibbs-White;11,0;Midfield;Sheffield United;429014;27
Alex Mowatt;10,0;Central Midfield;West Bromwich Albion;283514;27
Daryl Dike;10,0;Centre-Forward;West Bromwich Albion;638741;12
Harrison Reed;10,0;Central Midfield;Fc Fulham;226973;6
Freddie Woodman;9,0;Goalkeeper;Afc Bournemouth;226049;-
Ryan Christie;9,0;Midfield;Afc Bournemouth;188077;10
Lewis Cook;9,0;Central Midfield;Afc Bournemouth;249089;4
Djed Spence;8,0;Right-Back;Nottingham Forest;483348;-
Joel Piroe;8,0;Centre-Forward;Swansea City;369962;17
Nathaniel Phillips;8,0;Centre-Back;Afc Bournemouth;371814;-
Ben Cabango;8,0;Centre-Back;Swansea City;496659;5
Antonee Robinson;8,0;Left-Back;Fc Fulham;349701;33
Abdallah Sima;8,0;Right Winger;Stoke City;776798;27
Neco Williams;8,0;Right-Back;Fc Fulham;503680;-
Karlan Grant;8,0;Centre-Forward;West Bromwich Albion;314183;18
Taylor Harwood-Bellis;7,0;Centre-Back;Stoke City;503977;24
Bobby De Cordova-Reid;7,0;Midfield;Fc Fulham;186186;14
John Swift;7,0;Central Midfield;Fc Reading;197693;10
Matt Grimes;7,0;Central Midfield;Swansea City;265471;8
James Garner;7,0;Defensive Midfield;Nottingham Forest;505219;-
Rhian Brewster;7,0;Centre-Forward;Sheffield United;406560;7
John Egan;7,0;Centre-Back;Sheffield United;121324;12
Jed Wallace;6,5;Right Winger;Fc Millwall;198358;7
Lys Mousset;6,0;Centre-Forward;Sheffield United;291422;11
Aaron Connolly;6,0;Centre-Forward;Fc Middlesbrough;434207;-
Cameron Archer;6,0;Centre-Forward;Preston North End;533662;-
Jaidon Anthony;6,0;Left Winger;Afc Bournemouth;684210;32
Grady Diangana;6,0;Right Winger;West Bromwich Albion;342048;11
Callum Robinson;6,0;Centre-Forward;West Bromwich Albion;183299;7
Dael Fry;6,0;Centre-Back;Fc Middlesbrough;314140;6
Paddy McNair;6,0;Centre-Back;Fc Middlesbrough;167268;17
Filip Uremovic;6,0;Centre-Back;Sheffield United;325887;25
Ian Maatsen;5,0;Left-Back;Coventry City;485585;-
Oliver McBurnie;5,0;Centre-Forward;Sheffield United;298477;9
Jan Paul van Hecke;5,0;Centre-Back;Blackburn Rovers;576314;25
Harry Souttar;5,0;Centre-Back;Stoke City;298091;36
Jayden Bogle;5,0;Right-Back;Sheffield United;465717;20
Jean Michael Seri;5,0;Central Midfield;Fc Fulham;178614;24
Tom Cairney;5,0;Central Midfield;Fc Fulham;123275;10
Marek Rodak;5,0;Goalkeeper;Fc Fulham;186901;1
Jeff Hendrick;5,0;Central Midfield;Queens Park Rangers;148262;-
Viktor Gyokeres;5,0;Forward;Coventry City;325443;17
Jason Knight;5,0;Central Midfield;Derby County;530780;38
Rodrigo Muniz;5,0;Centre-Forward;Fc Fulham;735571;19
Kieffer Moore;5,0;Centre-Forward;Cardiff City;275590;-
Sepp van den Berg;5,0;Centre-Back;Preston North End;541231;2
Levi Colwill;5,0;Centre-Back;Huddersfield Town;614258;-
Hannes Wolf;5,0;Midfield;Swansea City;321070;13
Tom Lawrence;5,0;Left Winger;Derby County;229970;10
Darnell Furlong;5,0;Right-Back;West Bromwich Albion;351755;2
Leo Ostigard;5,0;Centre-Back;Stoke City;367284;-
Ethan Laird;5,0;Right-Back;Swansea City;531679;-
Chris Willock;5,0;Left Winger;Queens Park Rangers;314341;21
Juninho Bacuna;4,5;Central Midfield;Birmingham City;348863;21
Emil Riis;4,5;Centre-Forward;Preston North End;293325;19
Andraz Sporar;4,5;Centre-Forward;Fc Middlesbrough;179860;11
Oliver Burke;4,5;Centre-Forward;Fc Millwall;341317;-
Lucas Joao;4,5;Forward;Fc Reading;234787;18
Jacob Greaves;4,5;Centre-Back;Hull City;693095;4
Elijah Adebayo;4,5;Centre-Forward;Luton Town;319900;11
Marcus Tavernier;4,5;Central Midfield;Fc Middlesbrough;399434;7
Nathaniel Chalobah;4,0;Defensive Midfield;Fc Fulham;128900;12
Krystian Bielik;4,0;Defensive Midfield;Derby County;287247;5
Ryan Yates;4,0;Central Midfield;Nottingham Forest;425902;22
Joe Worrall;4,0;Centre-Back;Nottingham Forest;415970;4
Ivan Sunjic;4,0;Defensive Midfield;Birmingham City;226097;34
Ilias Chair;4,0;Midfield;Queens Park Rangers;380473;10
Tyrese Campbell;4,0;Centre-Forward;Stoke City;382554;10
Max Bird;4,0;Defensive Midfield;Derby County;486464;8
Chris Mepham;4,0;Centre-Back;Afc Bournemouth;480987;6
Callum O'Hare;4,0;Midfield;Coventry City;371262;10
Marcus Forss;4,0;Centre-Forward;Hull City;404584;-
Jack O'Connell;4,0;Centre-Back;Sheffield United;212829;5
Bradley Dack;4,0;Midfield;Blackburn Rovers;238556;23
Semi Ajayi;4,0;Centre-Back;West Bromwich Albion;251912;6
Han-Noah Massengo;4,0;Central Midfield;Bristol City;536508;42
