Players;Values;POS;Team;ID;Num
Kiril Despodov;3,5;Right Winger;Pfk Ludogorets Razgrad;221540;11
Marquinhos;3,0;Striker;Botev Plovdiv;516722;-
Anton Nedyalkov;2,7;Left-Back;Pfk Ludogorets Razgrad;218441;3
Bernard Tekpetey;2,5;Right Winger;Pfk Ludogorets Razgrad;422380;37
Pieros Sotiriou;2,2;Centre-Forward;Pfk Ludogorets Razgrad;182392;19
Cauly;2,0;Midfield;Pfk Ludogorets Razgrad;162812;95
Jordy Caicedo;2,0;Centre-Forward;Zska Sofia;360412;9
Alex Santana;2,0;Central Midfield;Pfk Ludogorets Razgrad;219835;7
Kristijan Kahlina;1,8;Goalkeeper;Pfk Ludogorets Razgrad;133831;-
Simon Sluga;1,5;Goalkeeper;Pfk Ludogorets Razgrad;188201;12
Dominik Yankov;1,5;Midfield;Pfk Ludogorets Razgrad;541287;64
Ivaylo Chochev;1,5;Central Midfield;Cska 1948;252767;18
Jurgen Mattheij;1,3;Centre-Back;Zska Sofia;188660;2
Claude Goncalves;1,3;Midfield;Pfk Ludogorets Razgrad;280178;8
Todor Nedelev;1,3;Midfield;Botev Plovdiv;217593;8
Bradley Mazikou;1,3;Left-Back;Zska Sofia;358507;-
Georgi Milanov;1,3;Central Midfield;Levski Sofia;134158;7
Sergio Padt;1,2;Goalkeeper;Pfk Ludogorets Razgrad;79573;1
Show;1,1;Defensive Midfield;Pfk Ludogorets Razgrad;568216;23
Olivier Verdon;1,1;Centre-Back;Pfk Ludogorets Razgrad;504125;24
Daniel Naumov;1,0;Goalkeeper;Cska 1948;335733;29
Matias Tissera;1,0;Centre-Forward;Pfk Ludogorets Razgrad;503001;10
Mavis Tchibota;1,0;Left Winger;Pfk Ludogorets Razgrad;189553;-
Igor Plastun;1,0;Centre-Back;Pfk Ludogorets Razgrad;97335;30
Karol Mets;0,9;Centre-Back;Zska Sofia;139304;-
Josue Sa;0,9;Centre-Back;Pfk Ludogorets Razgrad;139341;-
Shaquille Pinas;0,9;Centre-Back;Pfk Ludogorets Razgrad;446248;6
Claudiu Keseru;0,9;Centre-Forward;Pfk Ludogorets Razgrad;25115;-
Filip Krastev;0,9;Central Midfield;Levski Sofia;486814;30
Gustavo Busatto;0,9;Goalkeeper;Zska Sofia;136574;1
Borislav Tsonev;0,8;Midfield;Levski Sofia;188477;-
Welton;0,8;Left Winger;Levski Sofia;858213;17
Jose Cordoba;0,8;Centre-Back;Levski Sofia;698415;33
Noah Sonko Sundberg;0,8;Centre-Back;Levski Sofia;249121;23
Davide Mariani;0,8;Midfield;Pfc Beroe Stara Zagora;107790;18
Emmanuel Toku;0,8;Midfield;Botev Plovdiv;508153;10
Amos Youga;0,8;Defensive Midfield;Zska Sofia;203540;21
Geferson;0,8;Defensive Midfield;Zska Sofia;360314;3
Valentin Antov;0,8;Centre-Back;Zska Sofia;227347;-
Parvizdzhon Umarbaev;0,75;Defensive Midfield;Lokomotive Plovdiv;107518;-
Andrian Kraev;0,75;Defensive Midfield;Levski Sofia;820371;8
Georgi Rusev;0,7;Right Winger;Cska 1948;442425;10
Higinio Marin;0,7;Forward;Pfk Ludogorets Razgrad;242882;-
Martin Lukov;0,7;Goalkeeper;Pfc Arda Kardzhali;283342;-
Petar Vitanov;0,7;Defensive Midfield;Lokomotive Plovdiv;280278;34
Rick;0,7;Right Winger;Pfk Ludogorets Razgrad;645955;73
Jordan Ikoko;0,7;Right-Back;Pfk Ludogorets Razgrad;157491;-
Pa Konate;0,7;Left-Back;Botev Plovdiv;223864;3
Thomas Lam;0,7;Centre-Back;Zska Sofia;131821;-
Zan Karnicnik;0,7;Centre-Back;Pfk Ludogorets Razgrad;507403;21
Stephane Badji;0,7;Defensive Midfield;Pfk Ludogorets Razgrad;208505;-
Dragan Mihajlovic;0,65;Right-Back;Levski Sofia;74741;91
Jack Lahne;0,65;Centre-Forward;Botev Plovdiv;493674;-
