Players;Values;POS;Team;ID;Num
Fredrik Aursnes;12,0;Defensive Midfield;Molde Fk;223367;17
Patrick Berg;4,5;Defensive Midfield;Fk Bodo Glimt;308439;-
Erik Botheim;4,0;Centre-Forward;Fk Bodo Glimt;418559;20
Fredrik Bjorkan;2,5;Left-Back;Fk Bodo Glimt;364938;-
Ola Solbakken;2,0;Right Winger;Fk Bodo Glimt;431811;9
Sam Adekugbe;2,0;Left-Back;Valerenga Fotball;287578;25
Kristoffer Klaesson;2,0;Goalkeeper;Valerenga Fotball;418561;13
Ohi Omoijuanfo;2,0;Centre-Forward;Molde Fk;169368;9
Emil Konradsen Ceide;2,0;Left Winger;Rosenborg Bk;508371;35
Carlo Holse;1,6;Midfield;Rosenborg Bk;345577;-
Nikita Haikin;1,5;Goalkeeper;Fk Bodo Glimt;255440;12
Osame Sahraoui;1,5;Left Winger;Valerenga Fotball;580657;10
Simen Juklerod;1,5;Left-Back;Valerenga Fotball;230985;18
Stian Gregersen;1,5;Centre-Back;Molde Fk;230140;6
Albert Gronbaek;1,5;Midfield;Fk Bodo Glimt;503866;8
Alfons Sampsted;1,2;Right-Back;Fk Bodo Glimt;332530;3
Ola Brynhildsen;1,2;Centre-Forward;Molde Fk;499759;11
Aron Donnum;1,2;Left Winger;Valerenga Fotball;476836;26
Hugo Vetlesen;1,2;Central Midfield;Fk Bodo Glimt;499758;10
Martin Linnes;1,2;Right-Back;Molde Fk;137582;21
Erlend Dahl Reitan;1,2;Midfield;Rosenborg Bk;369100;2
Stefano Holmquist Vecchia;1,1;Right Winger;Rosenborg Bk;295572;22
Johan Hove;1,1;Central Midfield;Stromsgodset If;418557;8
Ulrik Saltnes;1,0;Central Midfield;Fk Bodo Glimt;201865;14
Magnus Wolff Eikrem;1,0;Midfield;Molde Fk;54775;7
Etzaz Hussain;1,0;Central Midfield;Molde Fk;141658;16
Markus Henriksen;1,0;Centre-Back;Rosenborg Bk;122011;7
Thomas Lehne Olsen;1,0;Centre-Forward;Lillestrom Sk;103598;10
Simen Nordli;1,0;Left Winger;Aalesunds Fk;418751;11
Victor Lind;1,0;Centre-Forward;Hamarkameratene;590835;17
Veton Berisha;1,0;Centre-Forward;Viking Stavanger;181985;14
Anton Saletros;0,9;Midfield;Sarpsborg 08 Ff;249102;20
Mads Hedenstad Christiansen;0,9;Goalkeeper;Lillestrom Sk;496341;12
Odin Thiago Holm;0,9;Central Midfield;Valerenga Fotball;581109;15
Andreas Linde;0,9;Goalkeeper;Molde Fk;199221;1
Frederik Holst;0,9;Central Midfield;Lillestrom Sk;135209;77
Adrian Nilsen Pereira;0,9;Left-Back;Rosenborg Bk;507310;19
Tobias Fjeld Gulliksen;0,9;Left Winger;Stromsgodset If;619657;17
Per Kristian Bratveit;0,9;Goalkeeper;Valerenga Fotball;226410;1
August Mikkelsen;0,9;Striker;Tromso Il;600732;10
Magnus Knudsen;0,8;Central Midfield;Lillestrom Sk;651735;14
Victor Jensen;0,8;Midfield;Rosenborg Bk;400548;11
Sondre Fet;0,8;Central Midfield;Fk Bodo Glimt;335298;19
Igoh Ogbu;0,8;Centre-Back;Lillestrom Sk;567738;30
Joshua Kitolano;0,8;Central Midfield;Odds Bk;432694;16
Kristoffer Haugen;0,8;Left-Back;Molde Fk;225823;28
Emil Breivik;0,8;Central Midfield;Molde Fk;538670;25
Birk Risa;0,8;Centre-Back;Molde Fk;331575;3
Adam Andersson;0,8;Right-Back;Rosenborg Bk;255468;25
Marius Lode;0,8;Centre-Back;Fk Bodo Glimt;223197;2
Andre Hansen;0,8;Goalkeeper;Rosenborg Bk;103555;1
Harald Tangen;0,8;Central Midfield;Viking Stavanger;432692;21
Zlatko Tripic;0,8;Left Winger;Viking Stavanger;195274;10
Sivert Mannsverk;0,8;Central Midfield;Molde Fk;510310;8
Vegar Hedenstad;0,725;Right-Back;Valerenga Fotball;73333;6
Sheriff Sinyan;0,7;Centre-Back;Molde Fk;394435;5
Martin Bjornbak;0,7;Centre-Back;Molde Fk;184794;2
Willis Furtado;0,7;Right Winger;Fk Jerv;460548;7
Jonathan Lindseth;0,7;Midfield;Sarpsborg 08 Ff;234345;11
Simon Tibbling;0,7;Central Midfield;Sarpsborg 08 Ff;192985;11
Filip Ronningen Jorgensen;0,7;Midfield;Odds Bk;698816;7
Christian Dahle Borchgrevink;0,7;Right-Back;Valerenga Fotball;367244;2
Henrik Bjordal;0,7;Midfield;Valerenga Fotball;268620;8
Taofeek Ismaheel;0,7;Left Winger;Valerenga Fotball;676476;-
Petar Golubovic;0,6;Right-Back;Aalesunds Fk;239783;2
Tobias Heintz;0,6;Left Winger;Sarpsborg 08 Ff;329714;41
Rafik Zekhnini;0,6;Left Winger;Molde Fk;354278;-
Niklas Sandberg;0,6;Right Winger;Viking Stavanger;312771;15
Adama Diomande;0,6;Centre-Forward;Odds Bk;93145;10
Sander Svendsen;0,6;Left Winger;Viking Stavanger;269503;29
Brede Moe;0,6;Centre-Back;Fk Bodo Glimt;182181;18
Eric Kitolano;0,6;Central Midfield;Tromso Il;367232;17
Henrik Udahl;0,6;Centre-Forward;Valerenga Fotball;436959;14
Eirik Ulland Andersen;0,6;Right Winger;Molde Fk;184212;23
