Players;Values;POS;Team;ID;Num
Adam Hlozek;20,0;Centre-Forward;Ac Sparta Prag;552057;20
Abdallah Sima;8,0;Right Winger;Sk Slavia Prag;776798;-
David Zima;7,0;Centre-Back;Sk Slavia Prag;544149;-
Tomas Holes;7,0;Defensive Midfield;Sk Slavia Prag;216278;3
Alexander Bah;7,0;Right-Back;Sk Slavia Prag;452607;5
Peter Olayinka;6,5;Left Winger;Sk Slavia Prag;248393;9
Nicolae Stanciu;5,5;Midfield;Sk Slavia Prag;148372;-
Ladislav Krejci;5,0;Defensive Midfield;Ac Sparta Prag;345911;37
Petar Musa;5,0;Centre-Forward;Sk Slavia Prag;387110;-
Jan Kuchta;5,0;Centre-Forward;Sk Slavia Prag;334802;-
David Hancko;4,5;Centre-Back;Ac Sparta Prag;404418;33
Lukas Provod;4,5;Midfield;Sk Slavia Prag;292779;17
Ondrej Lingr;3,5;Midfield;Sk Slavia Prag;321195;32
Lukas Masopust;3,5;Midfield;Sk Slavia Prag;234153;8
Oscar Dorley;3,5;Left-Back;Sk Slavia Prag;401475;19
Jindrich Stanek;3,0;Goalkeeper;Fc Viktoria Pilsen;242089;36
Jean-David Beauguel;3,0;Centre-Forward;Fc Viktoria Pilsen;198395;9
Petr Sevcik;3,0;Central Midfield;Sk Slavia Prag;147555;23
Adam Karabec;2,5;Midfield;Ac Sparta Prag;652061;36
Pavel Bucha;2,5;Central Midfield;Fc Viktoria Pilsen;563033;20
Ondrej Kolar;2,5;Goalkeeper;Sk Slavia Prag;189630;1
Ales Mandous;2,5;Goalkeeper;Sk Slavia Prag;240536;28
Lukas Kalvach;2,5;Defensive Midfield;Fc Viktoria Pilsen;283621;23
Casper Hojer;2,2;Left-Back;Ac Sparta Prag;222977;17
Martin Vitik;2,2;Centre-Back;Ac Sparta Prag;652054;41
Yira Sor;2,2;Right Winger;Sk Slavia Prag;673382;20
Jakub Brabec;2,0;Centre-Back;Fc Viktoria Pilsen;112948;-
Daniel Samek;2,0;Defensive Midfield;Sk Slavia Prag;671542;13
Michal Sacek;2,0;Defensive Midfield;Ac Sparta Prag;140206;16
Ivan Schranz;2,0;Right Winger;Sk Slavia Prag;108416;26
David Moberg Karlsson;1,8;Right Winger;Ac Sparta Prag;63422;-
Ladislav Almasi;1,7;Centre-Forward;Fc Banik Ostrau;412638;99
Lukas Haraslin;1,7;Left Winger;Ac Sparta Prag;239941;22
Jakub Pesek;1,6;Left Winger;Ac Sparta Prag;346840;21
Aiham Ousou;1,5;Centre-Back;Sk Slavia Prag;585068;4
Lukas Sadilek;1,5;Midfield;1 Fc Slovacko;242084;18
Michael Krmencik;1,5;Centre-Forward;Sk Slavia Prag;178469;22
Jakub Hromada;1,5;Defensive Midfield;Sk Slavia Prag;186380;25
Taras Kacharaba;1,5;Centre-Back;Sk Slavia Prag;213975;30
Lukas Hejda;1,3;Centre-Back;Fc Viktoria Pilsen;96047;2
Tomas Cvancara;1,3;Centre-Forward;Ac Sparta Prag;544148;7
Adam Vlkanova;1,3;Midfield;Fc Hradec Kralove;281906;8
Ales Cermak;1,2;Midfield;Fc Viktoria Pilsen;147540;25
Marek Havlik;1,2;Central Midfield;1 Fc Slovacko;233656;20
Srdjan Plavsic;1,2;Left Winger;Sk Slavia Prag;322800;10
Jaroslav Zeleny;1,2;Left-Back;Fk Jablonec;142219;12
Andreas Vindheim;1,0;Right-Back;Ac Sparta Prag;254472;-
David Jurasek;1,0;Left-Back;Sk Slavia Prag;500054;33
Jan Kopic;1,0;Midfield;Fc Viktoria Pilsen;119103;10
Tomas Wiesner;1,0;Right-Back;Ac Sparta Prag;334807;28
Vaclav Jemelka;1,0;Centre-Back;Sk Sigma Olmutz;384879;2
Ewerton;1,0;Left Winger;Fk Mlada Boleslav;456893;20
Vaclav Jurecka;1,0;Centre-Forward;1 Fc Slovacko;248355;15
Adriel Ba Loua;1,0;Right Winger;Fc Viktoria Pilsen;364314;-
Lukas Julis;1,0;Centre-Forward;Ac Sparta Prag;147550;39
