Players;Values;POS;Team;ID;Num
Charles De Ketelaere;30,0;Midfield;Fc Brugge;435772;90
Noa Lang;22,0;Left Winger;Fc Brugge;339332;10
Odilon Kossounou;20,0;Centre-Back;Fc Brugge;644771;-
Paul Onuachu;17,0;Centre-Forward;Krc Genk;272855;18
Hans Vanaken;16,0;Midfield;Fc Brugge;137576;20
Arthur Theate;15,0;Centre-Back;Kv Oostende;368891;-
Yari Verschaeren;13,0;Midfield;Rsc Anderlecht;502302;10
Andreas Skov Olsen;12,0;Midfield;Fc Brugge;432982;7
Joshua Zirkzee;11,0;Centre-Forward;Rsc Anderlecht;435648;23
Sergio Gomez;10,0;Left-Back;Rsc Anderlecht;366930;17
Tajon Buchanan;9,5;Right Winger;Fc Brugge;638793;17
Christian Kouame;9,0;Forward;Rsc Anderlecht;337725;99
Jhon Lucumi;9,0;Centre-Back;Krc Genk;413565;33
Clinton Mata;8,0;Right-Back;Fc Brugge;187718;77
Kacper Kozlowski;8,0;Central Midfield;Royale Union Saint Gilloise;554284;64
Deniz Undav;8,0;Centre-Forward;Royale Union Saint Gilloise;339314;9
Junya Ito;7,5;Right Winger;Krc Genk;348791;7
Tarik Tissoudali;7,5;Centre-Forward;Kaa Gent;245228;34
Shamar Nicholson;7,5;Centre-Forward;Rsc Charleroi;354666;-
Stanley Nsoki;7,0;Centre-Back;Fc Brugge;371141;4
Theo Bongonda;7,0;Right Winger;Krc Genk;280701;10
Carlos Cuesta;7,0;Centre-Back;Krc Genk;474589;46
Taylor Harwood-Bellis;7,0;Centre-Back;Rsc Anderlecht;503977;-
Bryan Heynen;6,5;Central Midfield;Krc Genk;356081;8
Cyriel Dessers;6,0;Centre-Forward;Krc Genk;317806;-
Mats Rits;6,0;Defensive Midfield;Fc Brugge;92164;26
Moises Caicedo;6,0;Central Midfield;Beerschot V A ;687626;-
Maarten Vandevoordt;6,0;Goalkeeper;Krc Genk;486046;26
Brandon Mechele;6,0;Centre-Back;Fc Brugge;236168;44
Daniel Munoz;6,0;Right-Back;Krc Genk;493003;23
Wesley Moraes;6,0;Centre-Forward;Fc Brugge;381362;-
Dante Vanzeir;5,5;Centre-Forward;Royale Union Saint Gilloise;289648;13
Hendrik Van Crombrugge;5,5;Goalkeeper;Rsc Anderlecht;137326;30
Hugo Siquet;5,5;Right-Back;Standard Luttich;578680;-
Casper Nielsen;5,5;Central Midfield;Royale Union Saint Gilloise;148365;6
Francis Amuzu;5,5;Left Winger;Rsc Anderlecht;423604;7
Eder Balanta;5,0;Defensive Midfield;Fc Brugge;265127;3
