Players;Values;POS;Team;ID;Num
Vinicius Junior;100,0;Left Winger;Real Madrid;371998;20
Pedri;80,0;Central Midfield;Fc Barcelona;683840;16
Federico Valverde;70,0;Central Midfield;Real Madrid;369081;15
Joao Felix;70,0;Striker;Atletico Madrid;462250;7
Mikel Oyarzabal;60,0;Left Winger;Real Sociedad San Sebastian;351478;10
Jules Kounde;60,0;Centre-Back;Fc Sevilla;411975;23
Ansu Fati;60,0;Left Winger;Fc Barcelona;466810;10
Frenkie de Jong;60,0;Central Midfield;Fc Barcelona;326330;21
Thibaut Courtois;60,0;Goalkeeper;Real Madrid;108390;1
Eder Militao;60,0;Centre-Back;Real Madrid;401530;3
Rodrygo;60,0;Right Winger;Real Madrid;412363;21
Gavi;60,0;Central Midfield;Fc Barcelona;646740;30
Eduardo Camavinga;55,0;Central Midfield;Real Madrid;640428;25
David Alaba;55,0;Centre-Back;Real Madrid;59016;4
Jose Maria Gimenez;50,0;Centre-Back;Atletico Madrid;250845;2
Arnaut Danjuma;50,0;Left Winger;Fc Villarreal;355861;15
Ronald Araujo;50,0;Centre-Back;Fc Barcelona;480267;4
Pau Torres;50,0;Centre-Back;Fc Villarreal;399776;4
Carlos Soler;50,0;Central Midfield;Fc Valencia;372246;10
Mikel Merino;50,0;Central Midfield;Real Sociedad San Sebastian;338424;8
Ferran Torres;45,0;Left Winger;Fc Barcelona;398184;19
Marcos Llorente;45,0;Central Midfield;Atletico Madrid;282411;14
Jan Oblak;45,0;Goalkeeper;Atletico Madrid;121483;13
Angel Correa;45,0;Right Winger;Atletico Madrid;266807;10
Gerard Moreno;40,0;Centre-Forward;Fc Villarreal;177467;7
Jose Gaya;40,0;Left-Back;Fc Valencia;221322;14
Yannick Carrasco;40,0;Left Winger;Atletico Madrid;140776;21
Ferland Mendy;40,0;Left-Back;Real Madrid;291417;23
Yeremy Pino;40,0;Right Winger;Fc Villarreal;568157;21
Casemiro;40,0;Defensive Midfield;Real Madrid;16306;14
Marco Asensio;40,0;Right Winger;Real Madrid;296622;11
Goncalo Guedes;40,0;Left Winger;Fc Valencia;225122;7
Diego Carlos;40,0;Centre-Back;Fc Sevilla;329145;20
Rodrigo de Paul;40,0;Central Midfield;Atletico Madrid;255901;5
Nabil Fekir;40,0;Midfield;Real Betis Sevilla;203496;8
Thomas Lemar;40,0;Midfield;Atletico Madrid;205562;11
Antoine Griezmann;35,0;Striker;Fc Barcelona;125781;7
Memphis Depay;35,0;Centre-Forward;Fc Barcelona;167850;9
Matheus Cunha;30,0;Centre-Forward;Atletico Madrid;517894;19
Robin Le Normand;30,0;Centre-Back;Real Sociedad San Sebastian;351809;24
Alexander Isak;30,0;Centre-Forward;Real Sociedad San Sebastian;349066;19
Renan Lodi;30,0;Left-Back;Atletico Madrid;476352;12
Ousmane Dembele;30,0;Right Winger;Fc Barcelona;288230;7
Karim Benzema;30,0;Centre-Forward;Real Madrid;18922;9
Marc-Andre ter Stegen;30,0;Goalkeeper;Fc Barcelona;74857;1
Martin Zubimendi;30,0;Defensive Midfield;Real Sociedad San Sebastian;423440;3
Marc Cucurella;28,0;Left-Back;Fc Getafe;284857;-
Raul de Tomas;25,0;Forward;Espanyol Barcelona;162038;11
Koke;25,0;Central Midfield;Atletico Madrid;74229;6
Inaki Williams;25,0;Centre-Forward;Athletic Bilbao;255508;9
Enes Unal;25,0;Forward;Fc Getafe;251106;10
Youssef En-Nesyri;25,0;Centre-Forward;Fc Sevilla;433049;15
Guido Rodriguez;25,0;Midfield;Real Betis Sevilla;342385;21
Juan Foyth;25,0;Right-Back;Fc Villarreal;480763;8
