Players;Values;POS;Team;ID;Num
Umar Sadiq;18,0;Centre-Forward;Ud Almeria;337715;9
Shon Weissman;8,0;Centre-Forward;Real Valladolid;247652;9
Uros Djurdjevic;6,0;Centre-Forward;Sporting Gijon;190804;23
Gonzalo Plata;6,0;Right Winger;Real Valladolid;592735;12
Arnau Martinez;5,0;Right-Back;Fc Girona;826224;38
Alejandro Frances;5,0;Centre-Back;Real Saragossa;632896;6
Samu Costa;5,0;Defensive Midfield;Ud Almeria;657430;30
Marcos Andre;5,0;Centre-Forward;Real Valladolid;481084;-
Jon Karrikaburu;5,0;Centre-Forward;Real Sociedad B;711382;9
Borja Baston;4,0;Forward;Real Oviedo;85324;9
Jaime Seoane;4,0;Central Midfield;Sd Huesca;340867;20
Sergio Akieme;4,0;Left-Back;Ud Almeria;355627;15
Largie Ramazani;4,0;Left Winger;Ud Almeria;518644;32
Edu Exposito;4,0;Midfield;Sd Eibar;506248;10
Stoichkov;4,0;Centre-Forward;Sd Eibar;271021;19
Lucas Robertone;4,0;Central Midfield;Ud Almeria;457221;5
Alejandro Pozo;4,0;Right-Back;Ud Almeria;341272;17
Jon Morcillo;4,0;Left Winger;Real Valladolid;455349;20
Jose Gragera;3,0;Central Midfield;Sporting Gijon;557147;16
Jose Corpas;3,0;Right Winger;Sd Eibar;379534;17
Adolfo Gaich;3,0;Centre-Forward;Sd Huesca;608469;18
Robert Navarro;3,0;Midfield;Real Sociedad B;563137;24
Francho Serrano;3,0;Central Midfield;Real Saragossa;632930;14
Ivan Azon;3,0;Forward;Real Saragossa;633306;31
Julen Lobete;3,0;Centre-Forward;Real Sociedad B;625654;11
Benat Turrientes;3,0;Central Midfield;Real Sociedad B;634431;14
Mario Gonzalez;3,0;Forward;Cd Teneriffa;255995;7
Monchu;3,0;Central Midfield;Real Valladolid;282727;8
Sergio Camello;3,0;Centre-Forward;Cd Mirandes;505674;24
Alberto Moleiro;3,0;Midfield;Ud Las Palmas;733576;28
Victor Mollejo;3,0;Right Winger;Cd Teneriffa;505673;28
Gerard Gumbau;3,0;Defensive Midfield;Fc Girona;268670;-
Jese;3,0;Left Winger;Ud Las Palmas;134936;10
Alex Baena;3,0;Left Winger;Fc Girona;548111;8
Nahuel Bustos;3,0;Centre-Forward;Fc Girona;439629;19
Sergi Palencia;2,8;Right-Back;Cd Leganes;268176;2
Joaquin Fernandez;2,8;Centre-Back;Real Valladolid;221321;24
Borja Garces;2,6;Forward;Cd Leganes;566036;28
Toni Villa;2,5;Left Winger;Real Valladolid;337066;19
Javi Hernandez;2,5;Left-Back;Cd Leganes;422466;20
Aleix Garcia;2,5;Midfield;Fc Girona;261504;14
