Players;Values;POS;Team;ID;Num
Luis Diaz;65,0;Left Winger;Fc Porto;480692;7
Darwin Nunez;55,0;Forward;Benfica Lissabon;546543;9
Nuno Mendes;40,0;Left-Back;Sporting Lissabon;616341;5
Matheus Nunes;35,0;Central Midfield;Sporting Lissabon;601883;8
Vitinha;30,0;Central Midfield;Fc Porto;487469;20
Otavio;30,0;Midfield;Fc Porto;231289;25
Pedro Goncalves;30,0;Left Winger;Sporting Lissabon;426620;28
Joao Palhinha;25,0;Defensive Midfield;Sporting Lissabon;257455;6
Fabio Vieira;25,0;Midfield;Fc Porto;537598;50
Pablo Sarabia;25,0;Right Winger;Sporting Lissabon;74230;17
Pedro Porro;25,0;Right-Back;Sporting Lissabon;553875;24
Diogo Costa;25,0;Goalkeeper;Fc Porto;357153;99
Goncalo Inacio;23,0;Centre-Back;Sporting Lissabon;549006;25
Julian Weigl;22,0;Defensive Midfield;Benfica Lissabon;196792;28
Evanilson;22,0;Centre-Forward;Fc Porto;711337;30
Rafa Silva;20,0;Striker;Benfica Lissabon;238055;27
Mehdi Taremi;20,0;Centre-Forward;Fc Porto;307058;9
Alejandro Grimaldo;20,0;Left-Back;Benfica Lissabon;193082;3
Ricardo Horta;20,0;Left Winger;Sc Braga;261927;21
Tecatito;18,0;Right Winger;Fc Porto;125165;17
Pepe;18,0;Left Winger;Fc Porto;520662;11
Chancel Mbemba;17,0;Centre-Back;Fc Porto;203348;19
Mateus Uribe;16,0;Defensive Midfield;Fc Porto;214538;8
Joao Mario;15,0;Right-Back;Fc Porto;537602;23
David Carmo;15,0;Centre-Back;Sc Braga;498237;16
Manuel Ugarte;15,0;Defensive Midfield;Fc Famalicao;476701;-
Everton;15,0;Left Winger;Benfica Lissabon;321239;7
Roman Yaremchuk;15,0;Centre-Forward;Benfica Lissabon;221958;15
Odysseas Vlachodimos;15,0;Goalkeeper;Benfica Lissabon;124419;99
Marcus Edwards;15,0;Right Winger;Sporting Lissabon;314367;23
Goncalo Ramos;14,0;Centre-Forward;Benfica Lissabon;550550;88
Paulinho;13,0;Centre-Forward;Sporting Lissabon;211072;21
Galeno;12,0;Left Winger;Fc Porto;454121;13
Luis Maximiano;12,0;Goalkeeper;Sporting Lissabon;367464;81
Al-Musrati;12,0;Defensive Midfield;Sc Braga;377641;8
Sergio Oliveira;12,0;Central Midfield;Fc Porto;112465;27
Marko Grujic;12,0;Midfield;Fc Porto;222813;16
Morato;10,0;Centre-Back;Benfica Lissabon;673492;91
Zaidu;10,0;Left-Back;Fc Porto;544784;12
Lucas Verissimo;10,0;Centre-Back;Benfica Lissabon;411662;4
Beto;10,0;Centre-Forward;Portimonense Sc;595809;-
Carlos Vinicius;8,0;Centre-Forward;Benfica Lissabon;525287;95
Haris Seferovic;8,0;Centre-Forward;Benfica Lissabon;109256;14
Matheus Reis;8,0;Left-Back;Sporting Lissabon;379249;2
Francisco Conceicao;8,0;Right Winger;Fc Porto;487474;10
Miguel Crespo;8,0;Central Midfield;Gd Estoril Praia;498529;13
Sebastian Coates;8,0;Centre-Back;Sporting Lissabon;102427;4
Nuno Santos;8,0;Left Winger;Sporting Lissabon;290391;11
Abel Ruiz;7,0;Centre-Forward;Sc Braga;340376;9
Luca Waldschmidt;7,0;Striker;Benfica Lissabon;196095;10
Diogo Leite;7,0;Centre-Back;Sc Braga;357156;4
Daniel Braganca;7,0;Midfield;Sporting Lissabon;461943;68
Samuel Lino;7,0;Left Winger;Gil Vicente Fc;694928;29
Tiago Tomas;7,0;Forward;Sporting Lissabon;616344;19
Gedson Fernandes;6,5;Central Midfield;Benfica Lissabon;337800;83
Gonzalo Plata;6,0;Right Winger;Sporting Lissabon;592735;20
Valentino Lazaro;6,0;Right-Back;Benfica Lissabon;186368;22
Iuri Medeiros;6,0;Right Winger;Sc Braga;193830;40
Matheus;6,0;Goalkeeper;Sc Braga;177547;1
Jovane Cabral;5,5;Left Winger;Sporting Lissabon;448466;10
Soualiho Meite;5,0;Midfield;Benfica Lissabon;164913;11
Wilson Manafa;5,0;Right-Back;Fc Porto;257388;18
Ruben Vinagre;5,0;Left-Back;Sporting Lissabon;357158;16
Henrique Araujo;5,0;Forward;Benfica Lissabon;617267;39
Andre Almeida;5,0;Central Midfield;Vitoria Guimaraes Sc;375382;70
Simon Banza;5,0;Centre-Forward;Fc Famalicao;344869;17
Marcos Paulo;5,0;Left Winger;Fc Famalicao;612496;9
Wendell;5,0;Left-Back;Fc Porto;228433;22
Ruben Semedo;5,0;Centre-Back;Fc Porto;197602;35
Yan Couto;5,0;Right-Back;Sc Braga;627228;2
Diogo Goncalves;5,0;Left Winger;Benfica Lissabon;258015;17
Ricardo Esgaio;5,0;Right-Back;Sporting Lissabon;139395;47
Andre Horta;5,0;Central Midfield;Sc Braga;329722;10
Toni Martinez;5,0;Forward;Fc Porto;302371;29
Petar Musa;5,0;Centre-Forward;Boavista Porto Fc;387110;9
Florentino;5,0;Defensive Midfield;Benfica Lissabon;357162;61
Gilberto;5,0;Right-Back;Benfica Lissabon;231614;2
Lincoln;5,0;Midfield;Cd Santa Clara;351738;-
Paulo Bernardo;5,0;Central Midfield;Benfica Lissabon;504090;55
Stephen Eustaquio;5,0;Central Midfield;Fc Pacos De Ferreira;512913;46
Carlos Junior;5,0;Right Winger;Cd Santa Clara;284000;-
Fabio Martins;4,8;Left Winger;Sc Braga;223029;26
Mateo Cassierra;4,5;Centre-Forward;Belenenses Sad;362667;9
Chiquinho;4,5;Central Midfield;Sc Braga;334557;22
Gustavo Assuncao;4,5;Midfield;Fc Famalicao;461629;12
Falaye Sacko;4,0;Right-Back;Vitoria Guimaraes Sc;364857;17
Reggie Cannon;4,0;Right-Back;Boavista Porto Fc;478940;2
Pizzi;4,0;Midfield;Benfica Lissabon;64339;21
Chidozie Awaziem;4,0;Centre-Back;Boavista Porto Fc;358143;5
Bruno Varela;4,0;Goalkeeper;Vitoria Guimaraes Sc;182722;14
Eduardo Quaresma;4,0;Centre-Back;Cd Tondela;504073;72
Agustin Marchesin;4,0;Goalkeeper;Fc Porto;54534;1
Francisco Moura;4,0;Left-Back;Sc Braga;478365;74
Paulo Oliveira;4,0;Centre-Back;Sc Braga;139336;15
Bruno Tabata;4,0;Midfield;Sporting Lissabon;438202;7
Hidemasa Morita;4,0;Defensive Midfield;Cd Santa Clara;524315;25
Nemanja Radonjic;4,0;Left Winger;Benfica Lissabon;245078;23
Roger;4,0;Left Winger;Sc Braga;906329;78
Nicolas Otamendi;3,5;Centre-Back;Benfica Lissabon;54781;30
