Players;Values;POS;Team;ID;Num
Kylian Mbappe;160,0;Forward;Fc Paris Saint Germain;342229;7
Neymar;75,0;Left Winger;Fc Paris Saint Germain;68290;10
Marquinhos;70,0;Centre-Back;Fc Paris Saint Germain;181767;5
Achraf Hakimi;65,0;Right-Back;Fc Paris Saint Germain;398073;2
Aurelien Tchouameni;60,0;Defensive Midfield;As Monaco;413112;8
Eduardo Camavinga;55,0;Central Midfield;Fc Stade Rennes;640428;-
Gianluigi Donnarumma;50,0;Goalkeeper;Fc Paris Saint Germain;315858;50
Marco Verratti;50,0;Central Midfield;Fc Paris Saint Germain;102558;6
Lionel Messi;50,0;Right Winger;Fc Paris Saint Germain;28003;30
Jonathan David;45,0;Centre-Forward;Losc Lille;533738;9
Amine Gouiri;42,0;Centre-Forward;Ogc Nizza;418659;11
Nuno Mendes;40,0;Left-Back;Fc Paris Saint Germain;616341;25
Presnel Kimpembe;40,0;Centre-Back;Fc Paris Saint Germain;282041;3
Bruno Guimaraes;40,0;Midfield;Olympique Lyon;520624;-
Lucas Paqueta;35,0;Midfield;Olympique Lyon;444523;10
Sven Botman;30,0;Centre-Back;Losc Lille;361093;4
Benoit Badiashile;30,0;Centre-Back;As Monaco;463603;5
William Saliba;30,0;Centre-Back;Olympique Marseille;495666;2
Tanguy Ndombele;30,0;Midfield;Olympique Lyon;450936;28
Renato Sanches;28,0;Central Midfield;Losc Lille;258027;10
Hugo Ekitike;28,0;Forward;Stade Reims;709726;22
Houssem Aouar;25,0;Central Midfield;Olympique Lyon;395693;8
Wissam Ben Yedder;25,0;Centre-Forward;As Monaco;146854;10
Aleksandr Golovin;25,0;Midfield;As Monaco;263918;17
Martin Terrier;25,0;Left Winger;Fc Stade Rennes;442891;7
Pablo Sarabia;25,0;Right Winger;Fc Paris Saint Germain;74230;-
Seko Fofana;25,0;Central Midfield;Rc Lens;182893;8
Maxence Caqueret;25,0;Central Midfield;Olympique Lyon;395237;25
Matteo Guendouzi;25,0;Central Midfield;Olympique Marseille;465830;6
Boubacar Kamara;25,0;Defensive Midfield;Olympique Marseille;394327;4
Mauro Icardi;22,0;Centre-Forward;Fc Paris Saint Germain;68863;9
Tete;22,0;Right Winger;Olympique Lyon;371256;20
Kevin Volland;22,0;Centre-Forward;As Monaco;82009;31
Reinildo Mandava;22,0;Left-Back;Losc Lille;240692;-
Gerson;22,0;Central Midfield;Olympique Marseille;341705;8
Cengiz Under;22,0;Right Winger;Olympique Marseille;341647;17
Thilo Kehrer;22,0;Centre-Back;Fc Paris Saint Germain;228948;24
Moussa Dembele;20,0;Forward;Olympique Lyon;229004;9
Jeremy Doku;20,0;Right Winger;Fc Stade Rennes;486049;11
Castello Lukeba;20,0;Centre-Back;Olympique Lyon;618472;4
Sofiane Diop;20,0;Left Winger;As Monaco;569389;37
Jean-Clair Todibo;20,0;Centre-Back;Ogc Nizza;605184;25
Caio Henrique;20,0;Left-Back;As Monaco;420064;12
Lovro Majer;20,0;Midfield;Fc Stade Rennes;387106;21
Jonathan Ikone;18,0;Right Winger;Losc Lille;324690;-
Gaetan Laborde;18,0;Centre-Forward;Fc Stade Rennes;181378;24
Vanderson;18,0;Right-Back;As Monaco;789082;2
Zeki Celik;18,0;Right-Back;Losc Lille;251075;2
Abdou Diallo;18,0;Centre-Back;Fc Paris Saint Germain;229005;22
Rayan Cherki;18,0;Midfield;Olympique Lyon;607223;18
Julian Draxler;18,0;Left Winger;Fc Paris Saint Germain;85148;23
Arnaud Kalimuendo;18,0;Centre-Forward;Rc Lens;585959;15
Benjamin Bourigeaud;18,0;Midfield;Fc Stade Rennes;266359;14
Georginio Wijnaldum;18,0;Central Midfield;Fc Paris Saint Germain;49499;18
Kamaldeen Sulemana;18,0;Left Winger;Fc Stade Rennes;746695;10
Youssouf Fofana;18,0;Central Midfield;As Monaco;569598;22
Axel Disasi;17,0;Centre-Back;As Monaco;386047;6
Jonathan Bamba;17,0;Left Winger;Losc Lille;292818;7
Khephren Thuram;17,0;Defensive Midfield;Ogc Nizza;463618;19
Yusuf Yazici;17,0;Midfield;Losc Lille;386726;-
Leandro Paredes;17,0;Defensive Midfield;Fc Paris Saint Germain;166237;8
Kasper Dolberg;17,0;Centre-Forward;Ogc Nizza;283196;9
Arkadiusz Milik;16,0;Centre-Forward;Olympique Marseille;191891;9
Duje Caleta-Car;16,0;Centre-Back;Olympique Marseille;238266;15
Alban Lafont;16,0;Goalkeeper;Fc Nantes;357117;1
Randal Kolo Muani;16,0;Centre-Forward;Fc Nantes;487969;23
Ludovic Blas;16,0;Midfield;Fc Nantes;288225;10
Ludovic Ajorque;16,0;Centre-Forward;Rc Strassburg Alsace;283994;25
Cheick Doucoure;15,0;Midfield;Rc Lens;543387;28
Youcef Atal;15,0;Right-Back;Ogc Nizza;416108;20
Justin Kluivert;15,0;Left Winger;Ogc Nizza;330659;21
Guillermo Maripan;15,0;Centre-Back;As Monaco;249730;3
Momo Cho;15,0;Centre-Forward;Sco Angers;670847;21
Pape Matar Sarr;15,0;Central Midfield;Fc Metz;568693;15
Gelson Martins;15,0;Right Winger;As Monaco;257448;7
Romain Faivre;15,0;Midfield;Stade Brest 29;555076;-
Karl Toko Ekambi;15,0;Left Winger;Olympique Lyon;315110;7
Maxwel Cornet;15,0;Left Winger;Olympique Lyon;234781;-
Jonathan Clauss;15,0;Right-Back;Rc Lens;175639;11
Baptiste Santamaria;14,0;Central Midfield;Fc Stade Rennes;285323;8
Jeff Reine-Adelaide;14,0;Midfield;Olympique Lyon;326300;22
Jason Denayer;14,0;Centre-Back;Olympique Lyon;277114;5
Danilo Pereira;14,0;Defensive Midfield;Fc Paris Saint Germain;141050;15
Emerson;14,0;Left-Back;Olympique Lyon;181778;3
Myron Boadu;14,0;Centre-Forward;As Monaco;412932;9
Walter Benitez;14,0;Goalkeeper;Ogc Nizza;296802;40
Krepin Diatta;13,0;Right Winger;As Monaco;490426;27
Calvin Stengs;13,0;Right Winger;Ogc Nizza;409344;22
Andy Delort;13,0;Centre-Forward;Ogc Nizza;122797;7
Angel Di Maria;12,0;Right Winger;Fc Paris Saint Germain;45320;11
Mohamed Bayo;12,0;Centre-Forward;Clermont Foot 63;594991;27
Elye Wahi;12,0;Centre-Forward;Montpellier Hsc;659542;21
Pau Lopez;12,0;Goalkeeper;Olympique Marseille;286415;16
Angelo Fulgini;12,0;Midfield;Sco Angers;250013;10
Pape Gueye;12,0;Defensive Midfield;Olympique Marseille;485963;22
Valentin Rongier;12,0;Central Midfield;Olympique Marseille;332889;21
Idrissa Gueye;12,0;Central Midfield;Fc Paris Saint Germain;126665;27
Juan Bernat;12,0;Left-Back;Fc Paris Saint Germain;126719;14
Loic Bade;12,0;Centre-Back;Fc Stade Rennes;730581;4
Nayef Aguerd;12,0;Centre-Back;Fc Stade Rennes;361914;6
Habib Diallo;12,0;Centre-Forward;Rc Strassburg Alsace;344888;20
Malo Gusto;12,0;Right-Back;Olympique Lyon;620322;17
Timothy Weah;12,0;Right Winger;Losc Lille;370846;22
Tiago Djalo;12,0;Centre-Back;Losc Lille;420465;3
Teji Savanier;12,0;Midfield;Montpellier Hsc;127156;11
Benjamin Andre;12,0;Midfield;Losc Lille;84301;21
Adrien Truffert;12,0;Left-Back;Fc Stade Rennes;654539;3
Facundo Medina;11,0;Centre-Back;Rc Lens;474800;14
Ruben Aguilar;10,0;Right-Back;As Monaco;203746;26
Ander Herrera;10,0;Central Midfield;Fc Paris Saint Germain;99343;21
Moses Simon;10,0;Left Winger;Fc Nantes;274862;27
Lucas Gourna-Douath;10,0;Defensive Midfield;As Saint Etienne;620313;6
Stephy Mavididi;10,0;Left Winger;Montpellier Hsc;340328;10
Serhou Guirassy;10,0;Centre-Forward;Fc Stade Rennes;270541;9
Franck Honorat;10,0;Right Winger;Stade Brest 29;229006;9
Pablo Rosario;10,0;Defensive Midfield;Ogc Nizza;370791;8
Joris Chotard;10,0;Defensive Midfield;Montpellier Hsc;624037;13
Hamari Traore;10,0;Right-Back;Fc Stade Rennes;297070;27
Luiz Araujo;10,0;Right Winger;Losc Lille;435485;-
Leonardo Balerdi;10,0;Centre-Back;Olympique Marseille;575998;5
Amine Harit;10,0;Midfield;Olympique Marseille;372711;7
Anthony Lopes;10,0;Goalkeeper;Olympique Lyon;60561;1
Leo Dubois;10,0;Right-Back;Olympique Lyon;236400;14
Wout Faes;10,0;Centre-Back;Stade Reims;292808;2
Bamba Dieng;10,0;Centre-Forward;Olympique Marseille;822458;12
Alexander Djiku;10,0;Centre-Back;Rc Strassburg Alsace;250844;24
Amadou Onana;10,0;Defensive Midfield;Losc Lille;485706;24
Predrag Rajkovic;9,0;Goalkeeper;Stade Reims;190263;1
Xeka;9,0;Central Midfield;Losc Lille;290256;8
Kevin Danso;9,0;Centre-Back;Rc Lens;263236;4
