Players;Values;POS;Team;ID;Num
Amine Adli;12,0;Right Winger;Fc Toulouse;532776;-
Branco van den Boomen;6,0;Central Midfield;Fc Toulouse;203938;8
Isaak Toure;5,0;Centre-Back;Ac Le Havre;708678;6
Johann Lepenant;5,0;Defensive Midfield;Sm Caen;585973;12
Anthony Rouault;4,0;Centre-Back;Fc Toulouse;690799;24
Janis Antiste;4,0;Centre-Forward;Fc Toulouse;538974;-
Zinedine Ferhat;3,5;Right Winger;Nimes Olympique;232895;10
Matthis Abline;3,0;Centre-Forward;Ac Le Havre;659543;12
Qazim Laci;3,0;Midfield;Ac Ajaccio;290552;10
Rhys Healey;3,0;Centre-Forward;Fc Toulouse;238185;9
Lamine Fomba;3,0;Defensive Midfield;Nimes Olympique;391376;12
Gauthier Hein;3,0;Right Winger;Aj Auxerre;344892;7
Jessy Deminguet;3,0;Central Midfield;Sm Caen;539232;8
Bafode Diakite;3,0;Right-Back;Fc Toulouse;463605;19
Yassine Benrahou;2,8;Midfield;Nimes Olympique;344599;22
Charles Pickel;2,5;Defensive Midfield;Grenoble Foot 38;243879;-
Andres Cubas;2,5;Defensive Midfield;Nimes Olympique;323872;-
Nathan Ngoumou;2,5;Right Winger;Fc Toulouse;629588;29
Bilal Boutobba;2,5;Right Winger;Chamois Niortais Fc;344151;10
Gedeon Kalulu;2,5;Right-Back;Ac Ajaccio;395685;2
Niclas Eliasson;2,5;Midfield;Nimes Olympique;251813;7
Mounir Chouiar;2,5;Left Winger;Dijon Fco;355641;-
Gaetan Weissbeck;2,5;Midfield;Fc Sochaux Montbeliard;347958;28
Jonathan Panzo;2,5;Centre-Back;Dijon Fco;392777;-
Lucas Chevalier;2,5;Goalkeeper;Fc Valenciennes;463600;30
Oumar Gonzalez;2,5;Centre-Back;Ac Ajaccio;388795;25
Moussa Kone;2,2;Forward;Nimes Olympique;364239;28
Umut Meras;2,1;Left-Back;Ac Le Havre;341549;-
Formose Mendy;2,0;Centre-Back;Amiens Sc;563734;5
Moustapha Name;2,0;Central Midfield;Paris Fc;586262;5
Yahia Fofana;2,0;Goalkeeper;Ac Le Havre;418651;30
Tony Mauricio;2,0;Right Winger;Fc Sochaux Montbeliard;272549;7
Hamza Sakhi;2,0;Midfield;Aj Auxerre;263951;22
Alan Virginius;2,0;Left Winger;Fc Sochaux Montbeliard;654415;26
Yanis Cimignani;2,0;Midfield;Ac Ajaccio;801754;22
Ousmane Camara;2,0;Centre-Back;Paris Fc;804711;4
Mamadou Fofana;2,0;Centre-Back;Amiens Sc;402004;2
Stijn Spierings;2,0;Defensive Midfield;Fc Toulouse;241501;17
Lamine Gueye;2,0;Right Winger;Paris Fc;568701;26
Rassoul Ndiaye;2,0;Central Midfield;Fc Sochaux Montbeliard;662242;14
Alexandre Mendy;2,0;Centre-Forward;Sm Caen;290561;19
Jubal;2,0;Centre-Back;Aj Auxerre;149928;4
