Players;Values;POS;Team;ID;Num
Aissa Laidouni;3,5;Midfield;Ferencvaros Budapest;233782;93
Marquinhos;3,0;Striker;Ferencvaros Budapest;516722;50
Myrto Uzuni;3,0;Left Winger;Ferencvaros Budapest;315289;-
Bendeguz Bolla;3,0;Right-Back;Mol Fehervar Fc;439351;-
Denes Dibusz;2,8;Goalkeeper;Ferencvaros Budapest;162695;90
Carlos Auzqui;2,5;Right Winger;Ferencvaros Budapest;100001;28
Tokmac Chol Nguen;2,5;Left Winger;Ferencvaros Budapest;205586;10
Ryan Mmaee;2,2;Centre-Forward;Ferencvaros Budapest;249543;8
Anderson Esiti;2,0;Defensive Midfield;Ferencvaros Budapest;245027;13
Miha Blazic;2,0;Centre-Back;Ferencvaros Budapest;179806;25
Loic Nego;2,0;Right-Back;Mol Fehervar Fc;122840;11
Oleksandr Zubkov;1,8;Right Winger;Ferencvaros Budapest;289075;11
Ivan Petryak;1,6;Left Winger;Mol Fehervar Fc;203074;7
Kristoffer Zachariassen;1,5;Central Midfield;Ferencvaros Budapest;261020;16
Eldar Civic;1,5;Left-Back;Ferencvaros Budapest;317764;17
Kenan Kodro;1,5;Centre-Forward;Mol Fehervar Fc;197126;19
Nenad Lukic;1,5;Centre-Forward;Budapest Honved Fc;94322;27
Peter Zulj;1,5;Central Midfield;Mol Fehervar Fc;128105;44
Zeljko Gavric;1,5;Left Winger;Ferencvaros Budapest;470795;80
Stjepan Loncar;1,4;Central Midfield;Ferencvaros Budapest;341300;44
Samy Mmaee;1,3;Centre-Back;Ferencvaros Budapest;331840;3
Yevgen Makarenko;1,2;Defensive Midfield;Mol Fehervar Fc;96455;8
Muhamed Besic;1,2;Defensive Midfield;Ferencvaros Budapest;93905;5
Balint Vecsei;1,0;Midfield;Ferencvaros Budapest;151658;19
Shahab Zahedi;1,0;Centre-Forward;Puskas Akademia Fc;350828;12
Marko Marin;1,0;Midfield;Ferencvaros Budapest;35251;22
Alexandru Baluta;1,0;Midfield;Puskas Akademia Fc;212746;10
Endre Botka;1,0;Right-Back;Ferencvaros Budapest;148810;21
Bogdan Lednev;1,0;Midfield;Mol Fehervar Fc;423606;80
Adnan Kovacevic;1,0;Centre-Back;Ferencvaros Budapest;187669;15
Artem Shabanov;1,0;Centre-Back;Mol Fehervar Fc;236468;13
Zalan Vancsa;1,0;Left Winger;Mtk Budapest;721666;13
Igor Kharatin;0,9;Defensive Midfield;Ferencvaros Budapest;213976;-
Martin Adam;0,9;Forward;Paksi Fc;220635;16
Claudiu Bumba;0,9;Midfield;Kisvarda Fc;186731;10
Patrizio Stronati;0,9;Centre-Back;Puskas Akademia Fc;264559;17
Adrian Rus;0,9;Centre-Back;Mol Fehervar Fc;421927;4
Franck Boli;0,9;Centre-Forward;Ferencvaros Budapest;212630;70
Lyes Houri;0,85;Midfield;Mol Fehervar Fc;229007;-
Peter Barath;0,8;Midfield;Debreceni Vsc;616948;77
Palko Dardai;0,8;Right Winger;Mol Fehervar Fc;300508;23
Henry Wingo;0,8;Right-Back;Ferencvaros Budapest;378478;31
Fortune Bassey;0,8;Centre-Forward;Ferencvaros Budapest;585985;14
Budu Zivzivadze;0,8;Centre-Forward;Ujpest Fc;187097;8
Visar Musliu;0,8;Centre-Back;Mol Fehervar Fc;207623;-
Giorgi Beridze;0,75;Left Winger;Ujpest Fc;264137;17
