Players;Values;POS;Team;ID;Num
Jakub Kaminski;10,0;Left Winger;Lech Posen;407098;7
Kacper Kozlowski;8,0;Central Midfield;Pogon Stettin;554284;-
Josip Juranovic;7,0;Right-Back;Legia Warschau;362977;-
Benjamin Verbic;4,5;Left Winger;Legia Warschau;188180;77
Tomasz Kedziora;4,5;Right-Back;Lech Posen;181118;4
Ivi Lopez;4,0;Midfield;Rakow Czestochowa;282371;11
Luquinhas;3,0;Midfield;Legia Warschau;402825;-
Joao Amaral;3,0;Midfield;Lech Posen;352898;24
Vladan Kovacevic;3,0;Goalkeeper;Rakow Czestochowa;429070;1
Mikael Ishak;3,0;Centre-Forward;Lech Posen;153637;9
Jesper Karlstrom;2,5;Midfield;Lech Posen;222855;6
Lubomir Satka;2,5;Centre-Back;Lech Posen;168408;37
Fran Tudor;2,5;Midfield;Rakow Czestochowa;343158;7
Krzysztof Kubica;2,0;Central Midfield;Gornik Zabrze;573968;6
Jesus Jimenez;2,0;Forward;Gornik Zabrze;510545;-
Mateusz Zukowski;2,0;Right-Back;Lechia Gdansk;470375;-
Joel Pereira;2,0;Right-Back;Lech Posen;225165;2
Lukasz Poreba;1,8;Defensive Midfield;Zaglebie Lubin;532169;8
Antonio Milic;1,8;Centre-Back;Lech Posen;179896;16
Erik Exposito;1,8;Forward;Slask Wroclaw;483461;9
Bartosz Nowak;1,8;Midfield;Gornik Zabrze;261085;17
Konstantinos Triantafyllopoulos;1,8;Centre-Back;Pogon Stettin;185691;13
Pelle van Amersfoort;1,8;Midfield;Cracovia;262613;10
Yaw Yeboah;1,8;Right Winger;Wisla Krakau;358985;-
Deian Sorescu;1,8;Midfield;Rakow Czestochowa;379209;22
Sebastian Kowalczyk;1,7;Midfield;Pogon Stettin;289168;27
Luka Zahovic;1,5;Centre-Forward;Pogon Stettin;169362;10
Virgil Ghita;1,5;Centre-Back;Cracovia;340977;5
Pedro Rebocho;1,5;Left-Back;Lech Posen;197860;5
Bartosz Salamon;1,5;Centre-Back;Lech Posen;71019;18
Przemyslaw Wisniewski;1,5;Centre-Back;Gornik Zabrze;386967;2
Vladyslav Kochergin;1,5;Midfield;Rakow Czestochowa;248932;30
Patryk Szysz;1,5;Right Winger;Zaglebie Lubin;421710;17
Dawid Kownacki;1,5;Centre-Forward;Lech Posen;208167;97
Maik Nawrocki;1,5;Centre-Back;Legia Warschau;407745;17
Mahir Emreli;1,5;Centre-Forward;Legia Warschau;255957;-
Michal Nalepa;1,5;Centre-Back;Lechia Gdansk;175947;25
Karol Angielski;1,5;Centre-Forward;Radomiak Radom;253290;19
Dante Stipica;1,5;Goalkeeper;Pogon Stettin;86635;1
Vladislavs Gutkovskis;1,5;Centre-Forward;Rakow Czestochowa;192710;21
Luis Mata;1,5;Left-Back;Pogon Stettin;258002;97
David Tijanic;1,4;Midfield;Rakow Czestochowa;351792;-
Damian Kadzior;1,4;Right Winger;Piast Gliwice;199299;92
Damian Dabrowski;1,4;Defensive Midfield;Pogon Stettin;143118;8
Mateusz Praszelik;1,4;Midfield;Slask Wroclaw;374418;-
Lukasz Zwolinski;1,4;Centre-Forward;Lechia Gdansk;220740;9
Filip Majchrowicz;1,3;Goalkeeper;Radomiak Radom;528402;1
Mateusz Wieteska;1,3;Centre-Back;Legia Warschau;208172;4
Abraham Marcus;1,2;Left Winger;Radomiak Radom;699632;7
Patryk Kun;1,2;Midfield;Rakow Czestochowa;252608;23
Vahan Bichakhchyan;1,2;Midfield;Pogon Stettin;399348;22
Giannis Papanikolaou;1,2;Defensive Midfield;Rakow Czestochowa;448058;66
Ernest Muci;1,2;Centre-Forward;Legia Warschau;583917;20
Yevgen Konoplyanka;1,2;Midfield;Cracovia;58949;80
Karol Niemczycki;1,2;Goalkeeper;Cracovia;521634;23
Filip Mladenovic;1,2;Midfield;Legia Warschau;168063;25
Pawel Wszolek;1,2;Midfield;Legia Warschau;164759;13
Josue;1,2;Midfield;Legia Warschau;72772;27
Michal Skoras;1,2;Left Winger;Lech Posen;393565;21
Bartosz Kapustka;1,2;Midfield;Legia Warschau;246579;67
Alasana Manneh;1,2;Central Midfield;Gornik Zabrze;435807;8
Adrian Gryszkiewicz;1,2;Centre-Back;Gornik Zabrze;388944;27
Ariel Mosor;1,2;Centre-Back;Piast Gliwice;554288;2
Frantisek Plach;1,2;Goalkeeper;Piast Gliwice;404345;26
Tomas Prikryl;1,2;Right Winger;Jagiellonia Bialystok;152693;14
Kacper Sezonienko;1,2;Centre-Forward;Lechia Gdansk;699585;79
Rafal Wolski;1,0;Midfield;Wisla Plock;176514;10
Patrick Olsen;1,0;Central Midfield;Slask Wroclaw;135217;8
Filip Marchwinski;1,0;Midfield;Lech Posen;555106;11
Mateusz Szwoch;1,0;Midfield;Wisla Plock;199302;14
Jakub Kaluzinski;1,0;Defensive Midfield;Lechia Gdansk;699418;88
Ben Lederman;1,0;Central Midfield;Rakow Czestochowa;366929;8
Damian Michalski;1,0;Centre-Back;Wisla Plock;385518;2
Arkadiusz Pyrka;1,0;Right-Back;Piast Gliwice;599733;77
Jan Sykora;1,0;Left Winger;Lech Posen;187490;-
Marcin Cebula;1,0;Midfield;Rakow Czestochowa;239215;77
Adriel Ba Loua;1,0;Right Winger;Lech Posen;364314;50
Bartosz Slisz;1,0;Defensive Midfield;Legia Warschau;382429;99
Sergiu Hanca;1,0;Right Winger;Cracovia;212806;4
Jakub Myszor;1,0;Midfield;Cracovia;697554;38
Jesus Imaz;1,0;Midfield;Jagiellonia Bialystok;176423;11
Jaroslaw Kubicki;1,0;Defensive Midfield;Lechia Gdansk;327756;6
Conrado;1,0;Left Winger;Lechia Gdansk;514674;20
Taras Romanczuk;1,0;Defensive Midfield;Jagiellonia Bialystok;280939;6
Georgiy Tsitaishvili;1,0;Right Winger;Wisla Krakau;419067;-
Richard Strebinger;0,9;Goalkeeper;Legia Warschau;93768;15
Mateusz Lis;0,9;Goalkeeper;Wisla Krakau;345437;-
Ilkay Durmus;0,9;Right Winger;Lechia Gdansk;119549;99
Ilya Shkurin;0,9;Centre-Forward;Rakow Czestochowa;523315;73
Aschraf El Mahdioui;0,9;Defensive Midfield;Wisla Krakau;295764;-
Igor Kharatin;0,9;Defensive Midfield;Legia Warschau;213976;14
Kamil Pestka;0,9;Midfield;Cracovia;384482;33
Frank Castaneda;0,9;Left Winger;Warta Posen;562483;-
Kristoffer Velde;0,9;Left Winger;Lech Posen;499859;23
Rafal Straczek;0,9;Goalkeeper;Stal Mielec;447343;13
Mateusz Wdowiak;0,9;Midfield;Rakow Czestochowa;295495;17
Tomas Huk;0,9;Centre-Back;Piast Gliwice;181612;5
Martin Konczkowski;0,85;Midfield;Piast Gliwice;258799;20
Radoslaw Murawski;0,85;Central Midfield;Lech Posen;220969;22
Maksymilian Sitek;0,85;Midfield;Stal Mielec;532428;11
Bojan Nastic;0,85;Left-Back;Jagiellonia Bialystok;168943;5
Matej Rodin;0,8;Centre-Back;Cracovia;316445;88
Raphael Rossi;0,8;Centre-Back;Radomiak Radom;290271;29
Jean Carlos Silva;0,8;Midfield;Pogon Stettin;282434;21
Nika Kvekveskiri;0,8;Defensive Midfield;Lech Posen;150850;30
Dani Ramirez;0,8;Midfield;Lech Posen;246309;10
Zoran Arsenic;0,8;Centre-Back;Rakow Czestochowa;280312;24
