Players;Values;POS;Team;ID;Num
Nikola Vlasic;22,0;Midfield;Zska Moskau;293200;-
Sardar Azmoun;22,0;Centre-Forward;Zenit St Petersburg;180337;-
Malcom;22,0;Right Winger;Zenit St Petersburg;323704;10
Wilmar Barrios;20,0;Defensive Midfield;Zenit St Petersburg;257668;5
Wendel;19,0;Central Midfield;Zenit St Petersburg;499721;8
Claudinho;18,0;Midfield;Zenit St Petersburg;403315;11
Yusuf Yazici;17,0;Midfield;Zska Moskau;386726;97
Matvey Safonov;16,0;Goalkeeper;Fk Krasnodar;318470;39
Yuri Alberto;16,0;Centre-Forward;Zenit St Petersburg;489893;9
Douglas Santos;16,0;Left-Back;Zenit St Petersburg;220793;3
Jhon Cordoba;15,0;Forward;Fk Krasnodar;185245;9
Khvicha Kvaratskhelia;15,0;Left Winger;Rubin Kazan;502670;-
Arsen Zakharyan;15,0;Midfield;Dinamo Moskau;555143;47
Sebastian Szymanski;14,0;Midfield;Dinamo Moskau;320748;53
Dmitri Barinov;11,0;Defensive Midfield;Lokomotiv Moskau;263905;6
Mathias Normann;10,0;Defensive Midfield;Fk Rostov;257805;-
Samuel Gigot;10,0;Centre-Back;Spartak Moskau;276896;2
Nikola Moro;9,0;Defensive Midfield;Dinamo Moskau;316934;8
Quincy Promes;9,0;Left Winger;Spartak Moskau;182381;10
Daler Kuzyaev;9,0;Central Midfield;Zenit St Petersburg;279570;14
Daniil Fomin;9,0;Defensive Midfield;Dinamo Moskau;400713;74
Jean-Philippe Gbamin;9,0;Defensive Midfield;Zska Moskau;182894;27
Aleksandr Sobolev;8,0;Centre-Forward;Spartak Moskau;464259;7
Grzegorz Krychowiak;8,0;Defensive Midfield;Lokomotiv Moskau;45184;-
Mario Fernandes;8,0;Right-Back;Zska Moskau;102740;2
Anders Dreyer;8,0;Right Winger;Rubin Kazan;342389;-
Georgiy Dzhikiya;8,0;Centre-Back;Spartak Moskau;185024;14
Jordan Larsson;8,0;Right Winger;Spartak Moskau;308552;-
Rifat Zhemaletdinov;7,5;Midfield;Lokomotiv Moskau;267383;17
Chidera Ejuke;7,5;Left Winger;Zska Moskau;500067;11
Shamar Nicholson;7,5;Centre-Forward;Spartak Moskau;354666;19
Alex Kral;7,0;Defensive Midfield;Spartak Moskau;337333;-
Konstantin Tyukavin;7,0;Centre-Forward;Dinamo Moskau;532676;70
Oliver Abildgaard;7,0;Defensive Midfield;Rubin Kazan;325993;28
Pablo;7,0;Centre-Back;Lokomotiv Moskau;149577;-
Sebastian Driussi;7,0;Striker;Zenit St Petersburg;294853;-
Jorge Carrascal;7,0;Midfield;Zska Moskau;354145;8
Viktor Claesson;7,0;Left Winger;Fk Krasnodar;116598;-
Remy Cabella;6,5;Midfield;Fk Krasnodar;113707;-
Vyacheslav Karavaev;6,0;Right-Back;Zenit St Petersburg;170620;15
Fedor Smolov;6,0;Centre-Forward;Dinamo Moskau;50355;40
Gamid Agalarov;6,0;Centre-Forward;Fk Ufa;567023;9
Artem Dzyuba;6,0;Centre-Forward;Zenit St Petersburg;48067;22
Eduard Spertsyan;6,0;Midfield;Fk Krasnodar;515744;74
Filip Uremovic;6,0;Centre-Back;Rubin Kazan;325887;-
Fedor Chalov;6,0;Centre-Forward;Zska Moskau;287183;-
Fabian Balbuena;6,0;Centre-Back;Dinamo Moskau;285548;5
Igor Diveev;6,0;Centre-Back;Zska Moskau;532732;78
Roman Zobnin;6,0;Central Midfield;Spartak Moskau;166277;47
Denis Makarov;6,0;Midfield;Rubin Kazan;599203;-
Wilson Isidor;6,0;Centre-Forward;Lokomotiv Moskau;494237;10
Yaroslav Rakitskyi;6,0;Centre-Back;Zenit St Petersburg;89222;-
Gyrano Kerk;5,5;Right Winger;Lokomotiv Moskau;268112;7
Sead Haksabanovic;5,5;Left Winger;Rubin Kazan;349300;-
Ezequiel Ponce;5,0;Centre-Forward;Spartak Moskau;296783;-
Francois Kamano;5,0;Left Winger;Lokomotiv Moskau;333802;25
Anton Miranchuk;5,0;Midfield;Lokomotiv Moskau;255451;11
Cristian Ramirez;5,0;Left-Back;Fk Krasnodar;189485;6
Danil Glebov;5,0;Defensive Midfield;Fk Rostov;570423;15
Zelimkhan Bakaev;5,0;Right Winger;Spartak Moskau;279242;10
Jesus Medina;5,0;Right Winger;Zska Moskau;353037;28
Ivan Oblyakov;5,0;Central Midfield;Zska Moskau;419845;10
Christopher Martins Pereira;5,0;Defensive Midfield;Spartak Moskau;248054;17
Tonny Vilhena;5,0;Central Midfield;Fk Krasnodar;182581;-
Ivan Ordets;5,0;Centre-Back;Dinamo Moskau;118850;18
Jan Kuchta;5,0;Centre-Forward;Lokomotiv Moskau;334802;9
Ayrton Lucas;4,5;Left-Back;Spartak Moskau;349585;-
Dmitri Skopintsev;4,5;Left-Back;Dinamo Moskau;281917;7
Dejan Lovren;4,5;Centre-Back;Zenit St Petersburg;37838;6
Mateo Cassierra;4,5;Centre-Forward;Fk Sochi;362667;30
Ivan Sergeev;4,0;Centre-Forward;Zenit St Petersburg;395659;33
Daniil Lesovoy;4,0;Left Winger;Dinamo Moskau;315252;19
Tin Jedvaj;4,0;Centre-Back;Lokomotiv Moskau;206386;16
Erik Botheim;4,0;Centre-Forward;Fk Krasnodar;418559;20
Emil Bohinen;4,0;Central Midfield;Zska Moskau;406806;-
Nail Umyarov;4,0;Defensive Midfield;Spartak Moskau;381833;18
Dmitriy Chistyakov;4,0;Centre-Back;Zenit St Petersburg;235339;2
Victor Moses;3,5;Midfield;Spartak Moskau;59866;8
Maksim Osipenko;3,5;Centre-Back;Fk Rostov;293829;55
Roman Evgenjev;3,5;Centre-Back;Dinamo Moskau;422838;24
Jaka Bijol;3,5;Centre-Back;Zska Moskau;371851;29
Diego Laxalt;3,5;Left-Back;Dinamo Moskau;230552;93
Rodrigao;3,5;Centre-Back;Fk Sochi;510782;5
Daniil Utkin;3,5;Central Midfield;Akhmat Grozny;375667;47
Shapi Suleymanov;3,5;Right Winger;Fk Krasnodar;335725;-
Maksim Mukhin;3,5;Defensive Midfield;Zska Moskau;623274;6
Anton Zinkovskiy;3,5;Left Winger;Krylya Sovetov Samara;263962;17
Vyacheslav Grulev;3,5;Left Winger;Dinamo Moskau;365261;20
Bakhtiyor Zaynutdinov;3,5;Midfield;Zska Moskau;344299;19
Didier Lamkel Ze;3,5;Left Winger;Fk Khimki;442320;-
Daniil Khlusevich;3,5;Midfield;Spartak Moskau;621436;26
Danila Prokhin;3,2;Centre-Back;Fk Sochi;486083;87
Adolfo Gaich;3,0;Centre-Forward;Zska Moskau;608469;-
Alexis Beka Beka;3,0;Defensive Midfield;Lokomotiv Moskau;539065;8
Tino Anjorin;3,0;Midfield;Lokomotiv Moskau;433181;-
Danil Krugovoy;3,0;Left-Back;Zenit St Petersburg;372535;4
Konstantin Kuchaev;3,0;Midfield;Rubin Kazan;381834;98
Aleksey Sutormin;3,0;Right Winger;Zenit St Petersburg;217033;19
Andrey Mostovoy;3,0;Left Winger;Zenit St Petersburg;362570;17
In-beom Hwang;3,0;Central Midfield;Rubin Kazan;365394;-
Konstantin Maradishvili;3,0;Defensive Midfield;Zska Moskau;535974;-
Pontus Almqvist;3,0;Centre-Forward;Fk Rostov;300532;-
