Players;Values;POS;Team;ID;Num
Julian Alvarez;23,0;Forward;Club Atletico River Plate;576024;9
Enzo Fernandez;15,0;Midfield;Club Atletico River Plate;648195;13
Nicolas de la Cruz;13,0;Central Midfield;Club Atletico River Plate;397458;11
Facundo Farias;12,0;Midfield;Club Atletico Colon;728221;35
Esequiel Barco;10,0;Left Winger;Club Atletico River Plate;456623;21
Luca Orellano;8,0;Right Winger;Club Atletico Velez Sarsfield;636784;10
Jose Manuel Lopez;8,0;Forward;Club Atletico Lanus;844797;42
Carlos Alcaraz;8,0;Central Midfield;Racing Club;748319;22
Giuliano Galoppo;7,0;Midfield;Club Atletico Banfield;567249;8
Paulo Diaz;7,0;Centre-Back;Club Atletico River Plate;271478;17
Alan Varela;7,0;Defensive Midfield;Club Atletico Boca Juniors;756990;33
David Martinez;6,5;Centre-Back;Club Atletico River Plate;401576;6
Nicolas Castro;6,5;Midfield;Club Atletico Newells Old Boys;565899;10
Anibal Moreno;6,0;Defensive Midfield;Racing Club;642758;29
Martin Ojeda;6,0;Left Winger;Club Deportivo Godoy Cruz Antonio Tomba;440988;11
Santiago Simon;6,0;Right Winger;Club Atletico River Plate;661131;31
Diego Valoyes;6,0;Right Winger;Club Atletico Talleres;413983;7
Agustin Palavecino;6,0;Midfield;Club Atletico River Plate;610590;8
Fausto Vera;6,0;Defensive Midfield;Argentinos Juniors;491701;5
Sebastian Villa;5,5;Left Winger;Club Atletico Boca Juniors;493000;22
Cristian Medina;5,5;Central Midfield;Club Atletico Boca Juniors;661133;36
Cristian Pavon;5,5;Left Winger;Club Atletico Boca Juniors;373170;31
Tomas Belmonte;5,5;Central Midfield;Club Atletico Lanus;483446;5
Exequiel Zeballos;5,5;Left Winger;Club Atletico Boca Juniors;661132;7
Lucas Janson;5,0;Left Winger;Club Atletico Velez Sarsfield;238448;11
Juan Fernando Quintero;5,0;Midfield;Club Atletico River Plate;122582;10
Agustin Urzi;5,0;Left Winger;Club Atletico Banfield;636441;11
Gaston Avila;4,5;Centre-Back;Club Atletico Boca Juniors;748601;25
Ezequiel Bullaude;4,5;Midfield;Club Deportivo Godoy Cruz Antonio Tomba;627068;33
Robert Rojas;4,5;Right-Back;Club Atletico River Plate;527494;2
Facundo Garces;4,5;Centre-Back;Club Atletico Colon;533354;33
Luis Vazquez;4,5;Forward;Club Atletico Boca Juniors;844516;38
Pedro de la Vega;4,5;Right Winger;Club Atletico Lanus;618984;10
Matias Pellegrini;4,5;Left Winger;Club Estudiantes De La Plata;606267;7
Santiago Caseres;4,5;Midfield;Club Atletico Velez Sarsfield;466298;35
Agustin Rogel;4,5;Centre-Back;Club Estudiantes De La Plata;1015243;3
Lautaro Giannetti;4,5;Centre-Back;Club Atletico Velez Sarsfield;225963;17
Braian Romero;4,0;Centre-Forward;Club Atletico River Plate;357937;19
Agustin Almendra;4,0;Central Midfield;Club Atletico Boca Juniors;491698;32
Walter Bou;4,0;Centre-Forward;Club Atletico Velez Sarsfield;334233;20
Aaron Molinas;4,0;Midfield;Club Atletico Boca Juniors;575999;16
Ezequiel Unsain;4,0;Goalkeeper;Defensa Y Justicia;337600;22
Martin Payero;4,0;Central Midfield;Club Atletico Boca Juniors;555820;11
Enzo Diaz;4,0;Left-Back;Club Atletico Talleres;540458;15
Francisco Ortega;4,0;Left-Back;Club Atletico Velez Sarsfield;553663;5
Tomas Chancalay;4,0;Left Winger;Racing Club;533565;28
Adonis Frias;4,0;Centre-Back;Defensa Y Justicia;598838;2
Juan Ramirez;4,0;Midfield;Club Atletico Boca Juniors;190756;20
Tomas Pochettino;3,9;Midfield;Club Atletico River Plate;348354;32
Jorge Morel;3,8;Defensive Midfield;Club Estudiantes De La Plata;401729;5
Eduardo Salvio;3,8;Right Winger;Club Atletico Boca Juniors;84535;10
Gustavo del Prete;3,8;Centre-Forward;Club Estudiantes De La Plata;671951;10
Oscar Romero;3,7;Midfield;Club Atletico Boca Juniors;217886;11
Miguel Borja;3,7;Centre-Forward;Club Atletico River Plate;211397;9
Facundo Mura;3,5;Right-Back;Racing Club;642759;34
Tomas Guidara;3,5;Right-Back;Club Atletico Velez Sarsfield;355900;24
Domingo Blanco;3,5;Central Midfield;Club Atletico Independiente;285127;23
Leonardo Godoy;3,5;Right-Back;Club Estudiantes De La Plata;369556;29
Nicolas Figal;3,5;Centre-Back;Club Atletico Boca Juniors;334055;4
Franco Armani;3,5;Goalkeeper;Club Atletico River Plate;119634;1
Carlos Rotondi;3,5;Left Winger;Defensa Y Justicia;553422;11
Agustin Rossi;3,5;Goalkeeper;Club Atletico Boca Juniors;352324;1
Marcos Rojo;3,4;Centre-Back;Club Atletico Boca Juniors;93176;6
Alexandro Bernabei;3,3;Left-Back;Club Atletico Lanus;719635;25
Matias Rojas;3,3;Midfield;Racing Club;417327;10
Kevin Mac Allister;3,2;Centre-Back;Argentinos Juniors;428920;4
Enzo Copetti;3,2;Centre-Forward;Racing Club;504254;9
Lucas Romero;3,2;Defensive Midfield;Club Atletico Independiente;242201;29
Gabriel Arias;3,2;Goalkeeper;Racing Club;54330;21
Gaston Gonzalez;3,2;Left Winger;Club Atletico Union;689052;15
Andres Herrera;3,2;Right-Back;Club Atletico River Plate;621369;15
Elias Gomez;3,2;Left-Back;Club Atletico River Plate;302139;29
Edwin Cardona;3,2;Midfield;Racing Club;119342;70
Jorge Rodriguez;3,0;Midfield;Club Estudiantes De La Plata;333760;30
Pol Fernandez;3,0;Central Midfield;Club Atletico Boca Juniors;220647;8
Fabrizio Angileri;3,0;Left-Back;Club Atletico River Plate;268506;3
Dario Benedetto;3,0;Centre-Forward;Club Atletico Boca Juniors;92693;9
Johan Carbonero;3,0;Left Winger;Club De Gimnasia Y Esgrima La Plata;572042;7
Ezequiel Fernandez;3,0;Midfield;Club Atletico Tigre;664708;42
Jorman Campuzano;3,0;Defensive Midfield;Club Atletico Boca Juniors;459467;21
Rafael Perez;3,0;Centre-Back;Club Atletico Talleres;117874;2
Sergio Barreto;3,0;Centre-Back;Club Atletico Independiente;556047;24
Alan Sonora;3,0;Midfield;Club Atletico Independiente;688779;10
