Players;Values;POS;Team;ID;Num
Robert Voloder;1,0;Centre-Back;Nk Maribor;452392;-
Timi Max Elsnik;1,0;Central Midfield;Nk Olimpija Ljubljana;320854;10
Neven Djurasek;1,0;Defensive Midfield;Nk Olimpija Ljubljana;341424;8
Vanja Drkusic;1,0;Centre-Back;Nk Bravo;371856;-
Ognjen Mudrinski;0,9;Centre-Forward;Nk Maribor;822078;91
Mirlind Daku;0,8;Centre-Forward;Ns Mura;521872;17
Djordje Ivanovic;0,8;Left Winger;Nk Maribor;358845;17
Jan Repas;0,8;Central Midfield;Nk Maribor;245083;15
Antoine Makoumbou;0,8;Central Midfield;Nk Maribor;460651;29
Kaheem Parris;0,8;Right Winger;Fc Koper;530414;10
Rudi Pozeg Vancas;0,8;Left Winger;Nk Maribor;168152;-
Arnel Jakupovic;0,8;Centre-Forward;Nk Domzale;268426;29
Gregor Sikosek;0,75;Left-Back;Nk Maribor;224892;12
Advan Kadusic;0,7;Right-Back;Nk Celje;318829;-
Jan Gorenc;0,7;Centre-Back;Ns Mura;476165;30
Tomi Horvat;0,7;Midfield;Ns Mura;340415;10
Zan Karnicnik;0,7;Centre-Back;Ns Mura;507403;-
Max Watson;0,7;Centre-Back;Nk Maribor;257102;20
Marijan Cabraja;0,7;Left-Back;Nk Olimpija Ljubljana;355651;11
Marin Pilj;0,65;Defensive Midfield;Nk Olimpija Ljubljana;458052;30
Dusan Stojinovic;0,6;Centre-Back;Nk Celje;469688;5
Dario Kolobaric;0,6;Centre-Forward;Nk Domzale;463855;-
Amadej Marosa;0,6;Centre-Forward;Ns Mura;262699;-
Eric Boakye;0,6;Right-Back;Nk Olimpija Ljubljana;268875;20
Sven Karic;0,6;Centre-Back;Nk Domzale;320864;20
Ivan Banic;0,55;Goalkeeper;Nk Olimpija Ljubljana;160467;1
Nemanja Mitrovic;0,55;Centre-Back;Nk Maribor;98844;32
Zan Zuzek;0,5;Centre-Back;Fc Koper;325222;21
