Players;Values;POS;Team;ID;Num
Ryan Kent;17,5;Left Winger;Glasgow Rangers;279457;14
Odsonne Edouard;17,0;Centre-Forward;Celtic Glasgow;344152;-
Amad Diallo;15,0;Right Winger;Glasgow Rangers;536835;-
Alfredo Morelos;13,0;Centre-Forward;Glasgow Rangers;338962;20
James Tavernier;10,0;Right-Back;Glasgow Rangers;62094;2
Joe Aribo;10,0;Midfield;Glasgow Rangers;468198;17
Calvin Bassey;10,0;Centre-Back;Glasgow Rangers;461883;3
Ryan Christie;9,0;Midfield;Celtic Glasgow;188077;-
Callum McGregor;8,0;Central Midfield;Celtic Glasgow;120977;42
Connor Goldson;8,0;Centre-Back;Glasgow Rangers;163656;6
Nathan Patterson;8,0;Right-Back;Glasgow Rangers;424015;-
Jota;7,5;Left Winger;Celtic Glasgow;329812;17
John Lundstram;7,5;Central Midfield;Glasgow Rangers;156941;4
Liel Abada;7,5;Right Winger;Celtic Glasgow;519514;11
Glen Kamara;7,5;Central Midfield;Glasgow Rangers;242632;18
Josip Juranovic;7,0;Right-Back;Celtic Glasgow;362977;88
Cameron Carter-Vickers;7,0;Centre-Back;Celtic Glasgow;341049;-
Ianis Hagi;7,0;Midfield;Glasgow Rangers;282076;7
David Turnbull;6,5;Central Midfield;Celtic Glasgow;345760;14
Borna Barisic;6,0;Left-Back;Glasgow Rangers;39125;31
Kyogo Furuhashi;6,0;Centre-Forward;Celtic Glasgow;489463;8
Carl Starfelt;6,0;Centre-Back;Celtic Glasgow;258987;4
Kemar Roofe;5,5;Centre-Forward;Glasgow Rangers;141350;25
Calvin Ramsay;5,0;Right-Back;Aberdeen Fc;633652;22
James Forrest;5,0;Right Winger;Celtic Glasgow;84992;49
Christopher Jullien;4,5;Centre-Back;Celtic Glasgow;201737;2
Juninho Bacuna;4,5;Central Midfield;Glasgow Rangers;348863;-
Fashion Sakala;4,5;Centre-Forward;Glasgow Rangers;485729;30
Ryan Jack;4,0;Central Midfield;Glasgow Rangers;60793;8
Georgios Giakoumakis;4,0;Centre-Forward;Celtic Glasgow;234850;7
Chris Mueller;3,5;Right Winger;Hibernian Fc;562387;-
Filip Helander;3,5;Centre-Back;Glasgow Rangers;198067;5
