Players;Values;POS;Team;ID;Num
Marco Carnesecchi;8,0;Goalkeeper;Us Cremonese;459763;12
Morten Hjulmand;6,5;Defensive Midfield;Us Lecce;461496;42
Dennis Man;6,5;Right Winger;Parma Calcio 1913;397486;98
Gabriel Strefezza;6,5;Right Winger;Us Lecce;457673;27
Nicolo Fagioli;6,5;Central Midfield;Us Cremonese;432090;21
Lorenzo Lucca;6,0;Centre-Forward;Ac Pisa 1909;572265;9
Dany Mota;6,0;Centre-Forward;Ac Monza;347253;47
Adrian Bernabe;6,0;Midfield;Parma Calcio 1913;466802;16
Valentin Mihaila;5,5;Left Winger;Parma Calcio 1913;535469;-
Federico Gatti;5,0;Centre-Back;Frosinone Calcio;509022;6
Caleb Okoli;5,0;Centre-Back;Us Cremonese;461833;55
Gianluca Gaetano;4,5;Midfield;Us Cremonese;358008;70
Carlos Augusto;4,5;Left-Back;Ac Monza;585982;30
Andrea Cistana;4,0;Centre-Back;Brescia Calcio;337381;15
Michele Di Gregorio;3,8;Goalkeeper;Ac Monza;301238;16
Gennaro Tutino;3,8;Centre-Forward;Parma Calcio 1913;202979;9
George Puscas;3,5;Centre-Forward;Ac Pisa 1909;208690;31
Lorenzo Colombo;3,5;Centre-Forward;Spal;487843;9
Maxime Busi;3,5;Right-Back;Parma Calcio 1913;570817;-
Gabriel Charpentier;3,5;Centre-Forward;Frosinone Calcio;660342;9
Abdelhamid Sabiri;3,0;Midfield;Ascoli Calcio;340394;10
Marius Marin;3,0;Central Midfield;Ac Pisa 1909;379163;8
Elias Cobbaut;3,0;Centre-Back;Parma Calcio 1913;419723;25
Lautaro Valenti;3,0;Centre-Back;Parma Calcio 1913;625202;30
Demba Seck;3,0;Right Winger;Spal;551752;-
Franco Vazquez;3,0;Midfield;Parma Calcio 1913;76163;10
Matteo Ricci;3,0;Defensive Midfield;Frosinone Calcio;198087;88
Ernesto Torregrossa;3,0;Centre-Forward;Ac Pisa 1909;159883;10
Salvatore Esposito;2,8;Defensive Midfield;Spal;390160;5
Manuel De Luca;2,8;Centre-Forward;Ac Perugia Calcio;375816;9
Leonardo Mancuso;2,7;Centre-Forward;Ac Monza;160344;11
Gianluca Lapadula;2,5;Centre-Forward;Benevento Calcio;130394;9
Samuele Birindelli;2,5;Right-Back;Ac Pisa 1909;461019;19
Alessio Zerbin;2,5;Left Winger;Frosinone Calcio;433584;24
Dario Saric;2,5;Central Midfield;Ascoli Calcio;293228;30
Mehdi Leris;2,4;Midfield;Brescia Calcio;348601;37
Luca Mazzitelli;2,4;Central Midfield;Ac Monza;226025;4
Andrea Colpani;2,4;Central Midfield;Ac Monza;392959;28
Antonino La Gumina;2,4;Centre-Forward;Como 1907;287876;20
Pedro Pereira;2,3;Right-Back;Ac Monza;314965;13
Simon Sohm;2,3;Defensive Midfield;Parma Calcio 1913;507486;19
Mirko Maric;2,2;Centre-Forward;Fc Crotone;215649;99
Dimitri Bisoli;2,2;Central Midfield;Brescia Calcio;163216;25
Alexis Blin;2,2;Defensive Midfield;Us Lecce;236041;29
Lorenzo Pirola;2,2;Centre-Back;Ac Monza;487834;98
Matteo Tramoni;2,2;Left Winger;Brescia Calcio;475410;27
Gaston Brugman;2,0;Defensive Midfield;Parma Calcio 1913;131109;-
Tommaso Milanese;2,0;Central Midfield;Us Alessandria Calcio 1912;538569;62
Alberto Cerri;2,0;Centre-Forward;Como 1907;197751;27
Francesco Di Mariano;2,0;Left Winger;Us Lecce;238950;10
Janio Bikel;2,0;Central Midfield;Lr Vicenza Virtus;288121;16
Pablo Rodriguez;2,0;Striker;Us Lecce;537765;99
Pietro Beruatto;2,0;Left-Back;Ac Pisa 1909;381370;20
Bruno Amione;2,0;Centre-Back;Reggina 1914;644676;2
Enrico Del Prato;2,0;Right-Back;Parma Calcio 1913;392956;15
Yordan Osorio;2,0;Centre-Back;Parma Calcio 1913;358165;24
Maxime Leverbe;2,0;Centre-Back;Ac Pisa 1909;451310;3
Luca Zanimacchia;2,0;Right Winger;Us Cremonese;407265;98
Adam Nagy;2,0;Defensive Midfield;Ac Pisa 1909;368559;16
Federico Di Francesco;2,0;Left Winger;Spal;38607;-
Mattia Valoti;2,0;Central Midfield;Ac Monza;167741;10
Nicolo Cambiaghi;2,0;Left Winger;Pordenone Calcio;459151;28
Davide Bettella;2,0;Centre-Back;Ac Monza;357995;18
Francesco Vicari;2,0;Centre-Back;Spal;240158;23
Adrian Benedyczak;2,0;Centre-Forward;Parma Calcio 1913;454386;17
Juan Brunetta;2,0;Midfield;Parma Calcio 1913;466268;8
Samuele Mulattieri;2,0;Centre-Forward;Fc Crotone;457422;9
Ilias Koutsoupias;1,9;Central Midfield;Ternana Calcio;534161;80
Emanuele Valeri;1,8;Left-Back;Us Cremonese;445126;3
Florian Aye;1,8;Forward;Brescia Calcio;372713;20
Filippo Ranocchia;1,8;Central Midfield;Lr Vicenza Virtus;489611;11
Yonatan Cohen;1,8;Left Winger;Ac Pisa 1909;408026;11
Stefano Gori;1,8;Goalkeeper;Como 1907;244491;66
Niccolo Zanellato;1,8;Central Midfield;Fc Crotone;343945;-
Cesar Falletti;1,8;Midfield;Ternana Calcio;218306;17
Christian Kouan;1,7;Midfield;Ac Perugia Calcio;529885;28
Zan Majer;1,7;Central Midfield;Us Lecce;180805;37
Riccardo Improta;1,7;Left Winger;Benevento Calcio;163489;16
Francesco Forte;1,7;Centre-Forward;Benevento Calcio;164534;88
Valentin Gendrey;1,7;Right-Back;Us Lecce;569387;17
Jose Machin;1,7;Midfield;Ac Monza;355104;7
Alessio Da Cruz;1,7;Midfield;Lr Vicenza Virtus;337670;70
Mario Gargiulo;1,7;Central Midfield;As Cittadella;242469;-
Antonio Palumbo;1,7;Central Midfield;Ternana Calcio;287863;5
Jaime Baez;1,6;Left Winger;Us Cremonese;238654;7
Jacopo Segre;1,6;Central Midfield;Ac Perugia Calcio;373899;6
Marco Sala;1,6;Left-Back;Fc Crotone;392570;29
Patrick Ciurria;1,6;Right Winger;Ac Monza;255838;84
Gaetano Letizia;1,5;Right-Back;Benevento Calcio;160560;3
Gabriel;1,5;Goalkeeper;Us Lecce;79242;21
Stefano Sabelli;1,5;Right-Back;Brescia Calcio;167491;3
Arturo Calabresi;1,5;Right-Back;Us Lecce;240897;33
Massimo Coda;1,5;Centre-Forward;Us Lecce;33763;9
Andrea Favilli;1,5;Centre-Forward;Ac Monza;340151;19
Roberto Insigne;1,5;Right Winger;Benevento Calcio;200174;19
Alfredo Donnarumma;1,5;Centre-Forward;Ternana Calcio;130485;99
Riad Bajic;1,5;Forward;Brescia Calcio;263267;11
Luca Garritano;1,5;Midfield;Frosinone Calcio;205677;16
Alessandro Vogliacco;1,5;Centre-Back;Benevento Calcio;330208;14
Michael Folorunsho;1,5;Central Midfield;Reggina 1914;377042;90
Roberto Inglese;1,5;Centre-Forward;Parma Calcio 1913;159337;45
Antonio Barreca;1,5;Left-Back;Us Lecce;241889;30
Felix Correia;1,5;Left Winger;Parma Calcio 1913;479648;77
Simy;1,5;Centre-Forward;Parma Calcio 1913;194549;99
Lorenzo Dickmann;1,5;Right-Back;Spal;283060;24
Davide Diaw;1,5;Centre-Forward;Lr Vicenza Virtus;404995;9
Federico Proia;1,5;Central Midfield;Brescia Calcio;287651;23
Ahmad Benali;1,5;Central Midfield;Fc Crotone;121402;-
