Players;Values;POS;Team;ID;Num
Mady Camara;11,0;Central Midfield;Olympiakos Piraus;481173;4
Georgios Masouras;10,0;Left Winger;Olympiakos Piraus;329517;19
Christos Tzolis;8,0;Left Winger;Paok Thessaloniki;451677;-
Grzegorz Krychowiak;8,0;Defensive Midfield;Aek Athen;45184;16
Pape Abou Cisse;8,0;Centre-Back;Olympiakos Piraus;364234;66
Andrija Zivkovic;6,0;Right Winger;Paok Thessaloniki;206843;14
Sverrir Ingi Ingason;5,0;Centre-Back;Paok Thessaloniki;137648;4
Henry Onyekuru;5,0;Left Winger;Olympiakos Piraus;380415;7
Andreas Bouchalakis;5,0;Central Midfield;Olympiakos Piraus;157535;5
Ruben Semedo;5,0;Centre-Back;Olympiakos Piraus;197602;-
Aguibou Camara;5,0;Midfield;Olympiakos Piraus;543529;22
Karol Swiderski;5,0;Centre-Forward;Paok Thessaloniki;330126;-
Ousseynou Ba;4,5;Centre-Back;Olympiakos Piraus;520815;24
Tiquinho Soares;4,5;Centre-Forward;Olympiakos Piraus;103381;29
Konstantinos Manolas;4,5;Centre-Back;Olympiakos Piraus;104752;40
Yann M'Vila;4,0;Defensive Midfield;Olympiakos Piraus;60573;6
Oleg Reabciuk;4,0;Left-Back;Olympiakos Piraus;461512;45
Alexandru Mitrita;4,0;Left Winger;Paok Thessaloniki;209649;28
Rony Lopes;4,0;Right Winger;Olympiakos Piraus;174694;10
Giannis Michailidis;4,0;Centre-Back;Paok Thessaloniki;464528;49
Levi Garcia;4,0;Right Winger;Aek Athen;354587;9
Tomas Vaclik;4,0;Goalkeeper;Olympiakos Piraus;64000;1
Douglas Augusto;3,5;Central Midfield;Paok Thessaloniki;393621;8
Filipe Soares;3,5;Midfield;Paok Thessaloniki;357163;50
Aboubakar Kamara;3,5;Centre-Forward;Aris Thessaloniki;290951;47
Chuba Akpom;3,2;Midfield;Paok Thessaloniki;197642;47
Kenny Lala;3,0;Right-Back;Olympiakos Piraus;174196;27
Antonio Colak;3,0;Centre-Forward;Paok Thessaloniki;160668;29
Konstantinos Fortounis;3,0;Midfield;Olympiakos Piraus;157539;53
Ahmed Hassan;3,0;Centre-Forward;Olympiakos Piraus;184816;-
Petros Mantalos;3,0;Midfield;Aek Athen;128011;20
Sotiris Alexandropoulos;3,0;Central Midfield;Panathinaikos Athen;481688;6
Garry Rodrigues;3,0;Left Winger;Olympiakos Piraus;170895;77
Sebastian Palacios;3,0;Right Winger;Panathinaikos Athen;262861;34
Sergio Araujo;2,5;Centre-Forward;Aek Athen;110366;11
Mijat Gacinovic;2,5;Midfield;Panathinaikos Athen;215864;50
Mateus Vital;2,5;Midfield;Panathinaikos Athen;408958;98
Steven Zuber;2,5;Left Winger;Aek Athen;68033;17
Joao Carvalho;2,5;Midfield;Olympiakos Piraus;258005;20
Michal Karbownik;2,5;Left-Back;Olympiakos Piraus;401604;33
Sidcley;2,5;Left-Back;Paok Thessaloniki;330060;16
Lazar Randjelovic;2,5;Right Winger;Olympiakos Piraus;512394;-
Thomas Murg;2,5;Right Winger;Paok Thessaloniki;153190;10
Carlitos;2,0;Centre-Forward;Panathinaikos Athen;228885;10
Aitor Cantalapiedra;2,0;Right Winger;Panathinaikos Athen;323740;22
Cican Stankovic;2,0;Goalkeeper;Aek Athen;127679;23
Milad Mohammadi;2,0;Left-Back;Aek Athen;333355;3
Maximiliano Lovera;2,0;Left Winger;Olympiakos Piraus;441422;-
Jakub Brabec;2,0;Centre-Back;Aris Thessaloniki;112948;14
Jasmin Kurtic;2,0;Central Midfield;Paok Thessaloniki;85825;27
Anderson Esiti;2,0;Defensive Midfield;Paok Thessaloniki;245027;-
Sokratis Papastathopoulos;2,0;Centre-Back;Olympiakos Piraus;34322;15
Daniel Mancini;2,0;Right Winger;Aris Thessaloniki;381348;7
Pierre Kunde;2,0;Central Midfield;Olympiakos Piraus;339829;8
Theocharis Tsingaras;1,8;Central Midfield;Paok Thessaloniki;464530;51
Mateo Garcia;1,8;Right Winger;Aris Thessaloniki;441287;10
Damian Szymanski;1,8;Defensive Midfield;Aek Athen;259881;4
Badou Ndiaye;1,8;Central Midfield;Aris Thessaloniki;211325;17
Joan Sastre;1,8;Right-Back;Paok Thessaloniki;350364;23
Clement Michelin;1,8;Right-Back;Aek Athen;318520;19
Marios Vrousai;1,5;Right Winger;Olympiakos Piraus;395632;17
Juan Iturbe;1,5;Left Winger;Aris Thessaloniki;81455;15
Nelson Oliveira;1,5;Centre-Forward;Paok Thessaloniki;72768;9
Lefteris Lyratzis;1,5;Right-Back;Paok Thessaloniki;390125;19
Youssef El Arabi;1,5;Centre-Forward;Olympiakos Piraus;96533;11
Leo Jaba;1,5;Right Winger;Paok Thessaloniki;468260;11
Anastasios Chatzigiovanis;1,5;Right Winger;Panathinaikos Athen;402887;11
Darko Jevtic;1,5;Midfield;Aek Athen;159718;88
Luiz Phellype;1,5;Centre-Forward;Ofi Kreta;240578;28
Karim Ansarifard;1,2;Centre-Forward;Aek Athen;133838;10
Alberto Brignoli;1,2;Goalkeeper;Panathinaikos Athen;146799;91
Konstantinos Tzolakis;1,2;Goalkeeper;Olympiakos Piraus;554389;88
