Players;Values;POS;Team;ID;Num
Arthur Cabral;14,0;Centre-Forward;Fc Basel 1893;390638;-
Wilfried Gnonto;10,0;Left Winger;Fc Zurich;627626;22
Becir Omeragic;8,0;Centre-Back;Fc Zurich;507344;4
Fabian Rieder;8,0;Midfield;Bsc Young Boys;507341;32
Kastriot Imeri;8,0;Central Midfield;Servette Fc;469957;17
Jordan;7,0;Centre-Forward;Bsc Young Boys;355369;17
Leonidas Stergiou;6,0;Centre-Back;Fc St Gallen 1879;507345;4
Fedor Chalov;6,0;Centre-Forward;Fc Basel 1893;287183;99
Silvan Hefti;5,0;Right-Back;Bsc Young Boys;237666;-
Meschack Elia;5,0;Centre-Forward;Bsc Young Boys;423678;15
Strahinja Pavlovic;5,0;Centre-Back;Fc Basel 1893;574671;15
Christopher Martins Pereira;5,0;Defensive Midfield;Bsc Young Boys;248054;-
Edon Zhegrova;5,0;Right Winger;Fc Basel 1893;496857;-
Sebastiano Esposito;5,0;Centre-Forward;Fc Basel 1893;538918;9
Nicolas Moumi Ngamaleu;4,7;Left Winger;Bsc Young Boys;266768;13
Marco Burch;4,3;Centre-Back;Fc Luzern;479268;46
Christian Fassnacht;4,0;Right Winger;Bsc Young Boys;250490;16
Andy Pelmard;4,0;Centre-Back;Fc Basel 1893;494236;21
Dan Ndoye;4,0;Right Winger;Fc Basel 1893;365108;27
Felix Mambimbi;4,0;Left Winger;Bsc Young Boys;507496;19
Ignacio Aliseda;3,5;Left Winger;Fc Lugano;604616;31
Michel Aebischer;3,5;Central Midfield;Bsc Young Boys;237658;-
Cedric Zesiger;3,2;Centre-Back;Bsc Young Boys;382478;5
Liam Millar;3,0;Left Winger;Fc Basel 1893;487417;17
Mohamed Camara;3,0;Centre-Back;Bsc Young Boys;426723;4
Darian Males;3,0;Midfield;Fc Basel 1893;507479;19
Adrian Guerrero;3,0;Midfield;Fc Zurich;282724;3
Bendeguz Bolla;3,0;Right-Back;Grasshopper Club Zurich;439351;77
Timothe Cognat;2,8;Central Midfield;Servette Fc;324796;8
Assan Ceesay;2,7;Centre-Forward;Fc Zurich;388382;9
Sandi Lovric;2,5;Central Midfield;Fc Lugano;268429;24
David von Ballmoos;2,5;Goalkeeper;Bsc Young Boys;203124;26
Filip Ugrinic;2,5;Midfield;Fc Luzern;394236;19
Moritz Jenz;2,5;Centre-Back;Fc Lausanne Sport;460245;-
Lawrence Ati Zigi;2,5;Goalkeeper;Fc St Gallen 1879;254285;1
Tomas Tavares;2,2;Right-Back;Fc Basel 1893;550549;30
Wilfried Kanga;2,2;Centre-Forward;Bsc Young Boys;395523;9
Fidan Aliti;2,0;Centre-Back;Fc Zurich;182870;6
Nikola Boranijasevic;2,0;Midfield;Fc Zurich;180090;19
Miroslav Stevanovic;2,0;Right Winger;Servette Fc;75816;9
Zeki Amdouni;2,0;Midfield;Fc Lausanne Sport;548729;9
Theo Valls;2,0;Central Midfield;Servette Fc;341396;15
Edimilson Fernandes;2,0;Central Midfield;Bsc Young Boys;247555;11
Matias Palacios;2,0;Midfield;Fc Basel 1893;621370;35
Aiyegun Tosin;2,0;Centre-Forward;Fc Zurich;239647;15
Joelson Fernandes;2,0;Left Winger;Fc Basel 1893;581140;96
Ulisses Garcia;2,0;Left-Back;Bsc Young Boys;192616;21
Kaly Sene;2,0;Forward;Grasshopper Club Zurich;625816;17
Christian Herc;1,9;Central Midfield;Grasshopper Club Zurich;365765;28
Bastien Toma;1,8;Central Midfield;Fc St Gallen 1879;390179;72
Anto Grgic;1,7;Central Midfield;Fc Sion;192637;14
Cameron Puertas;1,7;Central Midfield;Fc Lausanne Sport;449592;-
Mirlind Kryeziu;1,7;Centre-Back;Fc Zurich;265208;31
Alessio Besio;1,7;Centre-Forward;Fc St Gallen 1879;659278;31
Noah Katterbach;1,7;Left-Back;Fc Basel 1893;469949;3
Bruno Jordao;1,6;Midfield;Grasshopper Club Zurich;415646;20
Antonio Marchesano;1,5;Midfield;Fc Zurich;150963;10
Tomas Ribeiro;1,5;Centre-Back;Grasshopper Club Zurich;433358;14
Hayao Kawabe;1,5;Central Midfield;Grasshopper Club Zurich;262489;40
Lukas Gortler;1,5;Midfield;Fc St Gallen 1879;179638;16
Yanick Brecher;1,5;Goalkeeper;Fc Zurich;165532;25
Milton Valenzuela;1,5;Left-Back;Fc Lugano;422401;17
Toti;1,5;Centre-Back;Grasshopper Club Zurich;606718;-
Betim Fazliji;1,5;Centre-Back;Fc St Gallen 1879;410636;23
Sofiane Alakouch;1,5;Right-Back;Fc Lausanne Sport;434358;23
Vagner;1,5;Right Winger;Fc Sion;353211;9
Vincent Sierro;1,5;Central Midfield;Bsc Young Boys;280387;8
Brahima Ouattara;1,5;Midfield;Fc Lausanne Sport;853168;11
Sandro Lauper;1,5;Centre-Back;Bsc Young Boys;254965;30
Eray Comert;1,5;Centre-Back;Fc Basel 1893;298583;-
Jordi Quintilla;1,5;Midfield;Fc Basel 1893;166679;-
Wesley Gasolina;1,5;Right-Back;Fc Sion;371967;52
Nicolas Vouilloz;1,4;Centre-Back;Servette Fc;507488;33
Kevin Varga;1,4;Left Winger;Bsc Young Boys;385906;7
Kwadwo Duah;1,3;Centre-Forward;Fc St Gallen 1879;254955;11
Mohamed Drager;1,3;Right-Back;Fc Luzern;192167;2
Ayumu Seko;1,3;Centre-Back;Grasshopper Club Zurich;405389;15
Wouter Burger;1,3;Central Midfield;Fc Basel 1893;412953;23
Noam Baumann;1,3;Goalkeeper;Fc Lugano;192605;46
Filip Stojilkovic;1,3;Centre-Forward;Fc Sion;464195;17
Mohamed Amoura;1,2;Centre-Forward;Fc Lugano;746910;6
Dominik Schmid;1,2;Midfield;Grasshopper Club Zurich;359409;31
Ousmane Doumbia;1,2;Defensive Midfield;Fc Zurich;286292;20
Isaac Schmidt;1,2;Left-Back;Fc St Gallen 1879;449597;33
Amir Saipi;1,2;Goalkeeper;Fc Lugano;448169;26
Bledian Krasniqi;1,2;Midfield;Fc Zurich;507477;7
Kevin Ruegg;1,2;Right-Back;Fc Lugano;290032;27
Heinz Lindner;1,2;Goalkeeper;Fc Basel 1893;59082;1
Leonardo Campana;1,2;Centre-Forward;Grasshopper Club Zurich;606872;-
Grejohn Kyei;1,2;Centre-Forward;Servette Fc;321647;-
Zan Celar;1,2;Centre-Forward;Fc Lugano;340427;19
Chris Bedia;1,1;Centre-Forward;Servette Fc;294791;29
Andre Moreira;1,0;Goalkeeper;Grasshopper Club Zurich;326363;1
Jordan Lefort;1,0;Left-Back;Bsc Young Boys;192492;25
Sergio Lopez;1,0;Right-Back;Fc Basel 1893;523972;22
Ardon Jashari;1,0;Defensive Midfield;Fc Luzern;608172;30
Roberts Uldrikis;1,0;Centre-Forward;Fc Sion;342152;-
Ousmane Diakite;1,0;Midfield;Fc St Gallen 1879;402007;-
Marius Muller;1,0;Goalkeeper;Fc Luzern;118161;32
