Players;Values;POS;Team;ID;Num
Ugurcan Cakir;18,0;Goalkeeper;Trabzonspor;292199;1
Kerem Akturkoglu;16,5;Left Winger;Galatasaray Istanbul;382528;7
Altay Bayindir;16,0;Goalkeeper;Fenerbahce Istanbul;336077;1
Diego Rossi;14,5;Left Winger;Fenerbahce Istanbul;317454;9
Min-jae Kim;14,0;Centre-Back;Fenerbahce Istanbul;503482;3
Marcao;14,0;Centre-Back;Galatasaray Istanbul;439022;45
Attila Szalai;12,0;Centre-Back;Fenerbahce Istanbul;263380;41
Victor Nelsson;12,0;Centre-Back;Galatasaray Istanbul;422951;25
Abdulkadir Omur;10,5;Midfield;Trabzonspor;271495;10
Ferdi Kadioglu;10,5;Right-Back;Fenerbahce Istanbul;369316;16
Ersin Destanoglu;10,0;Goalkeeper;Besiktas Istanbul;500091;30
Michy Batshuayi;10,0;Centre-Forward;Besiktas Istanbul;179184;9
Mahmoud Trezeguet;10,0;Left Winger;Istanbul Basaksehir Fk;234189;27
Cyle Larin;10,0;Centre-Forward;Besiktas Istanbul;343463;17
Anastasios Bakasetas;9,5;Midfield;Trabzonspor;162571;11
Miralem Pjanic;9,5;Central Midfield;Besiktas Istanbul;44162;15
Andreas Cornelius;9,0;Centre-Forward;Trabzonspor;203412;14
Irfan Can Kahveci;8,5;Right Winger;Fenerbahce Istanbul;216603;17
Rachid Ghezzal;8,5;Right Winger;Besiktas Istanbul;118287;18
Bright Osayi-Samuel;8,0;Right-Back;Fenerbahce Istanbul;358948;21
Miguel Crespo;8,0;Central Midfield;Fenerbahce Istanbul;498529;27
Alexandru Cicaldau;7,5;Central Midfield;Galatasaray Istanbul;295810;33
Yunus Akgun;7,5;Right Winger;Adana Demirspor;396908;23
Dorukhan Tokoz;7,0;Midfield;Trabzonspor;275935;8
Mostafa Mohamed;6,5;Centre-Forward;Galatasaray Istanbul;462348;11
Gedson Fernandes;6,5;Central Midfield;Caykur Rizespor;337800;83
Ridvan Yilmaz;6,5;Left-Back;Besiktas Istanbul;477930;3
Erick Pulgar;6,5;Defensive Midfield;Galatasaray Istanbul;215616;15
Edgar Ie;6,5;Centre-Back;Trabzonspor;191987;-
Vitor Hugo;6,0;Centre-Back;Trabzonspor;149752;13
Amir Hadziahmetovic;6,0;Defensive Midfield;Konyaspor;293213;18
Miha Zajc;6,0;Central Midfield;Fenerbahce Istanbul;149829;26
Valentin Rosier;6,0;Right-Back;Besiktas Istanbul;441170;2
Arda Guler;6,0;Midfield;Fenerbahce Istanbul;861410;25
Matias Vargas;6,0;Left Winger;Adana Demirspor;376211;77
Mergim Berisha;6,0;Centre-Forward;Fenerbahce Istanbul;307924;11
Edin Visca;5,5;Right Winger;Istanbul Basaksehir Fk;109217;-
Zymer Bytyqi;5,5;Left Winger;Konyaspor;213555;7
Djaniny;5,5;Centre-Forward;Trabzonspor;197170;21
Manolis Siopis;5,5;Defensive Midfield;Alanyaspor;182688;26
Endri Cekici;5,0;Midfield;Konyaspor;204049;23
Jackson Muleka;5,0;Centre-Forward;Kasimpasa;549966;40
Anthony Nwakaeme;5,0;Left Winger;Trabzonspor;175988;9
Ayoub El Kaabi;5,0;Right Winger;Hatayspor;521127;25
Umut Bozok;5,0;Centre-Forward;Kasimpasa;259025;19
Abdulkerim Bardakci;5,0;Centre-Back;Konyaspor;199316;42
Berkan Kutlu;4,8;Central Midfield;Galatasaray Istanbul;469787;22
Berat Ozdemir;4,7;Midfield;Trabzonspor;483063;5
Chiquinho;4,5;Central Midfield;Giresunspor;334557;22
Dimitrios Pelkas;4,5;Midfield;Fenerbahce Istanbul;212832;14
Gustavo Assuncao;4,5;Midfield;Galatasaray Istanbul;461629;-
Saba Lobzhanidze;4,3;Left Winger;Hatayspor;251029;11
Can Bozdogan;4,3;Central Midfield;Besiktas Istanbul;406609;12
Inaki Pena;4,2;Goalkeeper;Galatasaray Istanbul;283170;26
Georges-Kevin N'Koudou;4,2;Left Winger;Besiktas Istanbul;215679;7
