Players;Values;POS;Team;ID;Num
Mirko Ivanic;8,0;Midfield;Roter Stern Belgrad;233129;4
Aleksandar Katai;5,0;Left Winger;Roter Stern Belgrad;139915;10
Aleksandar Dragovic;5,0;Centre-Back;Roter Stern Belgrad;59032;15
Strahinja Erakovic;5,0;Centre-Back;Roter Stern Belgrad;574660;25
Ricardo Gomes;4,0;Centre-Forward;Fk Partizan Belgrad;258835;11
Sasa Zdjelar;3,5;Defensive Midfield;Fk Partizan Belgrad;171072;16
Marko Lazetic;3,0;Centre-Forward;Roter Stern Belgrad;698548;-
Igor Vujacic;3,0;Centre-Back;Fk Partizan Belgrad;227538;5
Nemanja Jovic;3,0;Left Winger;Fk Partizan Belgrad;614424;77
Milan Gajic;3,0;Right-Back;Roter Stern Belgrad;245030;2
Sinisa Sanicanin;2,5;Centre-Back;Fk Partizan Belgrad;258290;4
Djordje Jovanovic;2,5;Centre-Forward;Fk Cukaricki;376460;-
Milos Degenek;2,5;Centre-Back;Roter Stern Belgrad;187353;-
Njegos Petrovic;2,5;Defensive Midfield;Roter Stern Belgrad;376588;-
Guelor Kanga;2,5;Midfield;Roter Stern Belgrad;231306;8
Milan Rodic;2,5;Left-Back;Roter Stern Belgrad;68978;23
Queensy Menig;2,3;Left Winger;Fk Partizan Belgrad;225339;9
Slobodan Urosevic;2,2;Left-Back;Fk Partizan Belgrad;258139;72
Srdjan Babic;2,0;Centre-Back;Roter Stern Belgrad;222805;-
Milan Pavkov;2,0;Centre-Forward;Roter Stern Belgrad;386224;9
Ohi Omoijuanfo;2,0;Centre-Forward;Roter Stern Belgrad;169368;99
Lazar Markovic;1,8;Right Winger;Fk Partizan Belgrad;144303;50
Nikola Terzic;1,8;Right Winger;Fk Partizan Belgrad;466121;36
Marko Jevtovic;1,8;Defensive Midfield;Fk Partizan Belgrad;256000;21
Stefan Sapic;1,6;Centre-Back;Fk Cukaricki;429243;65
Nenad Lukic;1,5;Centre-Forward;Fk Tsc Backa Topola;94322;-
Milan Borjan;1,5;Goalkeeper;Roter Stern Belgrad;67797;82
Mirko Topic;1,5;Defensive Midfield;Fk Vojvodina Novi Sad;615302;8
Marko Rakonjac;1,5;Centre-Forward;Fk Cukaricki;457184;7
Mihajlo Banjac;1,5;Central Midfield;Fk Tsc Backa Topola;585082;14
Nemanja Miletic;1,5;Centre-Back;Fk Partizan Belgrad;153657;73
El Fardou Ben;1,5;Striker;Roter Stern Belgrad;69838;31
Milos Jojic;1,5;Central Midfield;Fk Partizan Belgrad;160285;39
Veljko Nikolic;1,5;Midfield;Roter Stern Belgrad;404257;22
Zeljko Gavric;1,5;Left Winger;Roter Stern Belgrad;470795;-
Seydouba Soumah;1,5;Midfield;Fk Partizan Belgrad;118972;-
Aleksandar Popovic;1,3;Goalkeeper;Fk Partizan Belgrad;376449;41
Bibras Natcho;1,3;Midfield;Fk Partizan Belgrad;56976;6
Radovan Pankov;1,3;Centre-Back;Roter Stern Belgrad;322798;6
Marko Docic;1,3;Defensive Midfield;Fk Cukaricki;283905;5
Nemanja Motika;1,2;Left Winger;Roter Stern Belgrad;604323;17
Dejan Zukic;1,2;Midfield;Fk Vojvodina Novi Sad;528022;10
