Players;Values;POS;Team;ID;Num
Alexandru Cicaldau;7,5;Central Midfield;Universitatea Craiova;295810;-
Darius Olaru;5,5;Central Midfield;Fcsb;395800;27
Florin Tanase;5,5;Midfield;Fcsb;314329;10
Octavian Popescu;4,0;Left Winger;Fcsb;797100;9
Andrei Burca;4,0;Centre-Back;Cfr Cluj;289308;3
Olimpiu Morutan;3,5;Midfield;Fcsb;429551;-
Florinel Coman;3,0;Left Winger;Fcsb;340982;7
Cristian Manea;2,7;Right-Back;Cfr Cluj;271284;4
Gabriel Debeljuh;2,2;Centre-Forward;Cfr Cluj;340073;22
Andrei Ivan;1,8;Left Winger;Universitatea Craiova;271282;9
Deian Sorescu;1,8;Midfield;Fc Dinamo;379209;-
Nicusor Bancu;1,7;Left-Back;Universitatea Craiova;213195;11
Adrian Paun;1,6;Left Winger;Cfr Cluj;291656;7
Daniel Graovac;1,6;Centre-Back;Cfr Cluj;131728;6
Billel Omrani;1,6;Centre-Forward;Cfr Cluj;131589;9
Jefte Betancor;1,6;Centre-Forward;Fc Viitorul Constan%C8%9Ba;198015;10
Virgil Ghita;1,5;Centre-Back;Fc Viitorul Constan%C8%9Ba;340977;-
Risto Radunovic;1,5;Left-Back;Fcsb;144339;33
Iulian Cristea;1,5;Centre-Back;Fcsb;331971;17
Claudiu Petrila;1,5;Left Winger;Cfr Cluj;623424;27
Bradley de Nooijer;1,5;Left-Back;Fc Viitorul Constan%C8%9Ba;313741;6
Elvir Koljic;1,5;Centre-Forward;Universitatea Craiova;296695;19
Mihai Bordeianu;1,4;Central Midfield;Cfr Cluj;210059;37
Nana Boateng;1,4;Defensive Midfield;Cfr Cluj;236272;21
Mirko Pigliacelli;1,4;Goalkeeper;Universitatea Craiova;165893;13
Alexandru Albu;1,3;Defensive Midfield;Fc Rapid 1923;372908;23
Rares Ilie;1,3;Left Winger;Fc Rapid 1923;812654;10
Radu Boboc;1,3;Right-Back;Fc Viitorul Constan%C8%9Ba;319202;2
Andrei Ciobanu;1,3;Central Midfield;Fc Viitorul Constan%C8%9Ba;340980;11
Vadim Rata;1,2;Central Midfield;Fc Voluntari;81959;22
Marian Aioani;1,2;Goalkeeper;Fc Viitorul Constan%C8%9Ba;426724;12
Ion Gheorghe;1,2;Midfield;Fc Voluntari;831083;8
Jovan Markovic;1,2;Forward;Universitatea Craiova;418235;20
Andrei Cordea;1,2;Right Winger;Fcsb;435712;98
Enriko Papa;1,2;Midfield;Fc Botosani;241221;67
Roland Niczuly;1,2;Goalkeeper;Sepsi Osk Sf Gheorghe;337619;33
David Miculescu;1,2;Right Winger;Uta Arad;614800;10
Horatiu Moldovan;1,2;Goalkeeper;Fc Rapid 1923;525438;31
Ianis Stoica;1,0;Centre-Forward;Fcsb;547754;19
Denis Harut;1,0;Centre-Back;Fc Botosani;412641;2
Paul Iacob;1,0;Centre-Back;Afc Chindia Targoviste;303359;6
Ronaldo Deaconu;1,0;Midfield;Gaz Metan Media%C8%99;271281;-
Valentin Costache;1,0;Left Winger;Cfr Cluj;341391;18
Mihai Popa;1,0;Goalkeeper;Fc Voluntari;623412;71
Valentin Gheorghe;1,0;Left Winger;Fcsb;453810;22
Hervin Ongenda;1,0;Midfield;Fc Botosani;182910;-
Gustavo;1,0;Right Winger;Universitatea Craiova;268223;22
Yuri Matias;1,0;Centre-Back;Cfr Cluj;443612;44
Vladimir Screciu;0,95;Centre-Back;Universitatea Craiova;418219;6
Runar Mar Sigurjonsson;0,9;Midfield;Cfr Cluj;90008;8
Dan Nistor;0,9;Central Midfield;Universitatea Craiova;156639;16
Ricardinho;0,9;Right-Back;Fc Voluntari;204040;24
Marius Stefanescu;0,9;Left Winger;Sepsi Osk Sf Gheorghe;685795;11
Marco Dulca;0,9;Defensive Midfield;Afc Chindia Targoviste;391445;8
Ljuban Crepulja;0,9;Defensive Midfield;Fc Rapid 1923;238474;4
Florin Iacob;0,9;Goalkeeper;Uta Arad;186028;93
Ciprian Deac;0,9;Right Winger;Cfr Cluj;43300;10
Mario Camora;0,9;Left-Back;Cfr Cluj;44698;45
Claudiu Keseru;0,9;Centre-Forward;Fcsb;25115;28
Ovidiu Popescu;0,9;Defensive Midfield;Fcsb;289017;23
Andrei Miron;0,9;Centre-Back;Fcsb;332205;4
Stefan Baiaram;0,9;Midfield;Universitatea Craiova;686232;17
Mateo Susic;0,9;Right-Back;Cfr Cluj;83287;16
Adrian Sut;0,9;Defensive Midfield;Fcsb;433979;8
Constantin Budescu;0,9;Midfield;Fcsb;164233;-
Tiberiu Capusa;0,85;Right-Back;Afc Chindia Targoviste;340978;98
Lyes Houri;0,85;Midfield;Universitatea Craiova;229007;15
Claudiu Belu;0,85;Right-Back;Fc Rapid 1923;208716;77
Florin Stefan;0,85;Left-Back;Cfr Cluj;320637;96
Mihai Balasa;0,8;Centre-Back;Sepsi Osk Sf Gheorghe;236940;44
Adrian Petre;0,8;Centre-Forward;Fc Viitorul Constan%C8%9Ba;365769;9
Christopher Braun;0,8;Right-Back;Fc Botosani;82657;47
George Cimpanu;0,8;Right Winger;Universitatea Craiova;687846;7
Malcom Edjouma;0,8;Defensive Midfield;Fcsb;468704;18
Grigore Turda;0,8;Centre-Back;Acsc Fc Arges;451328;5
Kevin Luckassen;0,8;Centre-Forward;Sepsi Osk Sf Gheorghe;187290;42
Paul Anton;0,8;Central Midfield;Fc Dinamo;123286;-
Alexandru Greab;0,75;Goalkeeper;Acsc Fc Arges;186027;12
Samuel Asamoah;0,75;Defensive Midfield;Fc U Craiova 1948;232848;77
Andrei Vlad;0,7;Goalkeeper;Fcsb;424302;99
Nicolae Paun;0,7;Defensive Midfield;Sepsi Osk Sf Gheorghe;860352;6
