Players;Values;POS;Team;ID;Num
Lovro Majer;20,0;Midfield;Gnk Dinamo Zagreb;387106;-
Luka Ivanusec;12,5;Midfield;Gnk Dinamo Zagreb;387105;7
Mislav Orsic;10,0;Left Winger;Gnk Dinamo Zagreb;119150;99
Kristijan Jakic;9,0;Defensive Midfield;Gnk Dinamo Zagreb;374954;-
Dominik Livakovic;8,5;Goalkeeper;Gnk Dinamo Zagreb;205927;40
Josip Sutalo;8,0;Centre-Back;Gnk Dinamo Zagreb;371001;37
Marko Livaja;7,5;Centre-Forward;Hnk Hajduk Split;95438;10
Arijan Ademi;6,5;Defensive Midfield;Gnk Dinamo Zagreb;71542;5
Bruno Petkovic;6,0;Centre-Forward;Gnk Dinamo Zagreb;256358;10
Rasmus Lauritsen;5,0;Centre-Back;Gnk Dinamo Zagreb;325994;6
Filip Krovinovic;5,0;Midfield;Hnk Hajduk Split;261988;23
Mario Vuskovic;5,0;Centre-Back;Hnk Hajduk Split;432757;-
Lukas Kacavenda;5,0;Midfield;Nk Lokomotiva Zagreb;846545;11
Ivica Ivusic;4,5;Goalkeeper;Nk Osijek;160482;1
Bartol Franjic;4,5;Defensive Midfield;Gnk Dinamo Zagreb;370998;38
Dion Beljo;4,5;Centre-Forward;Nk Osijek;618350;-
Stipe Biuk;4,5;Left Winger;Hnk Hajduk Split;587520;27
Kristijan Lovric;4,0;Left Winger;Hnk Gorica;294401;-
Dino Peric;3,5;Centre-Back;Gnk Dinamo Zagreb;240106;55
Robert Muric;3,5;Right Winger;Hnk Rijeka;226085;7
Ferro;3,5;Centre-Back;Hnk Hajduk Split;294321;97
Mihael Zaper;3,5;Defensive Midfield;Nk Osijek;434557;19
Hrvoje Smolcic;3,0;Centre-Back;Hnk Rijeka;571299;36
Petar Stojanovic;3,0;Right-Back;Gnk Dinamo Zagreb;183841;-
Martin Baturina;3,0;Midfield;Gnk Dinamo Zagreb;580451;46
Josip Drmic;3,0;Centre-Forward;Hnk Rijeka;140579;18
Marko Bulat;2,7;Defensive Midfield;Gnk Dinamo Zagreb;491039;31
Dario Melnjak;2,5;Left-Back;Hnk Hajduk Split;238500;17
Kevin Theophile-Catherine;2,5;Left-Back;Gnk Dinamo Zagreb;60603;28
Ramon Mierez;2,5;Forward;Nk Osijek;435022;13
Petar Bockaj;2,5;Left Winger;Nk Osijek;292666;-
Hrvoje Babec;2,5;Defensive Midfield;Hnk Gorica;403723;20
Jan Mlakar;2,3;Centre-Forward;Hnk Hajduk Split;309180;29
Lovre Kalinic;2,0;Goalkeeper;Hnk Hajduk Split;46405;91
Anthony Kalik;2,0;Midfield;Hnk Gorica;303420;23
Adam Gnezda Cerin;2,0;Central Midfield;Hnk Rijeka;401394;16
Domagoj Pavicic;2,0;Central Midfield;Hnk Rijeka;131326;10
Darko Velkovski;2,0;Centre-Back;Hnk Rijeka;191822;14
Nediljko Labrovic;2,0;Goalkeeper;Hnk Rijeka;610190;1
Luka Menalo;2,0;Left Winger;Gnk Dinamo Zagreb;316047;70
Sandro Kulenovic;2,0;Centre-Forward;Gnk Dinamo Zagreb;357778;-
Laszlo Kleinheisler;2,0;Midfield;Nk Osijek;220656;5
Amer Gojak;2,0;Midfield;Gnk Dinamo Zagreb;293210;8
Josip Misic;2,0;Defensive Midfield;Gnk Dinamo Zagreb;227035;27
Stefan Ristovski;2,0;Right-Back;Gnk Dinamo Zagreb;104466;13
Mijo Caktas;2,0;Midfield;Nk Osijek;197032;11
Dino Mikanovic;1,8;Right-Back;Hnk Hajduk Split;229625;24
Aleksandar Jovicic;1,8;Centre-Back;Hnk Gorica;258268;3
Kresimir Krizmanic;1,8;Centre-Back;Hnk Gorica;585858;25
Lindon Selahi;1,8;Central Midfield;Hnk Rijeka;340172;30
Nikola Soldo;1,8;Centre-Back;Nk Lokomotiva Zagreb;674921;20
Ivan Nevistic;1,8;Goalkeeper;Nk Lokomotiva Zagreb;293185;1
