teamid;most_common_system;time_system;Use%;last_coach;mean_Use%;std_Use%;num_games_played;num_formations_played;stat_def;time_def;Use%_def;stat_med;time_med;Use%_med;stat_mp;time_mp;Use%_mp;stat_ata;time_ata;Use%_ata;Use%_ata_k1;Use%_ata_k2;Use%_ata_k3;Use%_def_k3;Use%_def_k4;Use%_def_k5;Use%_med_k2;Use%_med_k3;Use%_med_k4;Use%_med_k5;Use%_mp_k0;Use%_mp_k1;Use%_mp_k2;Use%_mp_k3;time_ata_k1;time_ata_k2;time_ata_k3;time_def_k3;time_def_k4;time_def_k5;time_med_k2;time_med_k3;time_med_k4;time_med_k5;time_mp_k0;time_mp_k1;time_mp_k2;time_mp_k3;time_def_k0;Use%_def_k0;time_med_k1;Use%_med_k1;Use%_mp_k4;time_mp_k4
237;4-2-3-1;1620;47,37;Javier Aguirre;47,37;0,0;18;9;4;2790;81,58;2;1620;47,37;3;1620;47,37;1;1620;47,37;47,37;23,68;7,89;7,89;81,58;10,53;47,37;15,79;34,21;2,63;44,74;5,26;2,63;47,37;1620,0;810,0;270,0;270,0;2790,0;360,0;1620,0;540,0;1170,0;90,0;1530,0;180,0;90,0;1620,0;0;0;0,0;0,0;0,0;0,0
16795;4-4-2;1440;42,11;Aitor Karanka;42,11;0,0;16;7;4;2880;84,21;4;1620;47,37;0;2700;78,95;2;1440;42,11;21,05;42,11;21,05;10,53;84,21;5,26;21,05;23,68;47,37;7,89;78,95;0,0;0,0;21,05;720,0;1440,0;720,0;360,0;2880,0;180,0;720,0;810,0;1620,0;270,0;2700,0;0,0;0,0;720,0;0;0;0,0;0,0;0,0;0,0
3709;5-3-2;2160;63,16;Quique Sánchez Flores;63,16;0,0;24;6;5;2160;63,16;3;2250;65,79;0;3150;92,11;2;2160;63,16;5,26;63,16;2,63;15,79;21,05;63,16;5,26;65,79;13,16;15,79;92,11;2,63;0,0;5,26;180,0;2160,0;90,0;540,0;720,0;2160,0;180,0;2250,0;450,0;540,0;3150,0;90,0;0,0;180,0;0;0;0,0;0,0;0,0;0,0
621;4-4-2;2610;76,32;Marcelino;76,32;0,0;29;2;4;3420;100,0;4;2610;76,32;0;2610;76,32;2;2610;76,32;23,68;76,32;0,0;0,0;100,0;0,0;23,68;0,0;76,32;0,0;76,32;0,0;0,0;23,68;810,0;2610,0;0,0;0,0;3420,0;0,0;810,0;0,0;2610,0;0,0;2610,0;0,0;0,0;810,0;0;0;0,0;0,0;0,0;0,0
714;4-2-3-1;1350;39,47;Luis Blanco;39,47;0,0;15;8;4;3150;92,11;2;1350;39,47;3;1350;39,47;1;1350;39,47;39,47;15,79;7,89;5,26;92,11;2,63;39,47;7,89;23,68;7,89;34,21;5,26;0,0;39,47;1350,0;540,0;270,0;180,0;3150,0;90,0;1350,0;270,0;810,0;270,0;1170,0;180,0;0,0;1350,0;0;0;720,0;21,05;21,05;720,0
940;4-4-2;3420;100,0;Eduardo Coudet;100,0;0,0;38;1;4;3420;100,0;4;3420;100,0;0;3420;100,0;2;3420;100,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;100,0;0,0;0,0;0,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;0,0;3420,0;0,0;3420,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0
2687;4-4-2;2160;63,16;Sergio;63,16;0,0;24;6;4;3240;94,74;4;2430;71,05;0;2250;65,79;2;2160;63,16;15,79;63,16;2,63;5,26;94,74;0,0;15,79;0,0;71,05;0,0;65,79;5,26;0,0;15,79;540,0;2160,0;90,0;180,0;3240,0;0,0;540,0;0,0;2430,0;0,0;2250,0;180,0;0,0;540,0;0;0;450,0;13,16;13,16;450,0
367;4-2-3-1;3240;94,74;Andoni Iraola;94,74;0,0;36;3;4;3420;100,0;2;3240;94,74;3;3240;94,74;1;3240;94,74;94,74;0,0;0,0;0,0;100,0;0,0;94,74;0,0;2,63;0,0;0,0;2,63;0,0;94,74;3240,0;0,0;0,0;0,0;3420,0;0,0;3240,0;0,0;90,0;0,0;0,0;90,0;0,0;3240,0;0;0;90,0;2,63;2,63;90,0
150;4-2-3-1;3330;97,37;Manuel Pellegrini;97,37;0,0;37;2;4;3420;100,0;2;3330;97,37;3;3330;97,37;1;3330;97,37;97,37;0,0;0,0;0,0;100,0;0,0;97,37;0,0;0,0;0,0;0,0;0,0;0,0;97,37;3330,0;0,0;0,0;0,0;3420,0;0,0;3330,0;0,0;0,0;0,0;0,0;0,0;0,0;3330,0;0;0;90,0;2,63;2,63;90,0
1050;4-4-2;2250;65,79;Unai Emery;65,79;0,0;25;5;4;3420;100,0;4;2430;71,05;0;2880;84,21;2;2250;65,79;5,26;65,79;18,42;0,0;100,0;0,0;5,26;18,42;71,05;0,0;84,21;5,26;0,0;5,26;180,0;2250,0;630,0;0,0;3420,0;0,0;180,0;630,0;2430,0;0,0;2880,0;180,0;0,0;180,0;0;0;180,0;5,26;5,26;180,0
