team;league;league-id-tmarkt;league-instat;league-id-instat;teamid;url_sys
Rcd Mallorca;Laliga;ES1;Spain.PrimeraDivision;20;237;https://www.transfermarkt.com/Rcd Mallorca/spielplan/verein/237/saison_id/2021/plus/1#ES1
Fc Granada;Laliga;ES1;Spain.PrimeraDivision;20;16795;https://www.transfermarkt.com/Fc Granada/spielplan/verein/16795/saison_id/2021/plus/1#ES1
Fc Getafe;Laliga;ES1;Spain.PrimeraDivision;20;3709;https://www.transfermarkt.com/Fc Getafe/spielplan/verein/3709/saison_id/2021/plus/1#ES1
Athletic Bilbao;Laliga;ES1;Spain.PrimeraDivision;20;621;https://www.transfermarkt.com/Athletic Bilbao/spielplan/verein/621/saison_id/2021/plus/1#ES1
Espanyol;Laliga;ES1;Spain.PrimeraDivision;20;714;https://www.transfermarkt.com/Espanyol Barcelona/spielplan/verein/714/saison_id/2021/plus/1#ES1
Celta Vigo;Laliga;ES1;Spain.PrimeraDivision;20;940;https://www.transfermarkt.com/Celta Vigo/spielplan/verein/940/saison_id/2021/plus/1#ES1
Fc Cadiz;Laliga;ES1;Spain.PrimeraDivision;20;2687;https://www.transfermarkt.com/Fc Cadiz/spielplan/verein/2687/saison_id/2021/plus/1#ES1
Rayo Vallecano;Laliga;ES1;Spain.PrimeraDivision;20;367;https://www.transfermarkt.com/Rayo Vallecano/spielplan/verein/367/saison_id/2021/plus/1#ES1
Real Betis;Laliga;ES1;Spain.PrimeraDivision;20;150;https://www.transfermarkt.com/Real Betis Sevilla/spielplan/verein/150/saison_id/2021/plus/1#ES1
Fc Villarreal;Laliga;ES1;Spain.PrimeraDivision;20;1050;https://www.transfermarkt.com/Fc Villarreal/spielplan/verein/1050/saison_id/2021/plus/1#ES1
Atletico Madrid;Laliga;ES1;Spain.PrimeraDivision;20;13;https://www.transfermarkt.com/Atletico Madrid/spielplan/verein/13/saison_id/2021/plus/1#ES1
Real Madrid;Laliga;ES1;Spain.PrimeraDivision;20;418;https://www.transfermarkt.com/Real Madrid/spielplan/verein/418/saison_id/2021/plus/1#ES1
Fc Barcelona;Laliga;ES1;Spain.PrimeraDivision;20;131;https://www.transfermarkt.com/Fc Barcelona/spielplan/verein/131/saison_id/2021/plus/1#ES1
Fc Elche;Laliga;ES1;Spain.PrimeraDivision;20;1531;https://www.transfermarkt.com/Fc Elche/spielplan/verein/1531/saison_id/2021/plus/1#ES1
Ca Osasuna;Laliga;ES1;Spain.PrimeraDivision;20;331;https://www.transfermarkt.com/Ca Osasuna/spielplan/verein/331/saison_id/2021/plus/1#ES1
Ud Levante;Laliga;ES1;Spain.PrimeraDivision;20;3368;https://www.transfermarkt.com/Ud Levante/spielplan/verein/3368/saison_id/2021/plus/1#ES1
Fc Sevilla;Laliga;ES1;Spain.PrimeraDivision;20;368;https://www.transfermarkt.com/Fc Sevilla/spielplan/verein/368/saison_id/2021/plus/1#ES1
Fc Valencia;Laliga;ES1;Spain.PrimeraDivision;20;1049;https://www.transfermarkt.com/Fc Valencia/spielplan/verein/1049/saison_id/2021/plus/1#ES1
Real Sociedad San Sebastian;Laliga;ES1;Spain.PrimeraDivision;20;681;https://www.transfermarkt.com/Real Sociedad San Sebastian/spielplan/verein/681/saison_id/2021/plus/1#ES1
Deportivo Alaves;Laliga;ES1;Spain.PrimeraDivision;20;1108;https://www.transfermarkt.com/Deportivo Alaves/spielplan/verein/1108/saison_id/2021/plus/1#ES1
Vfl Bochum;Bundesliga-L1;L1;Germany.Bundesliga;31;80;https://www.transfermarkt.com/Vfl Bochum/spielplan/verein/80/saison_id/2021/plus/1#ES1
1 Fc Union Berlin;Bundesliga-L1;L1;Germany.Bundesliga;31;89;https://www.transfermarkt.com/1 Fc Union Berlin/spielplan/verein/89/saison_id/2021/plus/1#ES1
Hertha Bsc;Bundesliga-L1;L1;Germany.Bundesliga;31;44;https://www.transfermarkt.com/Hertha Bsc/spielplan/verein/44/saison_id/2021/plus/1#ES1
Fc Augsburg;Bundesliga-L1;L1;Germany.Bundesliga;31;167;https://www.transfermarkt.com/Fc Augsburg/spielplan/verein/167/saison_id/2021/plus/1#ES1
Vfb Stuttgart;Bundesliga-L1;L1;Germany.Bundesliga;31;79;https://www.transfermarkt.com/Vfb Stuttgart/spielplan/verein/79/saison_id/2021/plus/1#ES1
Rasenballsport Leipzig;Bundesliga-L1;L1;Germany.Bundesliga;31;23826;https://www.transfermarkt.com/Rasenballsport Leipzig/spielplan/verein/23826/saison_id/2021/plus/1#ES1
Vfl Wolfsburg;Bundesliga-L1;L1;Germany.Bundesliga;31;82;https://www.transfermarkt.com/Vfl Wolfsburg/spielplan/verein/82/saison_id/2021/plus/1#ES1
Eintracht Frankfurt;Bundesliga-L1;L1;Germany.Bundesliga;31;24;https://www.transfermarkt.com/Eintracht Frankfurt/spielplan/verein/24/saison_id/2021/plus/1#ES1
Arminia Bielefeld;Bundesliga-L1;L1;Germany.Bundesliga;31;10;https://www.transfermarkt.com/Arminia Bielefeld/spielplan/verein/10/saison_id/2021/plus/1#ES1
Borussia Monchengladbach;Bundesliga-L1;L1;Germany.Bundesliga;31;18;https://www.transfermarkt.com/Borussia Monchengladbach/spielplan/verein/18/saison_id/2021/plus/1#ES1
Spvgg Greuther Furth;Bundesliga-L1;L1;Germany.Bundesliga;31;65;https://www.transfermarkt.com/Spvgg Greuther Furth/spielplan/verein/65/saison_id/2021/plus/1#ES1
Sc Freiburg;Bundesliga-L1;L1;Germany.Bundesliga;31;60;https://www.transfermarkt.com/Sc Freiburg/spielplan/verein/60/saison_id/2021/plus/1#ES1
1 Fsv Mainz 05;Bundesliga-L1;L1;Germany.Bundesliga;31;39;https://www.transfermarkt.com/1 Fsv Mainz 05/spielplan/verein/39/saison_id/2021/plus/1#ES1
Tsg 1899 Hoffenheim;Bundesliga-L1;L1;Germany.Bundesliga;31;533;https://www.transfermarkt.com/Tsg 1899 Hoffenheim/spielplan/verein/533/saison_id/2021/plus/1#ES1
Fc Bayern Munchen;Bundesliga-L1;L1;Germany.Bundesliga;31;27;https://www.transfermarkt.com/Fc Bayern Munchen/spielplan/verein/27/saison_id/2021/plus/1#ES1
1 Fc Koln;Bundesliga-L1;L1;Germany.Bundesliga;31;3;https://www.transfermarkt.com/1 Fc Koln/spielplan/verein/3/saison_id/2021/plus/1#ES1
Borussia Dortmund;Bundesliga-L1;L1;Germany.Bundesliga;31;16;https://www.transfermarkt.com/Borussia Dortmund/spielplan/verein/16/saison_id/2021/plus/1#ES1
Bayer 04 Leverkusen;Bundesliga-L1;L1;Germany.Bundesliga;31;15;https://www.transfermarkt.com/Bayer 04 Leverkusen/spielplan/verein/15/saison_id/2021/plus/1#ES1
Fc Empoli;Serie-A;IT1;Italy.SerieA;24;749;https://www.transfermarkt.com/Fc Empoli/spielplan/verein/749/saison_id/2021/plus/1#ES1
Ssc Neapel;Serie-A;IT1;Italy.SerieA;24;6195;https://www.transfermarkt.com/Ssc Neapel/spielplan/verein/6195/saison_id/2021/plus/1#ES1
Venezia Fc;Serie-A;IT1;Italy.SerieA;24;607;https://www.transfermarkt.com/Venezia Fc/spielplan/verein/607/saison_id/2021/plus/1#ES1
Us Salernitana 1919;Serie-A;IT1;Italy.SerieA;24;380;https://www.transfermarkt.com/Us Salernitana 1919/spielplan/verein/380/saison_id/2021/plus/1#ES1
Fc Turin;Serie-A;IT1;Italy.SerieA;24;416;https://www.transfermarkt.com/Fc Turin/spielplan/verein/416/saison_id/2021/plus/1#ES1
Inter Mailand;Serie-A;IT1;Italy.SerieA;24;46;https://www.transfermarkt.com/Inter Mailand/spielplan/verein/46/saison_id/2021/plus/1#ES1
Fc Bologna;Serie-A;IT1;Italy.SerieA;24;1025;https://www.transfermarkt.com/Fc Bologna/spielplan/verein/1025/saison_id/2021/plus/1#ES1
Sampdoria Genua;Serie-A;IT1;Italy.SerieA;24;1038;https://www.transfermarkt.com/Sampdoria Genua/spielplan/verein/1038/saison_id/2021/plus/1#ES1
Udinese Calcio;Serie-A;IT1;Italy.SerieA;24;410;https://www.transfermarkt.com/Udinese Calcio/spielplan/verein/410/saison_id/2021/plus/1#ES1
As Rom;Serie-A;IT1;Italy.SerieA;24;12;https://www.transfermarkt.com/As Rom/spielplan/verein/12/saison_id/2021/plus/1#ES1
Ac Mailand;Serie-A;IT1;Italy.SerieA;24;5;https://www.transfermarkt.com/Ac Mailand/spielplan/verein/5/saison_id/2021/plus/1#ES1
Genua Cfc;Serie-A;IT1;Italy.SerieA;24;252;https://www.transfermarkt.com/Genua Cfc/spielplan/verein/252/saison_id/2021/plus/1#ES1
Atalanta Bergamo;Serie-A;IT1;Italy.SerieA;24;800;https://www.transfermarkt.com/Atalanta Bergamo/spielplan/verein/800/saison_id/2021/plus/1#ES1
Juventus Turin;Serie-A;IT1;Italy.SerieA;24;506;https://www.transfermarkt.com/Juventus Turin/spielplan/verein/506/saison_id/2021/plus/1#ES1
Us Sassuolo;Serie-A;IT1;Italy.SerieA;24;6574;https://www.transfermarkt.com/Us Sassuolo/spielplan/verein/6574/saison_id/2021/plus/1#ES1
Lazio Rom;Serie-A;IT1;Italy.SerieA;24;398;https://www.transfermarkt.com/Lazio Rom/spielplan/verein/398/saison_id/2021/plus/1#ES1
Spezia Calcio;Serie-A;IT1;Italy.SerieA;24;3522;https://www.transfermarkt.com/Spezia Calcio/spielplan/verein/3522/saison_id/2021/plus/1#ES1
Fiorentina;Serie-A;IT1;Italy.SerieA;24;430;https://www.transfermarkt.com/Ac Florenz/spielplan/verein/430/saison_id/2021/plus/1#ES1
Hellas Verona;Serie-A;IT1;Italy.SerieA;24;276;https://www.transfermarkt.com/Hellas Verona/spielplan/verein/276/saison_id/2021/plus/1#ES1
Cagliari Calcio;Serie-A;IT1;Italy.SerieA;24;1390;https://www.transfermarkt.com/Cagliari Calcio/spielplan/verein/1390/saison_id/2021/plus/1#ES1
Fc Metz;Ligue-1;FR1;France.Ligue1;37;347;https://www.transfermarkt.com/Fc Metz/spielplan/verein/347/saison_id/2021/plus/1#ES1
Es Troyes Ac;Ligue-1;FR1;France.Ligue1;37;1095;https://www.transfermarkt.com/Es Troyes Ac/spielplan/verein/1095/saison_id/2021/plus/1#ES1
Fc Stade Rennes;Ligue-1;FR1;France.Ligue1;37;273;https://www.transfermarkt.com/Fc Stade Rennes/spielplan/verein/273/saison_id/2021/plus/1#ES1
Stade Reims;Ligue-1;FR1;France.Ligue1;37;1421;https://www.transfermarkt.com/Stade Reims/spielplan/verein/1421/saison_id/2021/plus/1#ES1
Clermont Foot 63;Ligue-1;FR1;France.Ligue1;37;3524;https://www.transfermarkt.com/Clermont Foot 63/spielplan/verein/3524/saison_id/2021/plus/1#ES1
Fc Lorient;Ligue-1;FR1;France.Ligue1;37;1158;https://www.transfermarkt.com/Fc Lorient/spielplan/verein/1158/saison_id/2021/plus/1#ES1
Ogc Nizza;Ligue-1;FR1;France.Ligue1;37;417;https://www.transfermarkt.com/Ogc Nizza/spielplan/verein/417/saison_id/2021/plus/1#ES1
Losc Lille;Ligue-1;FR1;France.Ligue1;37;1082;https://www.transfermarkt.com/Losc Lille/spielplan/verein/1082/saison_id/2021/plus/1#ES1
